split	direction	interaction_name	pathway_name	ligand	receptor	focus	ligand_class	n_high	n_low	n_compared	median_prob_high	median_prob_low	delta_median	mwu_u	p	r_rb	test
between_q4q1	outgoing	LAMC2_CD44	LAMININ	LAMC2	CD44	other	other	5	10	15	0.17693679008569962	0.08172670097071812	0.09521008911498151	29.0	0.6786546786546787	0.15999999999999992	mannwhitney_between_unit_PR320_slice
between_q4q1	outgoing	PPIA_BSG	CypA	PPIA	BSG	other	other	11	12	23	0.6631372790036697	0.7231182718465521	-0.059980992842882386	59.0	0.6891216451070523	-0.10606060606060608	mannwhitney_between_unit_PR320_slice
between_q4q1	outgoing	CD99_CD99	CD99	CD99	CD99	other	other	10	12	22	0.5469784167240759	0.5381580124317535	0.008820404292322337	54.0	0.7168594361961285	-0.09999999999999998	mannwhitney_between_unit_PR320_slice
between_q4q1	outgoing	HLA-B_CD8B	MHC-I	HLA-B	CD8B	MHC-I	other	5	11	16	0.49658198142262017	0.5009041959945394	-0.004322214571919225	24.0	0.7426739926739928	-0.12727272727272732	mannwhitney_between_unit_PR320_slice
between_q4q1	outgoing	HLA-E_CD8B	MHC-I	HLA-E	CD8B	MHC-I	inhibitory	5	11	16	0.20033776855791516	0.3014102250067266	-0.10107245644881144	24.0	0.7426739926739928	-0.12727272727272732	mannwhitney_between_unit_PR320_slice
between_q4q1	outgoing	APP_SORL1	APP	APP	SORL1	other	other	6	8	14	0.17139586807623938	0.12745349521711	0.043942372859129386	27.0	0.7545787545787546	0.125	mannwhitney_between_unit_PR320_slice
between_q4q1	outgoing	HLA-F_CD8B	MHC-I	HLA-F	CD8B	MHC-I	other	5	10	15	0.1392959352230014	0.18789726334887402	-0.04860132812587262	22.0	0.7678987678987679	-0.12	mannwhitney_between_unit_PR320_slice
between_q4q1	outgoing	HLA-B_CD8A	MHC-I	HLA-B	CD8A	MHC-I	other	7	12	19	0.5873550514319035	0.5885005702623175	-0.0011455188304140274	38.0	0.7732396602365642	-0.09523809523809523	mannwhitney_between_unit_PR320_slice
between_q4q1	outgoing	HLA-DRA_CD4	MHC-II	HLA-DRA	CD4	other	other	3	8	11	0.20364438400468998	0.051941153490595734	0.15170323051409423	14.0	0.7757575757575759	0.16666666666666674	mannwhitney_between_unit_PR320_slice
between_q4q1	outgoing	HLA-DPA1_CD4	MHC-II	HLA-DPA1	CD4	other	other	3	8	11	0.11151967704485628	0.017493554213827776	0.09402612283102851	14.0	0.7757575757575759	0.16666666666666674	mannwhitney_between_unit_PR320_slice
between_q4q1	outgoing	HLA-DQA1_CD4	MHC-II	HLA-DQA1	CD4	other	other	3	8	11	0.029470900068333843	0.007240208005635905	0.02223069206269794	14.0	0.7757575757575759	0.16666666666666674	mannwhitney_between_unit_PR320_slice
between_q4q1	outgoing	FN1_CD44	FN1	FN1	CD44	other	other	7	7	14	0.05512120888876853	0.08688138293995705	-0.03176017405118852	22.0	0.8047785547785549	-0.10204081632653061	mannwhitney_between_unit_PR320_slice
between_q4q1	outgoing	HLA-DMA_CD4	MHC-II	HLA-DMA	CD4	other	other	4	8	12	0.060877015187410885	0.0030750172259384535	0.05780199796147243	18.0	0.8080808080808081	0.125	mannwhitney_between_unit_PR320_slice
between_q4q1	outgoing	HLA-C_CD8A	MHC-I	HLA-C	CD8A	MHC-I	other	7	12	19	0.5345383875204421	0.5198967234408054	0.01464166407963674	45.0	0.8369453044375644	0.0714285714285714	mannwhitney_between_unit_PR320_slice
between_q4q1	outgoing	CD55_ADGRE5	ADGRE	CD55	ADGRE5	other	other	8	11	19	0.2900547590543836	0.3993316225003192	-0.10927686344593562	41.0	0.8403852769177846	-0.06818181818181823	mannwhitney_between_unit_PR320_slice
between_q4q1	outgoing	HLA-A_CD8A	MHC-I	HLA-A	CD8A	MHC-I	other	7	12	19	0.5842887315472335	0.5575666447872853	0.026722086759948138	44.0	0.9018020163530999	0.04761904761904767	mannwhitney_between_unit_PR320_slice
between_q4q1	outgoing	CXCL16_CXCR6	CXCL	CXCL16	CXCR6	T-recruit	recruit	4	5	9	0.06493905355065674	0.0840602997827395	-0.019121246232082764	9.0	0.9047619047619049	-0.09999999999999998	mannwhitney_between_unit_PR320_slice
between_q4q1	outgoing	COL9A2_CD44	COLLAGEN	COL9A2	CD44	other	other	4	5	9	0.023771122483116146	0.04956527973789405	-0.025794157254777902	9.0	0.9047619047619049	-0.09999999999999998	mannwhitney_between_unit_PR320_slice
between_q4q1	outgoing	HLA-C_CD8B	MHC-I	HLA-C	CD8B	MHC-I	other	5	11	16	0.5332932823475802	0.43080782912027826	0.10248545322730196	27.0	1.0	-0.018181818181818188	mannwhitney_between_unit_PR320_slice
between_q4q1	outgoing	HLA-A_CD8B	MHC-I	HLA-A	CD8B	MHC-I	other	5	11	16	0.5414597296539989	0.47734507734535747	0.06411465230864144	27.0	1.0	-0.018181818181818188	mannwhitney_between_unit_PR320_slice
