case_id	CLDN4_protein	cohort	CD274_protein	STAT1_protein	ISG15_protein	MX1_protein	HLA-A_protein	IFN_core_protein	MHC1_protein
C3L-02365		LUAD	21.8129426744567	28.1076945077274	28.3931177219869	26.3524633464292	28.228987988475	-0.8330407035697002	-0.19321310389692892
C3L-02665	24.067984656329	LSCC	22.6788123137867	29.9159904979369	28.836699050214	27.2186788741628	28.3962322275431	0.8542443325284085	0.3840440556146704
C3L-01663	23.813399349746	LSCC	22.1885771335076	28.9221179468906	27.2315876855242	25.777061936953	26.6756681021008	-0.07555966361725185	-0.38750894896338833
C3N-02575	24.5810988499524	LSCC	22.6293629589277	27.9989512525955	28.014520951896	26.735133816595	28.216938912556	-0.486882328067671	-0.25955463288914443
C3L-02546	23.0973358298884	LSCC	23.620023493622	28.3406729622309	28.0236852235616	26.7840556284075	26.7626925592536	0.08388511312048394	-0.07009359101477182
C3L-00965	23.1531527228414	LSCC	22.0794480879934	28.1086403544708	26.7906522521007	25.6168314634417	26.4756298805601	-0.7138454547880106	-0.7098565982238879
C3L-02963	22.7252917556342	LSCC	22.3143589666652	27.9017242470697	26.6376910925772	25.3984113064296	27.2242492910242	-1.1073825041359058	-0.16925456686327936
C3N-04162	22.8935911945634	LSCC	25.0218883405097	29.8611046697031	28.5050185159515	27.8591691888093	29.2701479563663	0.875166830110374	2.4401530243148684
C3L-02646	23.8107027726688	LSCC	22.8687888905359	28.3574632176706	27.1739152764948	26.2549705993584	27.8225290473657	-0.4438060525750586	-0.11010051322364167
C3N-02285	23.3423600998019	LSCC	22.6236444620774	28.241817982102	27.8362743015948	26.79339232236	27.527766789905	-0.11994405803927304	-0.04051010550960491
C3N-03875	22.6527275004646	LSCC	22.3485548945581	29.0461021485	28.4879559321664	27.1871329202579	27.0156975592229	0.5430906541151543	-0.08293526312314044
C3N-03424		LSCC	22.3805722687739	28.4866511088066	27.0513995865146	25.4573354129416	26.6370236687755	0.08249299707533278	0.20321871773511282
C3N-01017		LSCC	23.5596375677163	28.0165731461096	26.6516655970286	25.7428807736768	27.5973506653097	-0.7834226596572413	-0.20205268312660693
C3L-00081		LSCC	22.178285790627	27.3457081145943	26.5084390901031	24.6763580520409	26.9705689005866	-1.5602200681037435	-0.392154409162567
C3L-02649		LSCC	22.2000098423869	28.2165947014785	27.3674972022228	25.1113178249444	25.8919307945879	-0.6273226636199376	-0.4402230135891587
C3L-01838		LSCC	22.5863611430305	27.7489800107848	27.0662551595646	25.8911914917572	27.2676957535978	-0.6416727625537104	-0.38149785544556436
C3N-02252		LSCC	24.6781776231871	29.379113044895	28.4438879035094	28.2495472081893	28.8538259484336	1.0950531416910965	1.7946909446316461
C3L-03963		LSCC	22.9158502538511	28.6594103474781	28.0113789740318	27.5929651341667	27.5068562561114	0.1823594579514614	0.4623052579437433
C3N-03072		LSCC	23.0903471762138	28.3138681532321	28.3135595507957	27.266140239438	27.5034168808585	-0.06750423845621004	-0.16998469345179967
C3L-02969		LSCC	24.5733028914753	29.6078203261844	28.6263982293894	27.541970690683	27.6001081669271	1.0652205396046106	0.2529294745733114
C3N-03662		LSCC	23.4356055482286	28.3959483349646	28.0916125270835	26.1287590197204	26.8721366627081	-0.09425503076306439	-0.24972298736253826
C3N-03051	24.7252071327146	LSCC	22.7550159406383	28.6865667988236	29.3375444286184	28.3023061010416	26.194700629853	0.6664225231071994	0.43082498843010203
C3N-02434	24.6953990611267	LSCC	23.9960806712458	28.160104311522	28.0766260815389	26.9114974466334	25.2848424155172	-0.42920144600646426	-0.9590692705780048
C3L-02127	24.5677458415024	LSCC	22.3572346218338	28.6241261589326	29.2430206175223	27.9076204252153	25.3312071795297	0.4337558759543043	-0.7784085914334623
C3N-02339	23.8886025924563	LSCC	22.3326218269656	27.7298249535709	27.7041740668553	26.6478764188459	26.7650765826206	-0.3414483119110274	-0.3790577537984419
C3L-03961	23.403090153716	LSCC	23.1786336679167	28.6361990237361	28.3287935521321	27.9743482932624	27.8177512071046	0.682401557198772	0.6184945648232327
C3L-04391	23.3349487474016	LSCC	22.6861570394771	28.7146748789799	28.6044499860942	26.7359603426809	28.5226509946609	0.07128085983219395	0.4185142727541145
C3L-02619	23.0861812835521	LSCC	22.9439548365693	28.0868554622972	27.32644138105	26.6801565791813	27.4522371116654	-0.33081412050242387	-0.0025714141659333722
C3N-02494	23.1467451072339	LSCC	24.5653738835107	28.2555878378659	26.5611856804725	25.8823241131044	27.6218321117577	-0.5689266026682495	-0.22970872953498533
C3N-03880	22.7056761170918	LSCC	24.6648496582837	30.0690293665836	28.7097378333568	27.4421358941435	28.593689589789	0.8465326812853299	0.6899673175412442
