gene_a	gene_b	GSE123902__p	GSE123902__fold	GSE123902__k	GSE123902__draw	GSE131907__p	GSE131907__fold	GSE131907__k	GSE131907__draw	GSE205335__p	GSE205335__fold	GSE205335__k	GSE205335__draw	GSE189357__p	GSE189357__fold	GSE189357__k	GSE189357__draw	concordant_4of4
KRT19	ATF3	2.4488137094847314e-130	1.6141124586549063	732	907	1.290770304200225e-137	1.4346456692913385	1822	2540	0.0	1.4967255407819011	3771	5039	0.0	1.5265064208100099	2318	3037	False
KRT19	CLDN7	2.6860682919028223e-190	1.7047120418848167	814	955	2.195937315122415e-123	1.306081251577088	2588	3963	0.0	1.5033464112624049	3257	4333	0.0	1.676510676965016	1845	2201	False
KRT19	TM4SF1	8.782371556115822e-133	1.5690168818272094	790	1007	7.279700098339063e-90	1.5379482902418682	922	1199	3.05700101279624e-221	1.4871311989956058	2369	3186	0.0	1.6112903225806452	1998	2480	False
KRT19	IER2	4.597770250096035e-120	1.6144018583042974	695	861	1.0036244955173443e-148	1.4708860759493672	1743	2370	0.0	1.4233208651813303	4376	6149	4.866391427604454e-219	1.3470681458003169	2550	3786	False
KRT19	TMBIM6	9.81480161199331e-155	1.482866043613707	952	1284	2.0369254536465273e-109	1.2872581050515204	2561	3979	0.0	1.353013153869685	4423	6538	4.720692372016434e-226	1.3656002187585452	2497	3657	False
KRT19	LGALS3BP	1.5420458631780082e-158	1.5280334728033473	913	1195	1.474447653844654e-80	1.2930533117932148	2001	3095	6.16558907487e-313	1.4114045158821278	3688	5226	0.0	1.569464544138929	2169	2764	False
KRT19	CEBPD	2.4366945113604476e-149	1.5583941605839415	854	1096	5.284596024633926e-97	1.3415929203539823	1895	2825	6.400093911962463e-262	1.388568014339773	3486	5021	0.0	1.5302935665209245	2450	3202	False
RHOB	EPCAM	9.290903369450357e-170	1.6846652267818574	780	926	1.1255056077466931e-156	1.3675213675213675	2480	3627	4.84e-322	1.3951411218292247	3905	5598	0.0	1.6292530308955808	2083	2557	False
RHOB	APLP2	1.7686148831201042e-124	1.5344827586206897	801	1044	2.4822697790022662e-133	1.3077665219488663	2711	4146	2.4679331691506977e-285	1.445477216050782	3188	4411	1.806434978592753e-307	1.498542274052478	2313	3087	False
RHOB	SPINT2	5.797283934716284e-157	1.6306122448979592	799	980	1.8827951993683323e-157	1.374330042313117	2436	3545	8.1306544119865e-311	1.3522292993630574	4246	6280	0.0	1.5679137175598248	2326	2967	False
RHOB	ATF3	5.462916710490599e-100	1.5560640732265447	680	874	1.8443893262611736e-122	1.3562638056169138	2149	3169	0.0	1.4186401833460658	3714	5236	2.990405712397948e-308	1.4622248661511006	2458	3362	False
RHOB	CLDN7	6.501044675907416e-156	1.7181044957472662	707	823	3.5891586052515693e-162	1.3629394660322496	2578	3783	0.0	1.6013513513513513	2844	3552	0.0	1.7068466730954677	1770	2074	False
RHOB	TM4SF1	2.2255538835114992e-113	1.5777777777777777	710	900	1.942401786712325e-92	1.6505312868949233	699	847	3.7956175238955354e-262	1.6089385474860336	2016	2506	5.607825005158787e-293	1.5700197238658777	1990	2535	True
RHOB	IER2	2.3380271599435992e-89	1.5483091787439613	641	828	1.528517659917296e-164	1.4414856341976174	2057	2854	0.0	1.3744842383231557	4164	6059	3.576755854238903e-252	1.3552965027876331	2674	3946	False
RHOB	TMBIM6	1.5875895662159474e-113	1.4657415437987857	845	1153	5.576464082587023e-153	1.3409033560434014	2657	3963	4.6984023707888775e-297	1.3606447280053728	4052	5956	5.764881116160319e-283	1.425962910128388	2499	3505	False
RHOB	LGALS3BP	1.5590007831704628e-132	1.5523535062439962	808	1041	6.061513743166096e-125	1.3669158271043225	2103	3077	1.0828956444617834e-276	1.4110581901014703	3407	4829	1.625e-321	1.5501066098081024	2181	2814	False
RHOB	CEBPD	4.705340806615202e-100	1.4911591355599214	759	1018	1.0819921155583528e-80	1.2561720201752058	2366	3767	3.074532759003882e-283	1.4334575750931813	3269	4561	0.0	1.4630681818181819	2575	3520	False
EPCAM	APLP2	6.596285606606043e-194	1.647610121836926	879	1067	4.17737592605083e-102	1.1946463978849966	3615	6052	2.0085138462292642e-243	1.34935372292008	3706	5493	0.0	1.59718420023465	2042	2557	False
EPCAM	SPINT2	3.512681010791541e-199	1.6335740072202165	905	1108	2.470838047585005e-87	1.1785948785292186	3590	6092	1.1024903451545033e-279	1.2639255626807493	5026	7953	0.0	1.6173508907823393	2088	2582	False
EPCAM	ATF3	1.2501839858392941e-147	1.7037943696450428	696	817	9.28729022535192e-105	1.3104046242774567	2267	3460	0.0	1.4206433368681513	4019	5658	0.0	1.6394271272114576	1946	2374	False
EPCAM	CLDN7	5.568574383907277e-198	1.723044397463002	815	946	8.58337855047197e-123	1.225896762904637	3503	5715	2.261289414414537e-308	1.4696618805002315	3173	4318	0.0	1.723814486711829	1654	1919	False
EPCAM	TM4SF1	3.563442564449058e-154	1.654427645788337	766	926	6.38203881724105e-62	1.4593175853018372	834	1143	2.9709881228151274e-219	1.515256588072122	2185	2884	9.811246881628924e-292	1.6575875486381324	1704	2056	False
EPCAM	IER2	1.6916153518866496e-154	1.7623497997329773	660	749	1.5585715762027547e-170	1.3992395437262357	2392	3419	0.0	1.3640263082642266	4770	6994	9.4e-322	1.5631174533479693	2136	2733	False
EPCAM	TMBIM6	4.5673769578759e-193	1.5907928388746804	933	1173	1.2796687392296962e-99	1.1868273092369477	3694	6225	4.2857603562156023e-268	1.2796323827544263	4734	7399	0.0	1.570658036677454	2184	2781	False
EPCAM	LGALS3BP	4.9404665898330313e-200	1.6396724294813467	901	1099	5.407135603906775e-73	1.1982899022801303	2943	4912	1.3139955209029586e-255	1.3494785221849037	3817	5657	3.5546056416311005e-305	1.6123833757421544	1901	2358	False
EPCAM	CEBPD	5.066451998907334e-173	1.640117994100295	834	1017	1.7655284711888406e-92	1.231487375344791	2902	4713	1.874721909e-314	1.4131185270425777	3684	5214	0.0	1.6210446054136485	2126	2623	False
APLP2	SPINT2	1.3464934916284946e-168	1.5603448275862069	905	1160	1.3211463186120595e-101	1.191212367778682	3660	6145	5.357985981202491e-268	1.328955797565663	4149	6244	0.0	1.5404196766425868	2239	2907	False
APLP2	ATF3	7.408196740355646e-109	1.5577342047930283	715	918	5.753325160004453e-80	1.2355746304244157	2591	4194	1e-323	1.4538084062299979	3407	4687	1.3624018276819841e-287	1.5168776371308017	2157	2844	False
APLP2	CLDN7	6.148382355386367e-172	1.6916395222584149	779	921	1.7346422454914284e-120	1.2094848732624692	3698	6115	0.0	1.536783358701167	3029	3942	2.2e-322	1.6968796433878157	1713	2019	False
APLP2	TM4SF1	3.7496900902833195e-114	1.5194552529182879	781	1028	2.364232923837279e-78	1.4995884773662551	911	1215	1.1700192804277871e-245	1.5325977933801405	2292	2991	1.5192897967973144e-260	1.5751295336787565	1824	2316	False
APLP2	IER2	2.0250560131458938e-102	1.553811659192825	693	892	8.573790082259841e-149	1.3485411140583554	2542	3770	7.53e-320	1.3972553268327916	3869	5538	4.829096369562536e-252	1.416987274341521	2394	3379	False
APLP2	TMBIM6	3.030274500702244e-123	1.4131736526946108	944	1336	3.471002978144057e-103	1.1791135397692776	3884	6588	1.3694990439448666e-229	1.3124484748557297	3980	6065	4.455624524546356e-245	1.414998506124888	2368	3347	False
APLP2	LGALS3BP	3.790921049440083e-136	1.4691259021651966	916	1247	3.678719333428648e-75	1.1942221354674996	3059	5123	9.298763113818108e-231	1.3844510892780864	3241	4682	6.589532354747193e-281	1.5321983715766099	2070	2702	False
APLP2	CEBPD	2.8304004786904255e-115	1.4565400843881857	863	1185	6.4865483890358865e-53	1.1455301455301454	3306	5772	0.0	1.455128205128205	3405	4680	4.974319999497742e-308	1.4955012853470437	2327	3112	False
SPINT2	ATF3	2.5537184661672004e-138	1.6498855835240274	721	874	2.8804819864061777e-121	1.3423180592991915	2241	3339	0.0	1.3969834087481146	4631	6630	0.0	1.5808556925308195	2180	2758	False
SPINT2	CLDN7	5.387937138265447e-187	1.697286012526096	813	958	1.5698129612462923e-128	1.231470124408621	3514	5707	0.0	1.4581926514399206	3671	5035	0.0	1.699952221691352	1779	2093	False
SPINT2	TM4SF1	2.491674820304432e-149	1.6184615384615384	789	975	4.060796402404182e-60	1.463013698630137	801	1095	6.717274973018831e-232	1.4817236255572066	2493	3365	1.7652e-319	1.6448184233835252	1857	2258	False
SPINT2	IER2	1.264819083011667e-131	1.6728624535315986	675	807	8.661071234227314e-165	1.3862857142857143	2426	3500	0.0	1.335045871559633	5457	8175	1.838480943622047e-309	1.4833281396073543	2380	3209	False
SPINT2	TMBIM6	4.7356755027795754e-157	1.4901960784313726	950	1275	3.4661433622337696e-83	1.1661962997804955	3719	6378	1.2012222843204e-311	1.2467236467236467	5470	8775	3.697893689979298e-303	1.4682080924855492	2413	3287	False
SPINT2	LGALS3BP	6.407237241415408e-172	1.5549915397631133	919	1182	1.247883245014837e-71	1.1927518916766229	2995	5022	2.0944783276308692e-268	1.303964757709251	4440	6810	0.0	1.5858930602957906	2091	2637	False
SPINT2	CEBPD	3.3361591705234103e-155	1.5731370745170192	855	1087	1.593686244672624e-92	1.2308668076109937	2911	4730	0.0	1.3699115044247787	4257	6215	0.0	1.5704248912679826	2347	2989	False
ATF3	CLDN7	2.667269269655959e-136	1.7335164835164836	631	728	3.614060470310752e-95	1.2733385053012671	2462	3867	0.0	1.6024416135881103	3019	3768	0.0	1.7260133401744484	1682	1949	False
ATF3	TM4SF1	1.9622928732931472e-101	1.6055979643765903	631	786	9.235390443233313e-100	1.6	856	1070	1.1887793e-317	1.6584603360687769	2122	2559	4.064476554527978e-293	1.6023839931885908	1882	2349	True
ATF3	IER2	2.357460306009629e-89	1.581151832460733	604	764	1.2247693761727975e-135	1.40754039497307	1960	2785	0.0	1.3841211564938045	4524	6537	3.881702324234805e-242	1.3785929373117984	2518	3653	False
ATF3	TMBIM6	2.4771958434947866e-98	1.4853228962818004	759	1022	2.1377250067000736e-115	1.313972602739726	2398	3650	0.0	1.3869489650813716	4389	6329	2.2894470842216185e-265	1.446096654275093	2334	3228	False
ATF3	LGALS3BP	1.7374822807332454e-119	1.5859802847754656	724	913	3.75147135215225e-88	1.3271494826971102	1860	2803	0.0	1.4239444765760556	3693	5187	1.99794945781226e-310	1.578743211792087	2035	2578	False
ATF3	CEBPD	1.2232351357419145e-88	1.5088105726872247	685	908	7.558004005230451e-41	1.1791633780584057	2241	3801	0.0	1.490163594947194	3598	4829	0.0	1.4978028876333962	2386	3186	False
CLDN7	TM4SF1	9.619107196550074e-142	1.6881851400730816	693	821	1.810541766798303e-96	1.5767857142857142	883	1120	1.79352277e-316	1.644176404070863	2181	2653	1.85624072509245e-291	1.73512252042007	1487	1714	True
CLDN7	IER2	2.5890939196283874e-146	1.7994011976047903	601	668	7.06259322225151e-188	1.4175888177053	2434	3434	0.0	1.5651580623152148	3441	4397	0.0	1.6840148698884758	1812	2152	False
CLDN7	TMBIM6	3.1870116351163325e-181	1.6663316582914574	829	995	2.369609675061292e-135	1.2295469912102772	3637	5916	0.0	1.4681818181818183	3553	4840	0.0	1.6816734879490678	1849	2199	False
CLDN7	LGALS3BP	1.1892378895851549e-178	1.68664563617245	802	951	1.31778349357454e-87	1.2246192893401016	2895	4728	2.596782e-317	1.505050505050505	2980	3960	2.11915727070183e-291	1.6906891109942135	1607	1901	False
CLDN7	CEBPD	5.495642014880041e-164	1.70446735395189	744	873	3.0656781053077874e-76	1.1983339944466482	3021	5042	0.0	1.5788093364804616	3010	3813	0.0	1.704839482510781	1779	2087	False
TM4SF1	IER2	6.997926156062794e-89	1.600550964187328	581	726	2.0539289423383425e-68	1.5862068965517242	621	783	1.4765733735759748e-282	1.5772913816689467	2306	2924	1.2160362158624071e-263	1.5329988421458896	1986	2591	True
TM4SF1	TMBIM6	5.316661633467598e-113	1.4832881662149955	821	1107	2.4614807212386166e-78	1.5214285714285714	852	1120	7.559282977542575e-223	1.476923076923077	2448	3315	1.2317932630683195e-269	1.5459544383346426	1968	2546	False
TM4SF1	LGALS3BP	2.432311291790425e-124	1.5392061955469507	795	1033	2.06549732487263e-56	1.5057471264367817	655	870	6.12918278019679e-245	1.5560360360360361	2159	2775	6.359909401697841e-301	1.650749063670412	1763	2136	True
TM4SF1	CEBPD	1.8128756483672365e-100	1.5150259067357512	731	965	1.6062284008643842e-70	1.5523704520396913	704	907	6.013641861847928e-241	1.5312817044301656	2264	2957	1.0373698090762774e-292	1.5790322580645162	1958	2480	True
IER2	TMBIM6	8.336830992714969e-81	1.4534412955465588	718	988	7.098699753040712e-170	1.375368929433861	2563	3727	0.0	1.3158301158301158	5112	7770	1.2719176480942196e-172	1.2869522158950235	2599	4039	False
IER2	LGALS3BP	9.530415482111573e-106	1.5729047072330655	685	871	2.940898662249845e-122	1.3851086569291058	1944	2807	0.0	1.3780547810398556	4201	6097	1.1087358955448734e-291	1.5097703119643469	2202	2917	False
IER2	CEBPD	6.589454194065141e-93	1.536	672	875	1.0061528887979597e-112	1.3355848940743016	2175	3257	0.0	1.414162713055702	4024	5691	9.918893431218654e-297	1.4041876490856082	2649	3773	False
TMBIM6	LGALS3BP	5.452913979188375e-138	1.4367041198501873	959	1335	1.0423261597200704e-78	1.1960069111153773	3115	5209	4.478378253201582e-251	1.3095422808378587	4220	6445	3.148898292071075e-293	1.5123796423658873	2199	2908	False
TMBIM6	CEBPD	4.344901618811655e-108	1.411671924290221	895	1268	1.3256545602516146e-82	1.1974402409185019	3181	5313	0.0	1.382804503582395	4053	5862	6.8719569e-316	1.4516776598795527	2531	3487	False
LGALS3BP	CEBPD	6.854749878116237e-122	1.473594548551959	865	1174	3.06854402620773e-64	1.2223647088997178	2383	3899	2.6553193456176224e-270	1.4191875540190146	3284	4628	3.332486287625e-312	1.548270893371758	2149	2776	False
