ModelID	CellLineName	StrippedCellLineName	ModelType	OncotreeLineage	OncotreePrimaryDisease	OncotreeSubtype	OncotreeCode	CLDN4_Chronos_24Q4	CLDN4_ExpressionPublic_log2TPM1	CLDN4_Chronos_26Q1	group	is_NSCLC
ACH-001047	COR-L51	CORL51	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC				SCLC_NET	False
ACH-000508	COR-L88	CORL88	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		7.228818690495881		SCLC_NET	False
ACH-000743	COR-L95	CORL95	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		8.47585500126892		SCLC_NET	False
ACH-001049	CPC-N	CPCN	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC				SCLC_NET	False
ACH-000392	Calu-3	CALU3	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		7.484863164322325		LUAD	True
ACH-000530	DMS 114	DMS114	Cell Line	Lung	SMARCA4-deficient undifferentiated tumor	SMARCA4-deficient undifferentiated tumor			0.9855004303048848		other_lung	False
ACH-000594	DMS 153	DMS153	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		7.937462100716437		SCLC_NET	False
ACH-000844	DMS 454	DMS454	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		8.439249118590352		SCLC_NET	False
ACH-000703	DMS 79	DMS79	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		7.445345986064033		SCLC_NET	False
ACH-000925	DV-90	DV90	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		9.36187799586609		LUAD	True
ACH-002101	EMC-BAC-1	EMCBAC1	Cell Line	Lung	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	NSCLC				other_NSCLC	True
ACH-002102	EMC-BAC-2	EMCBAC2	Cell Line	Lung	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	NSCLC				other_NSCLC	True
ACH-002122	GT3TKB	GT3TKB	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC				LUSC	True
ACH-002138	H513	H513	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenosquamous Carcinoma	LUAS				other_NSCLC	True
ACH-000578	HCC-1171	HCC1171	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		9.614378575081137		LUAD	True
ACH-000868	HCC-1195	HCC1195	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenosquamous Carcinoma	LUAS		8.80135269277206		other_NSCLC	True
ACH-000891	HCC-1438	HCC1438	Cell Line	Lung	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	LCLC		1.599317793698226		other_NSCLC	True
ACH-000712	HCC-1833	HCC1833	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		8.312746845558241		LUAD	True
ACH-000314	HCC-2108	HCC2108	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		4.928844036712568		LUAD	True
ACH-000731	HCC-2279	HCC2279	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenosquamous Carcinoma	LUAS		5.9342805936400245		other_NSCLC	True
ACH-000690	HCC-2814	HCC2814	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC		7.300123724569014		LUSC	True
ACH-000575	HCC-364	HCC364	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		7.328315891666071		LUAD	True
ACH-002333	HCC-827-GR	HCC827GR	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD				LUAD	True
ACH-001079	HCC1897	HCC1897	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC				LUSC	True
ACH-000150	HCC2935	HCC2935	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		9.901002620158811		LUAD	True
ACH-000066	HCC4006	HCC4006	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		7.705701496845794		LUAD	True
ACH-001088	HLC-1	HLC1	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD				LUAD	True
ACH-000825	HOP-92	HOP92	Cell Line	Lung	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	NSCLC		7.353499735245657		other_NSCLC	True
ACH-002144	IST-SL1	ISTSL1	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC				SCLC_NET	False
ACH-002145	IST-SL2	ISTSL2	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC				SCLC_NET	False
ACH-002337	JHU-028	JHU028	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD				LUAD	True
ACH-002154	LB647-SCLC	LB647SCLC	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC				SCLC_NET	False
ACH-001113	LC-1/sq-SF	LC1SQSF	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC		6.349082146391089		LUSC	True
ACH-000705	LC-1F	LC1F	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC		8.272769732436512		LUSC	True
ACH-002157	LC-2-ad	LC2AD	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD				LUAD	True
ACH-002158	LU-99A	LU99A	Cell Line	Lung	Non-Small Cell Lung Cancer	Giant Cell Carcinoma of the Lung	GCLC				other_NSCLC	True
ACH-002075	Lu-138	LU138	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		5.617944917420585		SCLC_NET	False
ACH-002074	Lu-143	LU143	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		6.180108068712015		SCLC_NET	False
ACH-001958	MS1	MS1	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC				SCLC_NET	False
ACH-000780	NCI-H1105	NCIH1105	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		5.450881315273369		SCLC_NET	False
ACH-000523	NCI-H1184	NCIH1184	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		0.8953026213333066		SCLC_NET	False
ACH-002286	NCI-H128	NCIH128	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC				SCLC_NET	False
ACH-002169	NCI-H1304	NCIH1304	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC				SCLC_NET	False
ACH-000129	NCI-H1341	NCIH1341	Cell Line	Lung	SMARCA4-deficient undifferentiated tumor	SMARCA4-deficient undifferentiated tumor			4.563768278452033		other_lung	False
ACH-000737	NCI-H1385	NCIH1385	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC		7.925584109389362		LUSC	True
ACH-000327	NCI-H1395	NCIH1395	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		3.016139702655253		LUAD	True
ACH-001591	NCI-H1417	NCIH1417	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		6.861583231807768		SCLC_NET	False
ACH-000852	NCI-H1435	NCIH1435	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		9.144556281982275		LUAD	True
ACH-000830	NCI-H1436	NCIH1436	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		6.280956313831056		SCLC_NET	False
ACH-003119	NCI-H1450	NCIH1450	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		5.628481994383899		SCLC_NET	False
ACH-000506	NCI-H146	NCIH146	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		2.111031312388744		SCLC_NET	False
ACH-000892	NCI-H1563	NCIH1563	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		0.8399595874895318		LUAD	True
ACH-003120	NCI-H1607	NCIH1607	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		6.050719347751264		SCLC_NET	False
ACH-000179	NCI-H1618	NCIH1618	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		7.90026304356897		SCLC_NET	False
ACH-000744	NCI-H1623	NCIH1623	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		8.588864518190148		LUAD	True
ACH-000893	NCI-H1651	NCIH1651	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		6.492333914544719		LUAD	True
ACH-002170	NCI-H1688	NCIH1688	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		6.019479533703628		SCLC_NET	False
ACH-000675	NCI-H1734	NCIH1734	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		7.9066501263953795		LUAD	True
ACH-000282	NCI-H1755	NCIH1755	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		7.779325391448742		LUAD	True
ACH-001362	NCI-H1770	NCIH1770	Cell Line	Lung	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	NSCLC				other_NSCLC	True
ACH-000379	NCI-H1781	NCIH1781	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		9.610046680169242		LUAD	True
ACH-000033	NCI-H1819	NCIH1819	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		8.275239901744591		LUAD	True
ACH-000733	NCI-H1838	NCIH1838	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		8.839707698350368		LUAD	True
ACH-001136	NCI-H187	NCIH187	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC				SCLC_NET	False
ACH-000586	NCI-H1876	NCIH1876	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		6.044175512639209		SCLC_NET	False
ACH-000870	NCI-H1930	NCIH1930	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		2.1667154449664223		SCLC_NET	False
ACH-000752	NCI-H196	NCIH196	Cell Line	Lung	SMARCA4-deficient undifferentiated tumor	SMARCA4-deficient undifferentiated tumor			1.782408564927373		other_lung	False
ACH-000729	NCI-H1963	NCIH1963	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		3.6322682154995127		SCLC_NET	False
ACH-000298	NCI-H2029	NCIH2029	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		8.810507370724526		SCLC_NET	False
ACH-000727	NCI-H2066	NCIH2066	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC				SCLC_NET	False
ACH-000590	NCI-H2073	NCIH2073	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		6.471187460386985		LUAD	True
ACH-000394	NCI-H2081	NCIH2081	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		6.338602690352632		SCLC_NET	False
ACH-000451	NCI-H2085	NCIH2085	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		8.717950543348598		LUAD	True
ACH-000904	NCI-H2106	NCIH2106	Cell Line	Lung	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	LCLC		6.494095544940635		other_NSCLC	True
ACH-001363	NCI-H2135	NCIH2135	Cell Line	Lung	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	NSCLC				other_NSCLC	True
ACH-001138	NCI-H2141	NCIH2141	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC				SCLC_NET	False
ACH-000399	NCI-H2196	NCIH2196	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		7.545968369105292		SCLC_NET	False
ACH-000610	NCI-H2227	NCIH2227	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		2.114367024952		SCLC_NET	False
ACH-000447	NCI-H2228	NCIH2228	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		6.435461914479276		LUAD	True
ACH-000951	NCI-H2342	NCIH2342	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		8.997687581487513		LUAD	True
ACH-000875	NCI-H2347	NCIH2347	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		8.640027973286244		LUAD	True
ACH-000121	NCI-H2405	NCIH2405	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		7.188737187185129		LUAD	True
ACH-000186	NCI-H2444	NCIH2444	Cell Line	Lung	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	NSCLC		9.399705168175638		other_NSCLC	True
ACH-002171	NCI-H250	NCIH250	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC				SCLC_NET	False
ACH-003121	NCI-H2679	NCIH2679	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		5.414135532984451		SCLC_NET	False
ACH-002172	NCI-H322M	NCIH322M	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD				LUAD	True
ACH-000109	NCI-H3255	NCIH3255	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		10.91513244895065		LUAD	True
ACH-001364	NCI-H345	NCIH345	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC				SCLC_NET	False
ACH-002173	NCI-H378	NCIH378	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC				SCLC_NET	False
ACH-000816	NCI-H524	NCIH524	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		4.606442228131607		SCLC_NET	False
ACH-000628	NCI-H596	NCIH596	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenosquamous Carcinoma	LUAS		7.769507291436245		other_NSCLC	True
ACH-001599	NCI-H64	NCIH64	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC				SCLC_NET	False
ACH-000358	NCI-H69	NCIH69	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		4.549053029337288		SCLC_NET	False
ACH-002174	NCI-H720	NCIH720	Cell Line	Lung	Lung Neuroendocrine Tumor	Lung Carcinoid	LUCA				SCLC_NET	False
ACH-002175	NCI-H740	NCIH740	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC				SCLC_NET	False
ACH-003071	NCI-H748	NCIH748	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		4.993221467368938		SCLC_NET	False
ACH-003061	NCI-H774	NCIH774	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		5.731454807698346		SCLC_NET	False
ACH-000789	NCI-H810	NCIH810	Cell Line	Lung	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	LCLC		6.785419772149728		other_NSCLC	True
ACH-002177	NCI-H835	NCIH835	Cell Line	Lung	Lung Neuroendocrine Tumor	Lung Carcinoid	LUCA				SCLC_NET	False
ACH-001365	NCI-H847	NCIH847	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC				SCLC_NET	False
ACH-000297	NCI-H889	NCIH889	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		6.15704371014558		SCLC_NET	False
ACH-002497	NCI-H920	NCIH920	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		5.420549772116318		LUAD	True
ACH-002184	PC-3 [JPC-3]	PC3JPC3	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD				LUAD	True
ACH-000779	PC-9	PC9	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		7.807354922057604		LUAD	True
ACH-002193	RERF-LC-FM	RERFLCFM	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC				SCLC_NET	False
ACH-000482	RERF-LC-KJ	RERFLCKJ	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		7.835734632321086		LUAD	True
ACH-000062	RERF-LC-MS	RERFLCMS	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		5.811471030529836		LUAD	True
ACH-000064	SALE	SALE	Cell Line	Lung	Non-Cancerous	Immortalized Lung Cells			7.568336182133747		other_lung	False
ACH-002196	SBC-1	SBC1	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC				SCLC_NET	False
ACH-002197	SBC-3	SBC3	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC				SCLC_NET	False
ACH-000670	SBC-5	SBC5	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		1.807354922057604		SCLC_NET	False
ACH-000659	SCLC-21H	SCLC21H	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		6.321206566969903		SCLC_NET	False
ACH-000309	SK-LU-1	SKLU1	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD				LUAD	True
ACH-000669	SW 900	SW900	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC		8.359793477311143		LUSC	True
ACH-000553	Sq-1	SQ1	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC		8.568070117946721		LUSC	True
ACH-000813	T3M-10	T3M10	Cell Line	Lung	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	LCLC		5.012568673503056		other_NSCLC	True
ACH-002034	T3M-11	T3M11	Cell Line	Lung	Non-Small Cell Lung Cancer	NUT Carcinoma of the Lung	NUTCL		0.6507645591169022		other_NSCLC	True
ACH-001417	UMC-11	UMC11	Cell Line	Lung	Lung Neuroendocrine Tumor	Lung Carcinoid	LUCA				SCLC_NET	False
ACH-001234	VMRC-LCP	VMRCLCP	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC				LUSC	True
ACH-002036	WA-hT	WAHT	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC				SCLC_NET	False
