set	family	scope	contrast	n	n_q1	n_q4	n_genes_ranked	size	ES	NES	p	n_leading	leading_edge	fdr_primary	fdr_fgsea_call
HALLMARK_INTERFERON_ALPHA_RESPONSE	primary	GSE205335	continuous_z	21			20393	96	-0.735107103475071	-3.52083351113581	5.46055801429842e-29	68	GBP4,CASP1,GBP2,TAP1,SAMD9L,PSMB9,SAMD9,OAS1,TMEM140,OASL,ELF1,NMI,IL4R,CXCL10,EPSTI1,RTP4,IL7,IL15,PSME2,PARP12,TRIM21,SELL,LAP3,MX1,PSMB8,SP110,TRIM14,IFI35,IFIT2,STAT2,DDX60,UBA7,HLA-C,B2M,TRIM5,RIPK2,IFIH1,HERC6,ISG15,IFI44L	1.63816740428953e-28	2.18422320571937e-28
HALLMARK_INTERFERON_GAMMA_RESPONSE	primary	GSE205335	continuous_z	21			20393	194	-0.732691810131024	-3.92350573529766	7.6067142068934e-57	132	CCL5,GBP4,GZMA,CASP1,NFKB1,OAS2,TAP1,SAMD9L,CD86,HLA-B,KLRK1,LCP2,CD69,PFKP,IRF4,PSMB9,XAF1,STAT4,IL2RB,TNFAIP3,CD38,NCOA3,IDO1,TNFSF10,MYD88,STAT1,OASL,NMI,RNF213,ITGB7,IL4R,GPR18,PSMB10,PDE4B,GBP6,CASP7,CXCL10,FAS,SRI,IL10RA	4.56402852413604e-56	6.08537136551472e-56
KEGG_TIGHT_JUNCTION	primary	GSE205335	continuous_z	21			20393	148	-0.246623437080114	-1.27505856780806	0.0411522633744856	50	ACTR2,ACTR3,TUBA4A,PRKCE,HSPA4,ARPC4,WAS,CLDN16,MSN,CLDN10,TUBA1C,ARPC1B,ACTB,CLDN8,HCLS1,MYH9,ACTG1,ARPC2,RHOA,RAP2C,ARPC3,RAP1A,VASP,ACTN4,YBX3,SLC9A3R1,MYL6,CLDN1,WHAMM,CCND1,EZR,MYL12A,PPP2CA,PRKAB2,RAPGEF6,PPP2R2A,ERBB2,TJP3,LLGL1,CLDN7	0.0411522633744856	0.0548696844993141
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	primary	GSE205335	q4_vs_q1	11	5	6	18035	21	-0.872256504940571	-2.83058120991499	1.90808626293662e-12	18	ERAP1,TAP1,TAP2,PSMB9,HLA-B,HLA-F,PSMB10,TAPBPL,PSMB8,HLA-E,HLA-A,NLRC5,TAPBP,IRF1,HLA-C,ERAP2,B2M,CANX	3.81617252587324e-12	5.08823003449766e-12
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	secondary	GSE205335	q4_vs_q1	11	5	6	18035	36	0.242932689220366	0.855123758223591	0.689067201604814	10	CLDN9,CLDN11,CLDN3,ESAM,RAMP2,DLG1,CLDN18,SLC39A9,TBCD,CLDN15		0.689067201604814
GOBP_TIGHT_JUNCTION_ORGANIZATION	secondary	GSE205335	q4_vs_q1	11	5	6	18035	67	-0.234496034191877	-1.00995061889002	0.431325301204819	26	CLDN16,MPP7,PECAM1,ACTG1,CLDN10,PLEC,EPHA2,PDCD6IP,IKBKB,CLDN1,POF1B,PAK2,EXT1,MYO1C,CLDN7,PARD3,SNAI1,CLDN23,ROCK2,FRMPD2,PRKCH,TNF,ARL2,SNAI2,MARVELD3,NPHP1		0.492943201376936
HALLMARK_APICAL_JUNCTION	primary	GSE205335	q4_vs_q1	11	5	6	18035	177	-0.299051904385749	-1.51066626073638	0.0023832013572889	48	CD274,ZYX,RSU1,CD86,PTPRC,RHOF,PECAM1,PFN1,ACTG1,B4GALT1,MYH9,CAP1,DSC3,FYB1,CNN2,TRAF1,CD99,ACTN4,LAMB3,ITGA2,LAMC2,ICAM1,RAC2,MSN,ADAM15,ACTB,CDH3,VASP,NECTIN4,ADAM9,SHC1,MPZL2,EPB41L2,ARPC2,CX3CL1,VCAM1,TGFBI,NEXN,ITGB4,CRAT	0.00285984162874668	0.00381312217166224
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	primary	GSE205335	q4_vs_q1	11	5	6	18035	173	-0.336060232227761	-1.69072782228659	8.86527204118529e-05	67	ITGA5,LOX,IL32,FAS,GLIPR1,IGFBP3,IL15,MYLK,VIM,EMP3,TNFAIP3,CCN1,AREG,TGM2,IL6,ITGB5,PDLIM4,ITGA2,LAMC2,COL6A2,OXTR,TFPI2,WIPF1,PMP22,COL6A3,TGFB1,COL7A1,PLAUR,CXCL1,GADD45B,VCAM1,TGFBI,CALU,CD44,SERPINE1,FLNA,CDH11,FBLN2,BDNF,CAPG	0.000132979080617779	0.000177305440823706
HALLMARK_INTERFERON_ALPHA_RESPONSE	primary	GSE205335	q4_vs_q1	11	5	6	18035	96	-0.770108575055908	-3.54254479917258	4.25106285414486e-32	73	GBP4,PSME2,SAMD9L,RSAD2,GBP2,CASP1,IFI35,EPSTI1,SAMD9,TAP1,MX1,CMPK2,PSMB9,IFIH1,PARP12,DDX60,IFI44L,TMEM140,STAT2,SP110,IL7,IL15,UBA7,OASL,OAS1,IL4R,NMI,PARP9,PARP14,BST2,IFIT2,IFITM1,PSMB8,RTP4,HERC6,TRIM14,TRIM21,TDRD7,ELF1,UBE2L6	1.27531885624346e-31	1.70042514165795e-31
HALLMARK_INTERFERON_GAMMA_RESPONSE	primary	GSE205335	q4_vs_q1	11	5	6	18035	190	-0.761829280567723	-3.88401469097784	2.24780220770666e-60	138	CD274,OAS2,GBP4,CCL5,GZMA,PSME2,SAMD9L,RSAD2,STAT1,CASP1,NFKB1,XAF1,IFI35,DDX58,TNFSF10,MYD88,EPSTI1,TAP1,FAS,MX1,RNF213,CD86,CMPK2,IRF5,KLRK1,PSMB9,CD38,HLA-B,OAS3,LCP2,IDO1,IFIH1,CFB,PARP12,DDX60,CD69,APOL6,IFI44L,STAT2,IFIT1	1.348681324624e-59	1.79824176616533e-59
KEGG_TIGHT_JUNCTION	primary	GSE205335	q4_vs_q1	11	5	6	18035	143	-0.272714803109182	-1.33786734704697	0.0315563725490196	52	PRKCE,ACTR2,ACTR3,CLDN16,ACTG1,CLDN10,ARPC1B,TUBA1C,MYH9,RAP1A,TUBA4A,HSPA4,ARPC4,WAS,ACTN4,MSN,ACTB,HCLS1,MYL6,VASP,RAP2C,LLGL1,SLC9A3R1,RHOA,CLDN1,ARPC2,MYH14,RUNX1,ARPC3,MYL12A,TJP3,YBX3,WHAMM,ERBB2,EZR,CGN,CCND1,PARD6B,CLDN7,PARD3	0.0315563725490196	0.0420751633986928
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	primary	GSE189357	continuous_z	9			15607	21	-0.199477890287569	-0.610856530330439	0.958391399562015	12	B2M,HLA-C,HLA-E,NLRC5,TAP1,IRF1,HLA-B,HLA-G,HLA-F,TAP2,PSMB9,PSMB8	0.958391399562015	0.958391399562015
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	secondary	GSE189357	continuous_z	9			15607	37	0.299497301434102	1.06077884274294	0.361099712761592	11	SLC39A9,TBCD,MICALL2,CLDN15,MARVELD3,CLDN9,GRHL2,CLDN3,CLDN6,CLDN7,CLDN8		0.481466283682123
GOBP_TIGHT_JUNCTION_ORGANIZATION	secondary	GSE189357	continuous_z	9			15607	68	0.213866087367277	0.86245844180769	0.741071428571429	16	SLC39A9,TBCD,MICALL2,CLDN15,MARVELD3,CLDN9,LSR,SNAI1,TGFB3,GRHL2,CLDN3,ILDR1,CLDN6,CLDN7,CLDN8,PLEC		0.846938775510204
HALLMARK_APICAL_JUNCTION	primary	GSE189357	continuous_z	9			15607	170	-0.325341935322555	-1.51285964142999	0.00344365792997896	42	CERCAM,MAPK11,THY1,SORBS3,MMP2,MYL9,AKT3,VCL,NFASC,VWF,GNAI2,ARHGEF6,CALB2,BMP1,ARPC2,CD99,RHOF,SGCE,CLDN18,CD34,CDH11,CD274,CDK8,KCNH2,VCAM1,COL16A1,PECAM1,MYH9,FBN1,JAM3,CLDN5,ACTG2,NEXN,SIRPA,NEGR1,ITGB1,CLDN11,PARD6G,EPB41L2,FLNC	0.0103309737899369	0.0137746317199158
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	primary	GSE189357	continuous_z	9			15607	181	-0.575324985518943	-2.69871564585699	4.95616658990106e-20	74	FN1,LUM,GJA1,MYLK,ADAM12,SPARC,THY1,COL4A1,PMP22,BGN,POSTN,COL4A2,EFEMP2,COL6A2,COL1A2,COL6A3,MMP2,PDGFRB,MYL9,PCOLCE,LOXL1,CALD1,PVR,ACTA2,FBLN2,TAGLN,THBS2,DCN,BMP1,FAP,COL3A1,SGCD,HTRA1,ITGA5,TGFBR3,CDH11,DAB2,LRP1,VIM,INHBA	2.97369995394064e-19	3.96493327192085e-19
HALLMARK_INTERFERON_ALPHA_RESPONSE	primary	GSE189357	continuous_z	9			15607	94	-0.278677136279432	-1.1812854395986	0.168139854645453	31	C1S,CSF1,IL4R,ELF1,GMPR,TMEM140,PROCR,IFIH1,LAP3,SAMD9,LPAR6,RSAD2,EPSTI1,B2M,GBP4,CCRL2,PARP12,IL7,DHX58,ISG20,SP110,HLA-C,BST2,SAMD9L,IFI27,HERC6,PARP9,IRF9,PARP14,UBE2L6,CMPK2	0.201767825574543	0.269023767432724
HALLMARK_INTERFERON_GAMMA_RESPONSE	primary	GSE189357	continuous_z	9			15607	194	-0.288832127194598	-1.36950363985624	0.0151285930408472	82	C1R,PTPN1,ZNFX1,C1S,SERPING1,IL4R,STAT4,MYD88,NFKB1,CD274,ARID5B,VCAM1,PDE4B,SELP,IL2RB,CSF2RB,CD40,ST8SIA4,CMKLR1,IFIH1,LAP3,SLAMF7,LATS2,IL15RA,RSAD2,EPSTI1,VAMP5,B2M,XAF1,MTHFD2,CD38,BTG1,GBP4,SOD2,PARP12,IL7,BANK1,SAMHD1,DHX58,ISG20	0.0302571860816944	0.0403429147755925
KEGG_TIGHT_JUNCTION	primary	GSE189357	continuous_z	9			15607	143	-0.274522606372447	-1.24360090401292	0.0802792321116928	38	TIAM1,MYL9,TUBA1A,RAB8B,ARPC2,CLDN18,MPDZ,PPP2R2A,ACTR3,PPP2R1B,MYH9,JAM3,WHAMM,CLDN5,RAB8A,CACNA1D,ITGB1,HCLS1,JAM2,PRKACB,CLDN11,PARD6G,AMOTL1,ARHGEF2,PARD6B,CGN,RAPGEF2,CFTR,ACTN1,MAGI1,MYH11,RDX,PPP2CA,NEDD4,WAS,RHOA,ROCK1,RAP1A	0.120418848167539	0.160558464223386
