interaction_name	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	ligand_class	pair_origin	method	n_sender_high	n_receiver_high	ligand_mean_high	receptor_mean_high	ligand_prop_high	receptor_prop_high	detected_high	score_high	n_sender_low	n_receiver_low	ligand_mean_low	receptor_mean_low	ligand_prop_low	receptor_prop_low	detected_low	score_low	delta	pass_either	cohort	patient	destination	rule
IGFBP3_TMEM219	other	Signaling by Insulin-like growth factor	IGFBP3	TMEM219	IGFBP3	TMEM219	other	cellphonedb_v5_interactors	liana_cpdb	593	137	0.13348807394504547	0.3009953796863556	0.14333894848823547	0.18248175084590912	True	0.21724172681570053	593	137	0.07905785739421844	0.3009953796863556	0.08431702852249146	0.18248175084590912	False	0.0	0.21724172681570053	True	GSE131907	P1006	TLS	median
ITGAV+ITGB1_ADGRE5	other	Signaling by Integrin	ITGAV+ITGB1	ADGRE5	ITGAV|ITGB1	ADGRE5	other	cellphonedb_v5_interactors	liana_cpdb	593	137	0.21120165288448334	0.23329049348831177	0.3473861813545227	0.131386861205101	True	0.22224607318639755	593	137	0.1630418598651886	0.23329049348831177	0.21247892081737518	0.131386861205101	True	0.19816617667675018	0.02407989650964737	True	GSE131907	P1006	TLS	median
LPAR1_ADGRE5	other	Signaling by Lysophosphatidic acid receptor	LPAR1	ADGRE5	LPAR1	ADGRE5	other	cellphonedb_v5_interactors	liana_cpdb	593	137	0.08330057561397552	0.23329049348831177	0.17369309067726135	0.131386861205101	True	0.15829553455114365	593	137	0.04479920491576195	0.23329049348831177	0.0860033705830574	0.131386861205101	False	0.0	0.15829553455114365	True	GSE131907	P1006	TLS	median
LPAR2_ADGRE5	other	Signaling by Lysophosphatidic acid receptor	LPAR2	ADGRE5	LPAR2	ADGRE5	other	cellphonedb_v5_interactors	liana_cpdb	593	137	0.1041228324174881	0.23329049348831177	0.21585160493850708	0.131386861205101	True	0.16870666295289993	593	137	0.05343655124306679	0.23329049348831177	0.0893760547041893	0.131386861205101	False	0.0	0.16870666295289993	True	GSE131907	P1006	TLS	median
PPIA_BSG	other		PPIA	BSG	PPIA	BSG	other	cellphonedb_v5_interactors	liana_cpdb	593	137	2.101418972015381	0.4262376129627228	0.9443507790565491	0.24817518889904022	True	1.2638282924890518	593	137	2.2911856174468994	0.4262376129627228	0.8937605619430542	0.24817518889904022	True	1.358711615204811	-0.09488332271575928	True	GSE131907	P1006	TLS	median
PVR_CD96	other	Signaling by Poliovirus receptor	PVR	CD96	PVR	CD96	barrier|inhibitory	cellphonedb_v5_interactors	liana_cpdb	593	137	0.07378707826137543	0.19156986474990845	0.16694772243499756	0.10218977928161621	True	0.13267847150564194	593	137	0.0588429719209671	0.19156986474990845	0.09780775755643845	0.10218977928161621	False	0.0	0.13267847150564194	True	GSE131907	P1006	TLS	median
PVR_TIGIT	other	Signaling by Poliovirus receptor	PVR	TIGIT	PVR	TIGIT	barrier|inhibitory	cellphonedb_v5_interactors	liana_cpdb	593	137	0.07378707826137543	0.23089098930358887	0.16694772243499756	0.11678832024335861	True	0.15233903378248215	593	137	0.0588429719209671	0.23089098930358887	0.09780775755643845	0.11678832024335861	False	0.0	0.15233903378248215	True	GSE131907	P1006	TLS	median
SEMA4D_PTPRC	other	Signaling by Semaphorin	SEMA4D	PTPRC	SEMA4D	PTPRC	other	cellphonedb_v5_interactors	liana_cpdb	593	137	0.05473393201828003	0.9206682443618774	0.13153457641601562	0.45985400676727295	True	0.48770108819007874	593	137	0.04514995217323303	0.9206682443618774	0.06745362281799316	0.45985400676727295	False	0.0	0.48770108819007874	True	GSE131907	P1006	TLS	median
SFTPD_ADGRE5	other		SFTPD	ADGRE5	SFTPD	ADGRE5	other	cellphonedb_v5_interactors	liana_cpdb	593	137	0.1267818659543991	0.23329049348831177	0.18718381226062775	0.131386861205101	True	0.18003617972135544	593	137	0.0761580541729927	0.23329049348831177	0.08768971264362335	0.131386861205101	False	0.0	0.18003617972135544	True	GSE131907	P1006	TLS	median
MDK_NCL	MK	Secreted Signaling	MDK	NCL	MDK	NCL	other	cellchatdb_v2	cellchat	593	611	1.4204243421554565	0.5197303891181946	0.7824620604515076	0.3518821597099304	True	0.5962003082361319	593	611	1.2372978925704956	0.5197303891181946	0.6222596764564514	0.3518821597099304	True	0.5625781457491904	0.0336221624869415	True	GSE131907	P1006	TNK	median
FN1_CD44	FN1	ECM-Receptor	FN1	CD44	FN1	CD44	other	cellchatdb_v2	cellchat	593	611	0.07862928509712219	0.6545048356056213	0.2580101191997528	0.4058919847011566	True	0.09332126404928648	593	611	0.008705370128154755	0.6545048356056213	0.12478920817375183	0.4058919847011566	True	0.011267021320238558	0.08205424272904792	True	GSE131907	P1006	TNK	median
COL2A1_CD44	COLLAGEN	ECM-Receptor	COL2A1	CD44	COL2A1	CD44	other	cellchatdb_v2	cellchat	593	611	0.6345959901809692	0.6545048356056213	0.5564923882484436	0.4058919847011566	True	0.4537585555451882	593	611	0.36102917790412903	0.6545048356056213	0.3440134823322296	0.4058919847011566	True	0.3209246738623874	0.1328338816828008	True	GSE131907	P1006	TNK	median
COL4A4_CD44	COLLAGEN	ECM-Receptor	COL4A4	CD44	COL4A4	CD44	other	cellchatdb_v2	cellchat	593	611	0.02089785411953926	0.6545048356056213	0.16357503831386566	0.4058919847011566	True	0.02662709581292277	593	611	0.0	0.6545048356056213	0.0826306939125061	0.4058919847011566	False	0.0	0.02662709581292277	True	GSE131907	P1006	TNK	median
COL9A2_CD44	COLLAGEN	ECM-Receptor	COL9A2	CD44	COL9A2	CD44	other	cellchatdb_v2	cellchat	593	611	0.033783115446567535	0.6545048356056213	0.19730184972286224	0.4058919847011566	True	0.04234962187279508	593	611	0.0	0.6545048356056213	0.0893760547041893	0.4058919847011566	False	0.0	0.04234962187279508	True	GSE131907	P1006	TNK	median
LAMA3_CD44	LAMININ	ECM-Receptor	LAMA3	CD44	LAMA3	CD44	other	cellchatdb_v2	cellchat	593	611	0.17124328017234802	0.6545048356056213	0.3743676245212555	0.4058919847011566	True	0.18311272453654345	593	611	0.021532360464334488	0.6545048356056213	0.14671163260936737	0.4058919847011566	True	0.027413392348458993	0.15569933218808446	True	GSE131907	P1006	TNK	median
LAMA5_CD44	LAMININ	ECM-Receptor	LAMA5	CD44	LAMA5	CD44	other	cellchatdb_v2	cellchat	593	611	0.41777312755584717	0.6545048356056213	0.558178722858429	0.4058919847011566	True	0.35353287291650876	593	611	0.15678870677947998	0.6545048356056213	0.29342326521873474	0.4058919847011566	True	0.17028831221164226	0.1832445607048665	True	GSE131907	P1006	TNK	median
LAMB2_CD44	LAMININ	ECM-Receptor	LAMB2	CD44	LAMB2	CD44	other	cellchatdb_v2	cellchat	593	611	0.04574373736977577	0.6545048356056213	0.22259695827960968	0.4058919847011566	True	0.056496066927120704	593	611	0.002903919667005539	0.6545048356056213	0.11467116326093674	0.4058919847011566	True	0.0037868640776445033	0.0527092028494762	True	GSE131907	P1006	TNK	median
