set_name	gene	role	source
Hallmark_IFN_gamma	Mettl7b	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	St8sia4	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Xcl1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Il2rb	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Vamp5	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Il18bp	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Znfx1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Arid5b	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Apol6	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Stat4	secondary	MSigDB Hallmark 2020 interferon gamma response
KEGG_cytosolic_DNA	Zbp1	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Polr3gl	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Ripk3	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Tmem173	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Il18	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Cxcl10	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Nfkbib	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Il1b	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Nfkbia	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Polr3a	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Il6	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Polr3b	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Polr3c	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Polr3d	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Polr3e	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Polr3f	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Irf3	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Polr3g	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Polr3h	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Irf7	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Polr3k	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Rela	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Adar	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Pycard	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Casp1	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Ripk1	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Ifna12	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Il33	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Ifna13	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Ifna14	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Ifna15	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Ddx58	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Chuk	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Nfkb1	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Ifi202b	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Aim2	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Mavs	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Polr1c	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Polr1d	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Ifna11	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Ifna6	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Ifna5	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Ifna7	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Ifna2	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Ifna1	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Ifna4	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Ifna9	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Ikbkb	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Ifnab	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Tbk1	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Polr2e	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Ccl5	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Ccl4	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Polr2f	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Trex1	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Ifnb1	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Polr2h	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Ikbkg	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Ikbke	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
KEGG_cytosolic_DNA	Polr2l	secondary	KEGG 2019 Mouse cytosolic DNA-sensing; CGAS symbol unmatched
