names,scores,logfoldchanges,pvals,pvals_adj
AREG,1.9262326,0.30479625,0.054075332611993134,0.099961292201957
HEY2,1.9256518,0.11014473,0.0541478605438495,0.10008511583885688
UCN2,1.9255688,0.44958156,0.05415822830078172,0.10009403107227809
CHTF8,1.9244072,0.17323555,0.054303550921674625,0.1003420680439091
OVCH1,1.9239924,0.13693076,0.054355530644003926,0.10042783693748879
GYG1,1.9227479,0.12858178,0.054511718938622326,0.10068549846520859
PRKAR2A,1.92225,0.011878014,0.05457429899572142,0.10078046437906699
OXTR,1.9202588,0.7988287,0.054825218779524905,0.10122312074317479
SLC9A3,1.9192631,0.68860394,0.054951038990435956,0.10144504621069028
FAM71E1,1.9156125,0.0040735807,0.05541444128608354,0.10227961440933096
STRC,1.9144509,1.0050569,0.05556256867475449,0.10253205072936142
CCNO,1.9144509,0.33372962,0.05556256867475449,0.10253205072936142
AK1,1.9138701,0.18127002,0.05563675599972558,0.10265845830570788
PSMD9,1.9119618,0.15974279,0.0558810956438236,0.10308823008971464
PPP2CB,1.911547,0.12595874,0.05593433105960205,0.10317589441289424
LRRIQ4,1.908809,0.43081152,0.05628674513981365,0.10378353692258768
STBD1,1.9078133,-0.059100475,0.05641535319482015,0.10399942522476137
SMIM20,1.9076474,-0.05984074,0.05643681163459431,0.10402836026540035
FAM76A,1.9066517,0.014922942,0.05656570499880057,0.10424465826289779
TMCC1,1.9066517,-0.017831106,0.05656570499880057,0.10424465826289779
MSN,1.9053242,0.19780996,0.05673794385610133,0.10455140353518395
EID2B,1.9052413,-0.15950099,0.056748723259757,0.10456059410169352
RIOX2,1.9051583,0.054418117,0.05675950436753342,0.10456978593194008
TRIO,1.9046605,0.09507764,0.056824226811658725,0.10466766315997092
SFT2D2,1.9039137,-0.027927505,0.05692142561141015,0.10483600250589546
KATNBL1,1.9036648,0.462253,0.056953855934698046,0.1048850312342246
ORAI3,1.9034989,-0.14936586,0.05697548468904972,0.10491416004604392
CTDSPL,1.90325,-0.059758157,0.05700794063272318,0.10496321797476303
CFHR3,1.903167,0.79745865,0.057018762697967906,0.10497243758784568
ZFAND4,1.9026692,-0.010461447,0.05708373098532429,0.10507061536277114
SMIM19,1.9025862,0.047479805,0.05709456501768856,0.10507984323216756
SMCO1,1.9020054,1.0300491,0.05717045114554332,0.10519805876368296
DUSP6,1.9009268,0.09226699,0.0573116051026252,0.10544704514040895
DDIT4,1.9008439,0.1896638,0.057322475093806634,0.10545629704152563
TMBIM4,1.900263,0.13451076,0.05739861304833448,0.10558560845339132
LPAR2,1.8983546,0.018752422,0.0576493729395086,0.10602527808444874
TMED9,1.8981057,0.18624152,0.05768214779397511,0.10607474932511282
FRA10AC1,1.8979398,0.117026575,0.0577040063012895,0.10610262506968288
ZBTB24,1.8978568,-0.123368494,0.057714938136835196,0.10610262506968288
RIIAD1,1.8976909,1.0528419,0.05773680697268246,0.10612121525940096
CNIH2,1.8969442,0.20549244,0.05783530199124446,0.10629142897769889
CYP4B1,1.8966953,0.4938818,0.05786816468318741,0.10633017577868523
PLXNA2,1.8965293,-0.100165024,0.05789008176546719,0.10635962203459998
TPRG1L,1.8954507,0.10879653,0.05803271102410978,0.10659997274300506
MCIDAS,1.8950359,1.4753807,0.05808764613184001,0.1066900270239198
ST3GAL6,1.8948699,0.13682818,0.058109632270833655,0.10671955151427874
STOX1,1.8927127,0.5346153,0.05839608184982608,0.10723471321685588
CRTC1,1.8913852,-0.06306268,0.05857294080871035,0.10754854560818225
MTFR2,1.8911363,0.30394045,0.05860615133849123,0.1075985813194124
ZNF223,1.8899747,-0.08849769,0.058761340647637245,0.10787253230748375
MTRF1L,1.8888961,0.5217881,0.0589057503917822,0.10812664075473757
ZNF775,1.8884813,0.007991275,0.05896137099940787,0.10820673281003458
TAS2R30,1.8883153,0.336603,0.058983631446928614,0.1082365824874367
ALPK1,1.8881494,-0.029700208,0.05900589887079176,0.10826643889769323
ANKFN1,1.8877345,1.4964252,0.05906159796227087,0.10834661396330413
PPWD1,1.8871537,0.18206258,0.059139650005257574,0.1084787747962726
STAT3,1.8857433,0.24598,0.05932956145573082,0.10880501553843036
LTO1,1.8855773,-0.056443293,0.05935193721411693,0.10883499467003079
ZNF2,1.8849965,0.3725751,0.05943030752200151,0.10896763576017604
STAT5B,1.8847476,0.14965512,0.05946392107220847,0.10900712501183789
PLCXD2,1.8841668,0.07999903,0.059542414037674386,0.10913993305128802
PDE10A,1.8840009,0.038559455,0.0595648563816069,0.10916998500072583
PCNX3,1.883835,0.054204218,0.05958730574281517,0.10920004370876482
SNCA,1.8832542,-0.07594041,0.05966593379084187,0.10932194283224077
ZBTB17,1.8830882,0.09259044,0.05968841474929286,0.10935203485579298
ADCY5,1.880848,-0.11874713,0.05999259599563541,0.10988700644371002
DRC1,1.8805991,0.84631014,0.060026473122295254,0.10993790395422504
RNF34,1.8804332,-0.017082928,0.06004906668507395,0.1099681274970217
RECK,1.8803502,-0.047561496,0.06006036611055671,0.1099776640018136
CERS5,1.8795205,0.06949511,0.06017345736248998,0.11017357259280242
ZNF445,1.8792716,-0.07444712,0.06020741914590659,0.11022457538191376
ZNF530,1.8789397,0.2521769,0.06025272624251192,0.11028515328561976
CFAP206,1.8789397,0.97263676,0.06025272624251192,0.11028515328561976
ABL1,1.87811,0.13432181,0.06036611765589603,0.11048150061251936
LACTB2,1.8776952,0.12206081,0.06042287966225885,0.11057417603069021
ZNF697,1.8773633,0.0034508712,0.06046832111369915,0.11064611808895304
LSMEM1,1.8770314,0.5705238,0.060513790886697595,0.11071809738294838
NEU1,1.8769485,0.08259243,0.06052516275667194,0.11072768172336832
TRMT1L,1.8749572,-0.045367908,0.06079861941591638,0.11117162729824151
HPN,1.8747913,0.34736654,0.06082145360467954,0.11119085589116756
QTRT1,1.8739614,0.08497376,0.06093573115348504,0.11138849276163075
