ModelID,CellLineName,StrippedCellLineName,ModelType,DepmapModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,PrimaryOrMetastasis,TACSTD2,CLDN4
ACH-000451,NCI-H2085,NCIH2085,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,8.03804103701151,8.717950543348598
ACH-000841,NCI-H2087,NCIH2087,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,8.132319783167718,8.3387809438947
ACH-000904,NCI-H2106,NCIH2106,Cell Line,LCLC,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Metastatic,0.8639384504239714,6.494095544940635
ACH-000929,NCI-H2110,NCIH2110,Cell Line,NSCLC,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Metastatic,8.766860143829545,8.915401388260412
ACH-000311,NCI-H2122,NCIH2122,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,7.302227645681221,8.631649992945023
ACH-000785,NCI-H2126,NCIH2126,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,8.774490584953922,7.608365723163637
ACH-000481,NCI-H2170,NCIH2170,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Primary,7.403693786262805,8.974787405160122
ACH-000924,NCI-H2172,NCIH2172,Cell Line,NSCLC,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Primary,6.455656002220498,2.957914598632985
ACH-000447,NCI-H2228,NCIH2228,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,5.212569338850806,6.435461914479276
ACH-000718,NCI-H2291,NCIH2291,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,8.58942643932765,9.779932707234156
ACH-000900,NCI-H23,NCIH23,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,0.4436066514756145,1.292781749227846
ACH-000951,NCI-H2342,NCIH2342,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,7.909533114946893,8.997687581487513
ACH-000875,NCI-H2347,NCIH2347,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,9.138297402341518,8.640027973286244
ACH-000121,NCI-H2405,NCIH2405,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,1.3448284969974411,7.188737187185129
ACH-000186,NCI-H2444,NCIH2444,Cell Line,NSCLC,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Primary,7.261154672615572,9.399705168175638
ACH-000700,NCI-H2882,NCIH2882,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Primary,0.2016338611696504,3.817623257511431
ACH-000251,NCI-H2887,NCIH2887,Cell Line,NSCLC,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Primary,0.3673710656485294,9.220378327695228
ACH-001075,NCI-H292,NCIH292,Cell Line,LUMEC,Lung,Non-Small Cell Lung Cancer,Mucoepidermoid Carcinoma of the Lung,Metastatic,9.616107697600578,8.258141995893771
ACH-000337,NCI-H3122,NCIH3122,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,7.42097076340615,7.350497247084133
ACH-000837,NCI-H322,NCIH322,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,7.898389766534846,7.851686585733419
ACH-000109,NCI-H3255,NCIH3255,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,9.574479999326677,10.91513244895065
ACH-000860,NCI-H358,NCIH358,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,7.492414035336726,7.9341036373619165
ACH-000638,NCI-H441,NCIH441,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,9.17587385548062,8.106484424292539
ACH-000463,NCI-H460,NCIH460,Cell Line,LCLC,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Metastatic,0.2265085298086797,4.671859468247477
ACH-000395,NCI-H520,NCIH520,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Primary,1.3448284969974411,3.063502942306158
ACH-000343,NCI-H522,NCIH522,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,0.2750070474998697,1.6461626571578936
ACH-000628,NCI-H596,NCIH596,Cell Line,LUAS,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,Primary,9.605553595494404,7.769507291436245
ACH-000378,NCI-H647,NCIH647,Cell Line,LUAS,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,Metastatic,6.129283016944966,6.661350569233997
ACH-000945,NCI-H650,NCIH650,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,4.558879853475442,1.15704371014558
ACH-000853,NCI-H661,NCIH661,Cell Line,LCLC,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Metastatic,0.8237493603082727,2.097610796626422
ACH-000789,NCI-H810,NCIH810,Cell Line,LCLC,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Primary,0.4436066514756145,6.785419772149728
ACH-000416,NCI-H838,NCIH838,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,3.1651079851445365,0.5459683691052926
ACH-002497,NCI-H920,NCIH920,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,4.85598969730848,5.420549772116318
ACH-000030,PC-14,PC14,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,8.783784026219614,9.117279460053922
ACH-000779,PC-9,PC9,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,7.915461145743733,7.807354922057604
ACH-000261,RERF-LC-AI,RERFLCAI,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Metastatic,4.621172752683435,3.125981653854716
ACH-000791,RERF-LC-Ad1,RERFLCAD1,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,10.143893360756412,9.783653086390071
ACH-000774,RERF-LC-Ad2,RERFLCAD2,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,8.40981519582048,8.132319783167718
ACH-000482,RERF-LC-KJ,RERFLCKJ,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,9.157447996274298,7.835734632321086
ACH-000062,RERF-LC-MS,RERFLCMS,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,3.534808661231747,5.811471030529836
ACH-000442,RERF-LC-Sq1,RERFLCSQ1,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Primary,3.4918530963296748,5.204766750654613
ACH-000665,SK-MES-1,SKMES1,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Metastatic,7.525207571284386,7.105908508571158
ACH-002526,SNU-1327,SNU1327,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,7.847809043407229,6.617798025902778
ACH-002522,SNU-2292,SNU2292,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,3.428946344769483,1.5459683691052926
ACH-002531,SNU-2535,SNU2535,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,8.845960418293286,8.178266467781853
ACH-000677,SW 1573,SW1573,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,1.632268215499513,3.056583528366368
ACH-000669,SW 900,SW900,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Primary,6.709290635723358,8.359793477311143
ACH-000553,Sq-1,SQ1,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Primary,9.11097913063484,8.568070117946721
ACH-000813,T3M-10,T3M10,Cell Line,LCLC,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Metastatic,4.5496691707264905,5.012568673503056
ACH-002034,T3M-11,T3M11,Cell Line,NUTCL,Lung,Non-Small Cell Lung Cancer,NUT Carcinoma of the Lung,Primary,0.0840642647884745,0.6507645591169022
ACH-000530,DMS 114,DMS114,Cell Line,SMARCA4-UT,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,Primary,0.3448284969974411,0.9855004303048848
ACH-000129,NCI-H1341,NCIH1341,Cell Line,SMARCA4-UT,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,Metastatic,0.2986583155645151,4.563768278452033
ACH-000752,NCI-H196,NCIH196,Cell Line,SMARCA4-UT,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,Metastatic,0.4854268271702416,1.782408564927373
ACH-000292,NCI-H841,NCIH841,Cell Line,SMARCA4-UT,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,Metastatic,0.2141248053528473,1.1890338243900171
ACH-000890,SW 1271,SW1271,Cell Line,SMARCA4-UT,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,Primary,0.4854268271702416,2.130930869826449
