ModelID,TACSTD2,CLDN1,CLDN3,CLDN4,CLDN5,CLDN7,CLDN18,EPCAM,KRT8,KRT18,KRT19,CellLineName,StrippedCellLineName,ModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,CCLEName,disease_group
ACH-000891,6.668884984266247,6.0103322832848205,0.3219280948873623,1.599317793698226,0.2265085298086797,2.929790997718597,0.1110313123887439,0.8875252707415875,8.710806433699352,7.753818443173543,2.6530600171045644,HCC-1438,HCC1438,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,HCC1438_LUNG,NSCLC
ACH-000851,6.603181229013857,0.137503523749935,5.453188309548226,7.696202521253611,0.1505596765753814,8.027629591733156,0.070389327891398,8.499128346499322,8.641329261745685,9.592008461307303,8.405864757183819,MOR/CPR,MORCPR,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,MORCPR_LUNG,NSCLC
ACH-000506,0.9560566524124028,5.338780943894699,5.913128767819739,2.111031312388744,0.4956951626240687,6.4379600883344725,6.622491152061169,8.604367899893749,8.67972639226852,7.675674815601082,6.92955431573285,NCI-H146,NCIH146,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH146_LUNG,NET
ACH-000603,0.5753123306874368,1.8991756304805127,7.281327329659484,8.753350480643723,2.456806149230474,7.285217246102088,0.9708536543404837,8.833237990736135,9.623643764021152,9.220595985296796,8.40985761492755,BEN,BEN,Cell Line,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,BEN_LUNG,NSCLC
ACH-001386,0.2016338611696504,0.4005379295837288,1.8914191868460783,6.463851292611099,3.19534759832222,5.787118982813345,0.070389327891398,9.045268215138533,7.708739041359579,6.883009789619095,3.4905701304462013,SCLC-22H,SCLC22H,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC22H_LUNG,NET
ACH-000129,0.2986583155645151,0.1243281350022017,0.1505596765753814,4.563768278452033,0.5753123306874368,0.3448284969974411,0.3673710656485294,3.3950627995175777,8.76268101188334,5.7938958825488776,7.102973004241397,NCI-H1341,NCIH1341,Cell Line,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,,NCIH1341_LUNG,other
ACH-000434,1.7907720378619998,1.15704371014558,0.2630344058337938,1.6182386555954549,0.0565835283663675,4.443606651475615,0.2387868595871165,6.00786824333334,7.434378027611664,7.569020121958929,1.613531652917927,NCI-H1915,NCIH1915,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NCIH1915_LUNG,NSCLC
ACH-000514,0.3334237337251918,2.62993940943954,5.282069075198131,5.560409266362118,2.5897634869849773,3.361768359419153,0.3448284969974411,6.945677926114088,6.791423396869357,5.781621997870603,4.921721947009604,NCI-H1092,NCIH1092,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1092_LUNG,NET
ACH-000414,0.7048719644563528,4.428946344769483,0.7136958148433591,5.127633279725874,0.1110313123887439,3.593353770980297,0.3334237337251918,5.053545817727984,11.26455988773863,11.014927101990123,2.204766750654613,NCI-H1944,NCIH1944,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1944_LUNG,NSCLC
ACH-003071,0.879705766282288,2.8439838440483265,1.7180875839605168,4.993221467368938,0.0565835283663675,6.884353706847985,0.2016338611696504,7.723148957047578,5.439290681042018,6.726695004499616,3.8747969658986654,NCI-H748,NCIH748,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH748_LUNG,NET
ACH-000665,7.525207571284386,4.8283269264148165,2.307428525192248,7.105908508571158,0.0,1.819668183496456,0.2868811477881615,4.433627167084783,8.118629666086859,7.439456918876031,9.07159643579132,SK-MES-1,SKMES1,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,SKMES1_LUNG,NSCLC
ACH-002522,3.428946344769483,2.899175630480513,0.0,1.5459683691052926,0.0,2.1473066987802936,0.070389327891398,1.4329594072761065,7.75702324650746,6.995258373404689,4.754353071692127,SNU-2292,SNU2292,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,SNU2292_LUNG,NSCLC
ACH-000803,1.4750848829487828,3.903038270112912,6.333065878076355,7.3474884972117955,0.3219280948873623,6.531537419117717,5.318316841334983,8.8140055929926,9.451479016035302,9.860978311959157,7.46532151358055,COLO 668,COLO668,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,COLO668_LUNG,NET
ACH-001549,0.1505596765753814,0.0,0.0976107966264223,7.003152448666922,0.0565835283663675,5.269781238274379,0.0426443374084937,2.702657543390911,7.327597552177332,0.0,8.412908517552006,Lu-135,LU135,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,LU135_LUNG,NET
ACH-000706,1.613531652917927,6.656067273725599,1.4750848829487828,1.6780719051126378,0.070389327891398,1.070389327891398,0.2016338611696504,5.319762427669248,11.4202760618854,11.67485430794662,6.9233869155047145,EKVX,EKVX,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,EKVX_LUNG,NSCLC
ACH-000737,0.5160151470036647,0.3334237337251918,4.28021399581062,7.925584109389362,5.263410058756341,7.47994190147713,0.01435529297707,10.33973867952789,9.024364009114173,9.094922200409158,3.7092906357233577,NCI-H1385,NCIH1385,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NCIH1385_LUNG,NSCLC
ACH-003121,0.7398481026993275,0.0,2.9240998856407416,5.414135532984451,0.0,5.886306263452426,0.0,7.931860310469373,8.577844203977941,9.040810257796371,3.1292830169449664,NCI-H2679,NCIH2679,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH2679_LUNG,NET
ACH-000251,0.3673710656485294,6.185271905593818,3.0197019144425483,9.220378327695228,0.1243281350022017,2.0250287944915226,0.0285691521967709,5.526068811667588,9.47082153663545,9.259649120649156,9.514477365681069,NCI-H2887,NCIH2887,Cell Line,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,NCIH2887_LUNG,NSCLC
ACH-002526,7.847809043407229,6.914325330085303,2.776103988073164,6.617798025902778,0.0,6.58781501278806,0.0,9.232876569360682,10.559472693392156,11.197462446460598,3.956056652412403,SNU-1327,SNU1327,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,SNU1327_LUNG,NSCLC
ACH-000951,7.909533114946893,1.9297909977185967,6.049848549450561,8.997687581487513,0.1890338243900171,7.141187525005,0.0,8.632268215499513,12.413627929024171,12.106366642051372,11.147077697547562,NCI-H2342,NCIH2342,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2342_LUNG,NSCLC
ACH-000826,9.267582613736998,6.880195728943098,2.994579724215748,8.59245703726808,0.0840642647884745,7.983506695107868,0.01435529297707,8.429574122091468,13.536975665610642,13.131744446581491,11.522777669524576,CAL-12T,CAL12T,Cell Line,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,CAL12T_LUNG,NSCLC
ACH-000669,6.709290635723358,4.009884588931844,4.138323004056484,8.359793477311143,0.0426443374084937,7.243935601566864,0.0426443374084937,7.480184323698703,10.444807844642602,10.206526015877428,9.967226258835993,SW 900,SW900,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,SW900_LUNG,NSCLC
ACH-002051,2.0840642647884744,1.0285691521967708,2.9049657186840263,6.302501844112321,0.070389327891398,6.521364878446219,0.0840642647884745,7.196725060786028,8.037601860435549,7.058316495590823,8.473381055972428,Lu-134-A,LU134A,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,LU134A_LUNG,NET
ACH-000589,6.179909090014935,3.3405622690264134,5.298291730620124,7.278356528010724,0.0976107966264223,7.311157949208863,0.0840642647884745,8.452241240430817,9.032238624546084,10.022645227708836,8.521718205940754,NCI-H1437,NCIH1437,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1437_LUNG,NSCLC
ACH-000628,9.605553595494404,7.211206928592899,2.985500430304885,7.769507291436245,0.137503523749935,7.011674533380918,0.0565835283663675,5.20906339534927,9.693887650472568,9.070255142425005,10.84799690655495,NCI-H596,NCIH596,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,LUAS,NCIH596_LUNG,NSCLC
ACH-000264,0.5260688116675876,4.588564737401351,1.0426443374084935,3.5360529002402097,0.2016338611696504,1.2387868595871168,0.0976107966264223,2.356143810225275,8.583646944675301,8.660530785239994,6.00943675560809,Calu-6,CALU6,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,CALU6_LUNG,NSCLC
ACH-000297,0.3561438102252753,0.4222330006830478,4.840966704487421,6.15704371014558,3.631104282365877,4.903520373723376,0.0,7.809028507711892,6.801029283808189,7.185271905593818,3.4046306842176115,NCI-H889,NCIH889,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH889_LUNG,NET
ACH-000843,5.270528942380718,6.448074996441805,0.2630344058337938,3.2078928516413328,0.0285691521967709,3.316145742293356,0.0976107966264223,6.8003822483033805,9.50245392955618,8.820880988283358,5.873813198359088,HARA,HARA,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,HARA_LUNG,NSCLC
ACH-002052,0.0,1.0285691521967708,2.8659188145522125,2.805292455600712,1.01435529297707,6.817239510989448,0.01435529297707,8.453270634010623,8.132422612465044,6.1945598860226125,5.2720231890610485,Lu-139,LU139,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,LU139_LUNG,NET
ACH-000840,4.655351828612554,8.026302110867295,3.929790997718597,1.835924074254375,0.1243281350022017,3.502075956045791,0.2141248053528473,5.358255586705128,12.01182126625052,12.019972894630234,9.44772382245264,HCC-366,HCC366,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,LUAS,HCC366_LUNG,NSCLC
ACH-000912,1.1309308698264486,7.961970533384498,2.176322772640463,0.9411063109464316,0.4329594072761062,0.3673710656485294,0.1763227726404628,0.8718436485093178,9.298154237247632,9.900625332536066,2.7092906357233577,NCI-H2286,NCIH2286,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH2286_LUNG,NET
ACH-000508,1.922197848396367,0.7398481026993275,5.166715444966423,7.228818690495881,4.192194165283345,5.94766615679601,4.474436043252266,8.871658865282566,8.753785022311993,8.539740425726224,6.707221068533154,COR-L88,CORL88,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,CORL88_LUNG,NET
ACH-000667,4.516015147003665,6.477029653013065,0.1763227726404628,5.751410160064371,0.2387868595871165,3.844988156682612,0.0976107966264223,4.368768349090335,7.785223580534427,8.604849706264881,6.380590934265922,HCC-44,HCC44,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HCC44_LUNG,NSCLC
ACH-003157,0.0285691521967709,3.270528942380718,0.0,0.1634987322828795,0.0,0.3103401206121505,0.4854268271702416,0.6507645591169022,5.759155833800272,8.267067557812478,0.0,ABM-T0822,ABMT0822,Cell Line,Lung,Non-Cancerous,Immortalized MPLC Cells,,,other
ACH-000718,8.58942643932765,5.556429415449573,6.780441342622351,9.779932707234156,0.0285691521967709,7.666472568842073,0.1243281350022017,9.158811626142636,10.915954050559652,10.929184422378802,11.239837168740346,NCI-H2291,NCIH2291,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2291_LUNG,NSCLC
ACH-000747,0.3785116232537298,5.1013979521825314,0.0565835283663675,0.8718436485093178,0.070389327891398,0.4222330006830478,0.2265085298086797,1.0285691521967708,2.6758159311722696,5.697106574476975,1.3504972470841332,NCI-H1703,NCIH1703,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NCIH1703_LUNG,NSCLC
ACH-000438,3.613531652917927,4.412781525338476,1.1043366598147355,7.421644094048272,1.4905701304462011,2.39231742277876,0.0285691521967709,6.811599469883661,9.596394775755115,9.15704371014558,8.302364751411035,Lu-65,LU65,Cell Line,Lung,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,GCLC,LU65_LUNG,NSCLC
ACH-002996,4.034743949324734,3.810443103845176,0.137503523749935,0.7570232465074596,0.0565835283663675,4.234961094839504,0.0285691521967709,0.8559896973084807,8.121688915976616,7.995314913096303,3.4475791965488827,CI34601,CI34601,Cell Line,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,CI34601_CENTRAL_NERVOUS_SYSTEM,NSCLC
ACH-000021,5.864681405572597,6.255311886359598,4.899659026377443,6.397118409042582,1.15704371014558,6.263973354803409,0.1110313123887439,7.938579853367896,10.933543132579706,11.513678255333035,8.332842173211525,NCI-H1693,NCIH1693,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1693_LUNG,NSCLC
ACH-000980,0.3561438102252753,0.2387868595871165,3.669026765509631,5.060047383669939,0.925999418556223,2.596935142387232,0.1763227726404628,2.1795110502715103,7.908152401809554,7.109673973006438,1.3561438102252754,NCI-H1155,NCIH1155,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NCIH1155_LUNG,NSCLC
ACH-003156,8.855927424942402,4.926473911256073,0.0,6.021923838554758,0.0285691521967709,7.410832910311608,0.0976107966264223,8.342252493099929,10.172927489603836,10.350718231237265,9.149950301681049,ABM-T0797,ABMT0797,Cell Line,Lung,Non-Cancerous,"Immortalized Epithelial Cells, Lung",,,other
ACH-000845,7.475247047287838,0.2986583155645151,3.5147534984397533,7.982594354827899,0.1110313123887439,6.187648995310601,0.2387868595871165,8.888560617713651,9.021840578128195,9.09887428674445,9.05837061728876,NCI-H1373,NCIH1373,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1373_LUNG,NSCLC
ACH-000698,6.278356528010724,3.092545741543565,6.561326136453918,8.729212856911676,0.1243281350022017,8.580258567499788,1.726831217032493,10.124509080959566,9.881297536911116,10.563100915791118,8.048377884414519,DMS 53,DMS53,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,DMS53_LUNG,NET
ACH-000852,8.705943353973835,3.905928478173135,7.078844629235234,9.144556281982275,0.070389327891398,7.4046306842176115,0.0565835283663675,9.20178086744061,12.019312725651384,11.627397086422128,10.550458217517315,NCI-H1435,NCIH1435,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1435_LUNG,NSCLC
ACH-003153,7.410493751910778,5.0716768737518585,0.0,4.0522419811811385,0.0285691521967709,7.457873322486426,0.1110313123887439,7.455327220304561,8.798666199463513,9.312361131585067,9.331947006713106,ABM-T0794,ABMT0794,Cell Line,Lung,Non-Cancerous,"Immortalized Epithelial Cells, Lung",,,other
ACH-000448,8.693591496830619,3.399171093819823,1.3219280948873624,6.976478203534362,0.1505596765753814,7.354381632113322,0.01435529297707,7.768051961361916,6.805679392720073,8.679092983049703,9.562318755272695,NCI-H1666,NCIH1666,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1666_LUNG,NSCLC
ACH-000867,7.084702108011991,5.7718855785153655,5.235727059838059,7.581049900945041,0.137503523749935,7.1543118114364885,0.01435529297707,7.341541061147701,9.965380273486431,9.78523993085477,8.503189699170994,ChaGo-K-1,CHAGOK1,Cell Line,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,CHAGOK1_LUNG,NSCLC
ACH-000766,9.097847785326554,7.027795440989855,4.894332742277694,8.380677507222886,0.2750070474998697,7.835166157220454,3.3603642765434705,8.619596417247081,9.743471209370892,9.47401008356019,10.85829188728283,NCI-H1648,NCIH1648,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1648_LUNG,NSCLC
ACH-000343,0.2750070474998697,0.1243281350022017,3.5570424152637194,1.6461626571578936,0.8559896973084807,0.6135316529179271,0.0565835283663675,5.857732233157667,3.2735158897021166,4.631686366311998,1.4646682670034443,NCI-H522,NCIH522,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH522_LUNG,NSCLC
ACH-000774,8.40981519582048,6.930619079024282,3.927896453728821,8.132319783167718,0.0840642647884745,7.468746213754123,0.070389327891398,7.873198002818278,11.873098008760122,12.088390747313127,10.98042523154384,RERF-LC-Ad2,RERFLCAD2,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,RERFLCAD2_LUNG,NSCLC
ACH-000733,7.210330413537888,4.89384755813292,6.1174872663259245,8.839707698350368,0.0426443374084937,6.725877459120227,0.137503523749935,9.246408087246383,8.486674154611038,8.33163356717103,9.6627573730834,NCI-H1838,NCIH1838,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1838_LUNG,NSCLC
ACH-000780,0.2509615735332187,0.5753123306874368,5.362469888750209,5.450881315273369,0.6599245584023783,6.488482874444532,0.0976107966264223,7.628481994383899,6.531537419117717,5.461070114033051,9.16241650646113,NCI-H1105,NCIH1105,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1105_LUNG,NET
ACH-000921,1.2141248053528475,4.5861642459309095,0.4114262457264649,0.765534746362977,0.6135316529179271,2.150559676575381,0.4436066514756145,1.7004397181410922,5.288727679514566,7.008988783227255,2.62760683812965,NCI-H157-DM,NCIH157DM,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NCIH157DM_LUNG,NSCLC
ACH-000790,0.3561438102252753,0.4646682670034443,4.563158130402808,6.3446509891484455,5.900383816666934,2.321928094887362,0.1110313123887439,6.59051219998164,8.082255509383947,8.322829497628895,1.761285273361619,SHP-77,SHP77,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SHP77_LUNG,NET
ACH-003012,0.0,4.443606651475615,0.1243281350022017,1.8439838440483265,0.0285691521967709,1.859969548221026,0.0565835283663675,1.5897634869849773,10.577051109735152,10.94178124227853,4.363171077119244,A549_CRAF_KD,A549CRAFKD,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,A549H3_Lung,NSCLC
ACH-000482,9.157447996274298,4.753818443173543,3.570462931026041,7.835734632321086,0.0426443374084937,8.727478050994762,0.137503523749935,9.35508676166836,11.389631339260522,11.633721812641012,10.983919909427518,RERF-LC-KJ,RERFLCKJ,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,RERFLCKJ_LUNG,NSCLC
ACH-000870,0.4114262457264649,1.989139007368233,5.443606651475615,2.1667154449664223,1.3950627995175775,5.0955025176586695,2.344828496997441,7.644072577802162,4.918386234446348,5.94251450533924,2.3757345385831563,NCI-H1930,NCIH1930,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1930_LUNG,NET
ACH-000779,7.915461145743733,3.904002316283692,2.9068905956085187,7.807354922057604,0.0426443374084937,7.643567621908798,0.0285691521967709,8.492373975496916,11.567195561406876,11.345017075159472,11.011995928781865,PC-9,PC9,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,PC9_LUNG,NSCLC
ACH-000290,0.6599245584023783,0.2141248053528473,6.488161489938661,7.313790025443685,0.5160151470036647,5.96624587322494,0.0976107966264223,8.421307468009088,9.79900633357897,9.151270288790164,7.696967526234287,NCI-H209,NCIH209,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH209_LUNG,NET
ACH-000378,6.129283016944966,5.600804954989473,1.8678964639926547,6.661350569233997,0.4222330006830478,5.60229058486114,0.3334237337251918,6.58014548442338,9.466790237803096,9.365250724673883,8.753617906390055,NCI-H647,NCIH647,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,LUAS,NCIH647_LUNG,NSCLC
ACH-000575,1.5897634869849773,0.5260688116675876,2.063502942306158,7.328315891666071,0.1110313123887439,1.6369145803558778,0.070389327891398,5.146084938616191,8.297099685836791,7.965380273486434,10.126317293422996,HCC-364,HCC364,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HCC364_LUNG,NSCLC
ACH-000767,0.3895668117627256,1.1763227726404628,5.724377421606217,6.461561300001896,0.3895668117627256,6.00786824333334,0.6690267655096305,8.529469598138546,8.304693557471008,8.291539097942621,5.444600813711502,NCI-H526,NCIH526,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH526_LUNG,NET
ACH-000451,8.03804103701151,5.10055722078293,2.722466024471091,8.717950543348598,0.6229303509201767,6.792855352362489,0.1763227726404628,7.883865154509794,11.664402838544769,11.001197052839505,11.04494049127973,NCI-H2085,NCIH2085,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2085_LUNG,NSCLC
ACH-000454,8.221393782341856,6.006746832440585,1.6040713236688608,7.283273598920621,0.137503523749935,6.369291981680036,0.01435529297707,8.47269083924278,8.862978233406409,8.106222672919126,11.252606304392662,HCC-95,HCC95,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,HCC95_LUNG,NSCLC
ACH-000161,0.7484612330040357,6.666614587352882,0.1505596765753814,4.739848102699328,0.1110313123887439,4.017031080527841,0.070389327891398,7.352793829401169,10.759472121202831,9.806968434121847,10.886611111851002,COR-L105,CORL105,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,CORL105_LUNG,NSCLC
ACH-000395,1.3448284969974411,0.4956951626240687,3.5570424152637194,3.063502942306158,0.3561438102252753,6.548282482376233,0.0840642647884745,8.874858429102035,8.469967353437859,8.29176929931869,7.899538192586938,NCI-H520,NCIH520,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NCIH520_LUNG,NSCLC
ACH-000916,7.812113112983306,4.573495715495609,6.762215915727782,8.778898476008376,0.0565835283663675,7.318859105968651,0.1110313123887439,8.804776377955827,11.095462957987872,10.794659544256415,10.390921283500449,NCI-H1573,NCIH1573,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1573_LUNG,NSCLC
ACH-000292,0.2141248053528473,3.060047383669939,2.568032104771279,1.1890338243900171,0.2630344058337938,0.4646682670034443,0.1634987322828795,1.7355221772965377,2.241840183564671,2.7398481026993275,1.111031312388744,NCI-H841,NCIH841,Cell Line,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,,NCIH841_LUNG,other
ACH-000837,7.898389766534846,3.9411063109464313,2.0669502439246266,7.851686585733419,0.2750070474998697,7.447661841697754,0.0426443374084937,9.322581668013784,10.98185265328974,10.773633760243664,10.17342729734862,NCI-H322,NCIH322,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH322_LUNG,NSCLC
ACH-000463,0.2265085298086797,4.37851162325373,0.8639384504239714,4.671859468247477,0.0840642647884745,2.27500704749987,0.0426443374084937,1.1176950426697545,10.081483438093674,9.260872501273102,9.673803730018257,NCI-H460,NCIH460,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NCIH460_LUNG,NSCLC
ACH-000064,9.762282367216285,8.038973843574201,0.5360529002402097,7.568336182133747,0.632268215499513,8.494095544940635,0.0285691521967709,8.717950543348598,7.7288048549177555,8.78528898070402,8.96254902292306,SALE,SALE,Cell Line,Lung,Non-Cancerous,Immortalized Lung Cells,,SALE_LUNG,other
ACH-000861,1.6369145803558778,4.785550551739256,1.3504972470841332,4.627606838129649,0.1243281350022017,1.6040713236688608,0.2265085298086797,3.0303360783709588,10.498250867527826,10.247334178028728,9.26486479065274,HOP-62,HOP62,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HOP62_LUNG,NSCLC
ACH-000563,7.840652055941782,5.050501697446727,1.613531652917927,8.451087446957397,0.0285691521967709,7.00539998774259,0.0285691521967709,8.282717789857285,11.053382902585708,10.11556391523799,10.639431156916634,EBC-1,EBC1,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,EBC1_LUNG,NSCLC
ACH-000355,0.3895668117627256,0.1243281350022017,1.831877241191673,0.722466024471091,0.5558161550616396,1.613531652917927,0.2986583155645151,1.480265122054463,1.7570232465074596,1.6182386555954549,0.9855004303048848,NCI-H82,NCIH82,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH82_LUNG,NET
ACH-000757,0.2016338611696504,7.016474033901017,4.808385050656093,0.8237493603082727,0.0840642647884745,6.593801928904964,0.0426443374084937,8.154818109052105,7.992485210633954,7.857296796470683,0.6780719051126377,A427,A427,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,A427_LUNG,NSCLC
ACH-000447,5.212569338850806,7.20094763377342,2.1076878693143737,6.435461914479276,0.0285691521967709,4.48155728070859,0.0840642647884745,6.377991326905882,8.644865723007923,8.6649094418288,8.769903944980664,NCI-H2228,NCIH2228,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2228_LUNG,NSCLC
ACH-000892,5.00943675560809,4.539779191698494,0.0976107966264223,0.8399595874895318,0.1634987322828795,0.4854268271702416,0.1505596765753814,0.84799690655495,11.239777512568116,10.958697702621816,1.4222330006830477,NCI-H1563,NCIH1563,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1563_LUNG,NSCLC
ACH-000904,0.8639384504239714,0.3448284969974411,3.07210580048042,6.494095544940635,0.8073549220576041,5.743084055549586,0.7484612330040357,7.372516856396207,7.809864573066018,6.455820365084918,7.239741717680673,NCI-H2106,NCIH2106,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NCIH2106_LUNG,NSCLC
ACH-000610,0.3448284969974411,0.1505596765753814,5.121429908948958,2.114367024952,2.6915341649192004,3.1292830169449664,0.2141248053528473,6.266599165535096,2.735522177296537,4.828834649468056,2.229587922740652,NCI-H2227,NCIH2227,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH2227_LUNG,NET
ACH-000416,3.1651079851445365,1.9634741239748856,0.2868811477881615,0.5459683691052926,0.070389327891398,0.3673710656485294,0.2509615735332187,0.9411063109464316,8.120859929756852,7.887342485297895,1.2265085298086795,NCI-H838,NCIH838,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH838_LUNG,NSCLC
