layer,dataset,cohort,partner,adjustment,family,note,n,partial_spearman,partial_p,unadjusted_spearman_same_n,unadjusted_spearman_p_same_n,partial_q_bh_cldn4_cldn7
RNA,DepMap_Public_24Q4_log2TPM,lung_LUSC_cell_lines,CLDN7,EPCAM+KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",27,0.2875185453418947,0.18342288716853164,0.48412698412698413,0.01050321314209015,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUSC_cell_lines,CLDN3,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",27,0.10551269479108132,0.6079603525078892,0.2991909666975299,0.12950669224240421,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUSC_cell_lines,CLDN3,KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",27,0.065465666281225,0.761188765147527,0.2991909666975299,0.12950669224240421,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUSC_cell_lines,CLDN3,EPCAM+KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",27,-0.053517740242852045,0.8083754278777971,0.2991909666975299,0.12950669224240421,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUSC_cell_lines,CLDN5,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",27,-0.476763381248524,0.013796094555956396,-0.38951318673134555,0.04461004636809168,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUSC_cell_lines,CLDN5,KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",27,-0.33882265542167517,0.10531903763850717,-0.38951318673134555,0.04461004636809168,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUSC_cell_lines,CLDN5,EPCAM+KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",27,-0.39501146825573186,0.06211795172161809,-0.38951318673134555,0.04461004636809168,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUSC_cell_lines,CLDN18,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",27,-0.42455387289899577,0.030634166184164157,-0.5104355956330404,0.006520810349295376,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUSC_cell_lines,CLDN18,KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",27,-0.2324431986496579,0.274393113824515,-0.5104355956330404,0.006520810349295376,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUSC_cell_lines,CLDN18,EPCAM+KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",27,-0.1820983178358926,0.4056360871571595,-0.5104355956330404,0.006520810349295376,
protein,Gygi_CCLE_MS,lung_suffix,CLDN4,KRT8+KRT18+KRT19,not_estimable,Not estimated. KRT18 and KRT19 are absent from Gygi. KRT8 fragment is quantified in 11/77 _LUNG columns and in 6 lines that also have CLDN4. No protein keratin partial is reported.,6,,,,,
