ModelID,TACSTD2,CLDN1,CLDN4,CLDN7,CellLineName,StrippedCellLineName,ModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,CCLEName,disease_group
ACH-000890,0.4854268271702416,6.29130885982897,2.130930869826449,0.4436066514756145,SW 1271,SW1271,Cell Line,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,,SW1271_LUNG,other
ACH-000562,9.636479618780534,5.881175155349276,8.728600810643192,8.186361891252986,HCC-78,HCC78,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HCC78_LUNG,NSCLC
ACH-000399,5.420549772116318,0.1243281350022017,7.545968369105292,5.4356285940520905,NCI-H2196,NCIH2196,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH2196_LUNG,NET
ACH-000066,7.941282410432874,7.863628772821544,7.705701496845794,8.063502942306158,HCC4006,HCC4006,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HCC4006_LUNG,NSCLC
ACH-000314,0.6780719051126377,4.4535175792154975,4.928844036712568,3.860962797858116,HCC-2108,HCC2108,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HCC2108_LUNG,NSCLC
ACH-000893,0.1890338243900171,6.015470807639381,6.492333914544719,5.29020320512607,NCI-H1651,NCIH1651,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1651_LUNG,NSCLC
ACH-002650,8.676944359106912,4.081510068120917,7.795455272044121,7.228145275667782,ETCC-016,ETCC016,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,ETCC016_LUNG,NSCLC
ACH-000187,0.1634987322828795,0.2387868595871165,6.727239777484807,6.6796208433757,COR-L311,CORL311,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,CORL311_LUNG,NET
ACH-000924,6.455656002220498,2.8011586560936985,2.957914598632985,3.2479275134435857,NCI-H2172,NCIH2172,Cell Line,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,NCIH2172_LUNG,NSCLC
ACH-002034,0.0840642647884745,1.3219280948873624,0.6507645591169022,3.574101508089389,T3M-11,T3M11,Cell Line,Lung,Non-Small Cell Lung Cancer,NUT Carcinoma of the Lung,NUTCL,T3M11_LUNG,NSCLC
ACH-000639,0.963474123974886,0.722466024471091,1.6690267655096307,5.144454313926194,NCI-H211,NCIH211,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH211_LUNG,NET
ACH-000590,6.330737650206952,2.636914580355878,6.471187460386985,6.109151579170521,NCI-H2073,NCIH2073,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2073_LUNG,NSCLC
ACH-000553,9.11097913063484,6.757423346821803,8.568070117946721,7.3049672876759635,Sq-1,SQ1,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,SQ1_LUNG,NSCLC
ACH-000339,4.007195501404204,1.01435529297707,3.4329594072761065,1.978195629681652,HCC-461,HCC461,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HCC461_LUNG,NSCLC
ACH-000789,0.4436066514756145,0.2265085298086797,6.785419772149728,6.7718855785153655,NCI-H810,NCIH810,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NCIH810_LUNG,NSCLC
ACH-002170,1.1505596765753812,3.37851162325373,6.019479533703628,6.670585440262214,NCI-H1688,NCIH1688,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1688_LUNG,NET
ACH-000670,0.3219280948873623,0.6690267655096305,1.807354922057604,0.8155754288625725,SBC-5,SBC5,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SBC5_LUNG,NET
ACH-000744,6.357727932310624,6.11582397743624,8.588864518190148,6.39780296186249,NCI-H1623,NCIH1623,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1623_LUNG,NSCLC
ACH-000525,0.1505596765753814,0.2509615735332187,7.073498932290183,6.037162550127378,NCI-H2171,NCIH2171,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH2171_LUNG,NET
ACH-003154,2.996388746447621,3.177917792195843,0.1890338243900171,3.326249700837456,ABM-T0795,ABMT0795,Cell Line,Lung,Non-Cancerous,"Immortalized Epithelial Cells, Lung",,,other
ACH-000853,0.8237493603082727,0.5558161550616396,2.097610796626422,2.0669502439246266,NCI-H661,NCIH661,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NCIH661_LUNG,NSCLC
ACH-000675,1.4698859762744636,4.950001749083499,7.9066501263953795,6.261530815243406,NCI-H1734,NCIH1734,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1734_LUNG,NSCLC
ACH-002490,4.304511041809953,3.4867143730307024,5.090853430451113,6.80025280637239,NCI-H1882,NCIH1882,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1882_LUNG,NET
ACH-000891,6.668884984266247,6.0103322832848205,1.599317793698226,2.929790997718597,HCC-1438,HCC1438,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,HCC1438_LUNG,NSCLC
ACH-000851,6.603181229013857,0.137503523749935,7.696202521253611,8.027629591733156,MOR/CPR,MORCPR,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,MORCPR_LUNG,NSCLC
ACH-000506,0.9560566524124028,5.338780943894699,2.111031312388744,6.4379600883344725,NCI-H146,NCIH146,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH146_LUNG,NET
ACH-000603,0.5753123306874368,1.8991756304805127,8.753350480643723,7.285217246102088,BEN,BEN,Cell Line,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,BEN_LUNG,NSCLC
ACH-001386,0.2016338611696504,0.4005379295837288,6.463851292611099,5.787118982813345,SCLC-22H,SCLC22H,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC22H_LUNG,NET
ACH-000129,0.2986583155645151,0.1243281350022017,4.563768278452033,0.3448284969974411,NCI-H1341,NCIH1341,Cell Line,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,,NCIH1341_LUNG,other
ACH-000434,1.7907720378619998,1.15704371014558,1.6182386555954549,4.443606651475615,NCI-H1915,NCIH1915,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NCIH1915_LUNG,NSCLC
