contrast	filter	set	arm	method	n_A	n_B	n_genes	effect	alternative	p	n_perm	thesis	n_KO_in_low	fdr_sweep	fdr_full10
Cldn4low_minus_Cldn4high_top3	all10	HALLMARK_APICAL_JUNCTION	barrier	gene_rank_welch	3	3	169	-0.1215202694296868	less	2.1886319971956446e-05	0	True	2.0	8.650687784536068e-05	
Cldn4low_minus_Cldn4high_top3	all10	HALLMARK_APICAL_JUNCTION	barrier	gene_rank_modt	3	3	169	-0.1215202694296868	less	2.33008334019382e-05	0	True	2.0	9.176291845199662e-05	
Trop2KO_minus_WT	drop_RESUB-KO163R	GOBP_SKIN_BARRIER	epithelial_program	gene_rank_welch	4	5	17	-1.383571914855187	less	2.9724284692758302e-05	0	True		0.00011663550841397551	
Trop2KO_minus_WT	drop_KO164	HALLMARK_IFNA	ifn_alpha	gene_rank_welch	4	5	92	0.09965617900314264	greater	3.135355649561387e-05	0	True		0.00012258448261642533	
Trop2KO_minus_WT	drop_KO165	GOBP_TJ_ASSEMBLY	barrier	gene_rank_modt	4	5	33	-0.5474504194724513	less	3.6283402233569414e-05	0	True		0.00014134864970847367	
Trop2KO_minus_WT	drop_RESUB-169R	GOBP_SKIN_BARRIER	epithelial_program	gene_rank_welch	5	4	17	-1.0587576675590853	less	3.8088511722436796e-05	0	True		0.00014784895410537295	
Trop2KO_minus_WT	drop_KO164	GOBP_TJ_ORGANIZATION	barrier	gene_rank_modt	4	5	62	-0.28904577149155863	less	3.9271022824823856e-05	0	True		0.00015189470614030085	
Trop2KO_minus_WT	drop_KO162	GOBP_TJ_ORGANIZATION	barrier	gene_rank_modt	4	5	62	-0.3449259059163888	less	4.3097130060758256e-05	0	True		0.0001661003268889722	
Cldn4low_minus_Cldn4high_median	all10	GOBP_TJ_ASSEMBLY	barrier	gene_rank_modt	5	5	32	-0.37940258007140465	less	4.6692061741248195e-05	0	True	3.0	0.00017931738604883615	
Trop2KO_minus_WT	drop_KO165	HALLMARK_IFNA	ifn_alpha	gene_rank_modt	4	5	92	0.10895796730697634	greater	4.846457697761118e-05	0	True		0.0001854669147235085	
Trop2KO_minus_WT	drop_KO165	GOBP_TJ_ASSEMBLY	barrier	gene_rank_welch	4	5	33	-0.5474504194724513	less	5.4536516126896234e-05	0	True		0.00020796847523038247	
Cldn4low_minus_Cldn4high_median	all10	GOBP_TJ_ASSEMBLY	barrier	gene_rank_welch	5	5	32	-0.37940258007140465	less	5.67991880785073e-05	0	True	3.0	0.00021583691469832775	
Trop2KO_minus_WT	drop_KO164	GOBP_TJ_ORGANIZATION	barrier	gene_rank_welch	4	5	62	-0.28904577149155863	less	5.926825006293704e-05	0	True		0.0002244318699935693	
Cldn4low_minus_Cldn4high_top3	all10	GOBP_KERATINIZATION	epithelial_program	gene_rank_modt	3	3	38	-1.3190614710973887	less	6.649384115486828e-05	0	True	2.0	0.0002509157838701127	
Trop2KO_minus_WT	drop_KO165	HALLMARK_IFNA	ifn_alpha	gene_rank_welch	4	5	92	0.10895796730697634	greater	7.025084724498774e-05	0	True		0.00026417245682750596	
Trop2KO_minus_WT	drop_RESUB-171R	HALLMARK_IL6_STAT3	inflammatory	gene_rank_modt	5	4	80	0.11153449748296633	greater	8.535450552318041e-05	0	True		0.00031985788747959995	
Trop2KO_minus_WT	drop_KO162	GOBP_TJ_ORGANIZATION	barrier	gene_rank_welch	4	5	62	-0.3449259059163888	less	9.285432616199455e-05	0	True		0.0003467628801153107	
Trop2KO_minus_WT	drop_RESUB-171R	HALLMARK_IL6_STAT3	inflammatory	gene_rank_welch	5	4	80	0.11153449748296633	greater	0.00011093208837460516	0	True		0.0004128503495178605	
Trop2KO_minus_WT	all10	GOBP_TJ_ORGANIZATION	barrier	gene_rank_modt	5	5	62	-0.3258558945695114	less	0.00012328993068970166	0	True		0.00045727053060598256	0.0004073928144529272
Trop2KO_minus_WT	drop_RESUB-169R	APM_MHCI	apm	gene_rank_modt	5	4	22	0.18933482791939882	greater	0.00012712880984323415	0	True		0.0004698993210246504	
Trop2KO_minus_WT	drop_control170	HALLMARK_IL6_STAT3	inflammatory	gene_rank_modt	5	4	80	0.09643993870250012	greater	0.00013944028972642255	0	True		0.0005136524958289647	
Trop2KO_minus_WT	drop_KO164	GOBP_TJ_ASSEMBLY	barrier	gene_rank_modt	4	5	33	-0.39908892595050743	less	0.00015460144366638697	0	True		0.0005675707236972783	
Cldn4low_minus_Cldn4high_top3	all10	GOBP_TJ_ASSEMBLY	barrier	gene_rank_modt	3	3	32	-0.6400744421689146	less	0.00017900239571632168	0	True	2.0	0.0006542746631163047	
Trop2KO_minus_WT	drop_control170	GOBP_TJ_ORGANIZATION	barrier	gene_rank_modt	5	4	62	-0.34278559122835156	less	0.00017942712368009464	0	True		0.0006542746631163047	
Trop2KO_minus_WT	drop_RESUB-169R	EPITHELIAL_ISG	ifn_isg	gene_rank_welch	5	4	16	0.23475117957009395	greater	0.00018548953782813167	0	True		0.0006741113069391497	
Trop2KO_minus_WT	all10	GOBP_TJ_ORGANIZATION	barrier	gene_rank_welch	5	5	62	-0.3258558945695114	less	0.00019046644530739683	0	True		0.0006898834791568923	0.0006031437434734233
Trop2KO_minus_WT	drop_RESUB-169R	APM_MHCI	apm	gene_rank_welch	5	4	22	0.18933482791939882	greater	0.0001964587645829736	0	True		0.0007092161401445346	
Trop2KO_minus_WT	drop_KO164	GOBP_TJ_ASSEMBLY	barrier	gene_rank_welch	4	5	33	-0.39908892595050743	less	0.00020004670085642	0	True		0.0007175300210577483	
Cldn4low_minus_Cldn4high_top3	all10	KEGG_TIGHT_JUNCTION	barrier	gene_rank_modt	3	3	134	-0.19872864680561375	less	0.0002000868572109326	0	True	2.0	0.0007175300210577483	
Trop2KO_minus_WT	drop_RESUB-169R	EPITHELIAL_ISG	ifn_isg	gene_rank_modt	5	4	16	0.23475117957009395	greater	0.00021173620949999227	0	True		0.0007567997191039328	
Trop2KO_minus_WT	drop_RESUB-171R	GOBP_TJ_ORGANIZATION	barrier	gene_rank_modt	5	4	62	-0.3457043720590177	less	0.0002248768913368414	0	True		0.0008011239253874976	
Trop2KO_minus_WT	drop_control170	HALLMARK_IL6_STAT3	inflammatory	gene_rank_welch	5	4	80	0.09643993870250012	greater	0.00023566368763833475	0	True		0.000836799258073169	
Trop2KO_minus_WT	drop_control170	GOBP_TJ_ORGANIZATION	barrier	gene_rank_welch	5	4	62	-0.34278559122835156	less	0.0002370433658838989	0	True		0.000838947598863603	
Trop2KO_minus_WT	drop_KO162	GOBP_TJ_ASSEMBLY	barrier	gene_rank_modt	4	5	33	-0.4837139773355809	less	0.00023863044192257073	0	True		0.0008418135785086127	
Cldn4low_minus_Cldn4high_top3	all10	KEGG_TIGHT_JUNCTION	barrier	gene_rank_welch	3	3	134	-0.19872864680561375	less	0.0002441592544637748	0	True	2.0	0.0008585210148839873	
Trop2KO_minus_WT	drop_RESUB-KO163R	HALLMARK_IFNA	ifn_alpha	gene_rank_modt	4	5	92	0.07818611131612103	greater	0.0002810120728762587	0	True		0.0009849063913430038	
Cldn4low_minus_Cldn4high_top3	all10	GOBP_TJ_ASSEMBLY	barrier	gene_rank_welch	3	3	32	-0.6400744421689146	less	0.0002870303529611997	0	True	2.0	0.001002754426635417	
Trop2KO_minus_WT	all10	GOBP_TJ_ASSEMBLY	barrier	gene_rank_modt	5	5	33	-0.4618010459092489	less	0.0003117781016304201	0	True		0.001085709595066704	0.000947805428956477
Trop2KO_minus_WT	drop_KO165	APM_MHCI	apm	gene_rank_modt	4	5	22	0.16533484828359235	greater	0.0003192807302467346	0	True		0.0011082725347987613	
Trop2KO_minus_WT	all10	APM_MHCI	apm	gene_rank_modt	5	5	22	0.1560975996339418	greater	0.0003337132004314202	0	True		0.0011546689970198978	0.0009754693551072282
Trop2KO_minus_WT	drop_KO162	GOBP_TJ_ASSEMBLY	barrier	gene_rank_welch	4	5	33	-0.4837139773355809	less	0.0003396914184834046	0	True		0.0011716108478265197	
Trop2KO_minus_WT	drop_control170	GOBP_TJ_ASSEMBLY	barrier	gene_rank_modt	5	4	33	-0.48326628361726937	less	0.0003712612851036506	0	True		0.0012764316564039797	
Trop2KO_minus_WT	drop_RESUB-171R	GOBP_TJ_ORGANIZATION	barrier	gene_rank_welch	5	4	62	-0.3457043720590177	less	0.00039584446331149113	0	True		0.0013566441574884333	
Trop2KO_minus_WT	all10	APM_MHCI	apm	gene_rank_welch	5	5	22	0.1560975996339418	greater	0.0004116910115809907	0	True		0.001402203627346798	0.0011588339585242701
Trop2KO_minus_WT	drop_RESUB-KO163R	HALLMARK_IFNA	ifn_alpha	gene_rank_welch	4	5	92	0.07818611131612103	greater	0.00041172738088299335	0	True		0.001402203627346798	
Cldn4low_minus_Cldn4high_top3	all10	GOBP_KERATINIZATION	epithelial_program	gene_rank_welch	3	3	38	-1.3190614710973887	less	0.0004303491232143482	0	True	2.0	0.0014595110943632676	
Trop2KO_minus_WT	drop_KO165	APM_MHCI	apm	gene_rank_welch	4	5	22	0.16533484828359235	greater	0.00043124981550899874	0	True		0.0014595110943632676	
Trop2KO_minus_WT	all10	GOBP_TJ_ASSEMBLY	barrier	gene_rank_welch	5	5	33	-0.4618010459092489	less	0.0004354128130348241	0	True		0.0014690095841642195	0.0011818347782373798
Trop2KO_minus_WT	drop_KO165	HALLMARK_APICAL_JUNCTION	barrier	gene_rank_modt	4	5	170	-0.2411707316875541	less	0.0005279957011349537	0	True		0.0017758364730719094	
Trop2KO_minus_WT	drop_control170	GOBP_TJ_ASSEMBLY	barrier	gene_rank_welch	5	4	33	-0.48326628361726937	less	0.0005726829370454935	0	True		0.0019142457433491934	
Trop2KO_minus_WT	drop_RESUB-171R	GOBP_TJ_ASSEMBLY	barrier	gene_rank_modt	5	4	33	-0.4941938107250983	less	0.0005726829370684567	0	True		0.0019142457433491934	
Trop2KO_minus_WT	drop_control170	HALLMARK_IFNA	ifn_alpha	gene_rank_modt	5	4	92	0.07216509720978974	greater	0.000673597462476082	0	True		0.0022446340057279903	
Trop2KO_minus_WT	drop_RESUB-168R	KEGG_TIGHT_JUNCTION	barrier	gene_rank_modt	5	4	135	-0.17935892427479672	less	0.0007879797362277265	0	True		0.0026116358791938026	
Trop2KO_minus_WT	drop_KO164	HALLMARK_APICAL_JUNCTION	barrier	gene_rank_modt	4	5	170	-0.26095821898562105	less	0.0007885548776513144	0	True		0.0026116358791938026	
Cldn4low_minus_Cldn4high_top3	all10	HALLMARK_ALLOGRAFT	immune	gene_rank_welch	3	3	173	0.16960180812884038	greater	0.0008054144590396966	0	True	2.0	0.0026533341222193195	
Cldn4low_minus_Cldn4high_top3	all10	HALLMARK_ALLOGRAFT	immune	gene_rank_modt	3	3	173	0.16960180812884038	greater	0.0008060451765560075	0	True	2.0	0.0026533341222193195	
Trop2KO_minus_WT	drop_control170	HALLMARK_IFNA	ifn_alpha	gene_rank_welch	5	4	92	0.07216509720978974	greater	0.0008182381556091193	0	True		0.0026853088561353826	
Trop2KO_minus_WT	drop_KO172	APM_MHCI	apm	gene_rank_modt	4	5	22	0.13906539993012704	greater	0.0009101448804900407	0	True		0.002977906059126024	
Trop2KO_minus_WT	drop_KO165	HALLMARK_APICAL_JUNCTION	barrier	gene_rank_welch	4	5	170	-0.2411707316875541	less	0.0009753982324200969	0	True		0.003181796041298087	
Trop2KO_minus_WT	drop_control170	HALLMARK_APICAL_JUNCTION	barrier	gene_rank_modt	5	4	170	-0.260550869873566	less	0.000995181072994457	0	True		0.003236579886045036	
Trop2KO_minus_WT	drop_KO162	HALLMARK_APICAL_JUNCTION	barrier	gene_rank_modt	4	5	170	-0.24018702761667302	less	0.001072500342848516	0	True		0.0034763236212244637	
Trop2KO_minus_WT	drop_RESUB-171R	GOBP_TJ_ASSEMBLY	barrier	gene_rank_welch	5	4	33	-0.4941938107250983	less	0.0010753170942845755	0	True		0.0034763236212244637	
Spearman_Cldn4	all10	GOBP_TJ_ASSEMBLY	barrier	spearman_score	10	0	32	0.8424242424242423	rho_positive	0.0011100156129584214	0	True		0.003577818181053484	
Trop2KO_minus_WT	drop_RESUB-168R	KEGG_TIGHT_JUNCTION	barrier	gene_rank_welch	5	4	135	-0.17935892427479672	less	0.0011420490625001448	0	True		0.003670145800260109	
Trop2KO_minus_WT	drop_KO164	HALLMARK_APICAL_JUNCTION	barrier	gene_rank_welch	4	5	170	-0.26095821898562105	less	0.0011637004489917589	0	True		0.003728661497804955	
Trop2KO_minus_WT	drop_KO172	APM_MHCI	apm	gene_rank_welch	4	5	22	0.13906539993012704	greater	0.0011820119320978585	0	True		0.003776162013162185	
Cldn4low_minus_Cldn4high_median	all10	KEGG_TIGHT_JUNCTION	barrier	gene_rank_modt	5	5	134	-0.0982991113380096	less	0.0012984667178943773	0	True	3.0	0.0041359983984694424	
Cldn4low_minus_Cldn4high_median	all10	KEGG_TIGHT_JUNCTION	barrier	gene_rank_welch	5	5	134	-0.0982991113380096	less	0.0016444346032826775	0	True	3.0	0.005216159144028236	
Trop2KO_minus_WT	drop_KO172	GOBP_TJ_ASSEMBLY	barrier	gene_rank_modt	4	5	33	-0.472715815990274	less	0.0016472081507457586	0	True		0.005216159144028236	
Trop2KO_minus_WT	drop_KO172	GOBP_TJ_ORGANIZATION	barrier	gene_rank_modt	4	5	62	-0.33271335063024526	less	0.0018024432260244586	0	True		0.00569109625010055	
Trop2KO_minus_WT	drop_RESUB-169R	GOBP_TJ_ORGANIZATION	barrier	gene_rank_modt	5	4	62	-0.2940194322699145	less	0.0018124219587456914	0	True		0.005705967968958092	
Trop2KO_minus_WT	drop_control170	HALLMARK_APICAL_JUNCTION	barrier	gene_rank_welch	5	4	170	-0.260550869873566	less	0.0019157242430840609	0	True		0.0060137082761160515	
Trop2KO_minus_WT	drop_KO172	GOBP_TJ_ASSEMBLY	barrier	gene_rank_welch	4	5	33	-0.472715815990274	less	0.0021770879102218357	0	True		0.00681441100222615	
Trop2KO_minus_WT	drop_RESUB-171R	HALLMARK_IFNA	ifn_alpha	gene_rank_welch	5	4	92	0.059484125096232056	greater	0.0021947868055605833	0	True		0.006850011845596864	
Trop2KO_minus_WT	drop_RESUB-169R	GOBP_TJ_ASSEMBLY	barrier	gene_rank_modt	5	4	33	-0.4018046869508079	less	0.0022339689951489557	0	True		0.006952265579730802	
Trop2KO_minus_WT	drop_RESUB-KO163R	HALLMARK_DNA_REPAIR	nhej	gene_rank_welch	4	5	142	-0.09327139402322107	less	0.0022548010342357616	0	True		0.006996990028874871	
Trop2KO_minus_WT	drop_KO162	HALLMARK_APICAL_JUNCTION	barrier	gene_rank_welch	4	5	170	-0.24018702761667302	less	0.002262396704600897	0	True		0.0070005018030936325	
Trop2KO_minus_WT	drop_RESUB-171R	HALLMARK_IFNA	ifn_alpha	gene_rank_modt	5	4	92	0.059484125096232056	greater	0.0024390469395507617	0	True		0.007525606369041238	
Trop2KO_minus_WT	drop_RESUB-170R	HALLMARK_IFNA	ifn_alpha	gene_rank_modt	5	4	92	0.09163534402408749	greater	0.0024967468142498435	0	True		0.007675437273037797	
Trop2KO_minus_WT	drop_RESUB-170R	HALLMARK_IFNA	ifn_alpha	gene_rank_welch	5	4	92	0.09163534402408749	greater	0.0025017814934278322	0	True		0.007675437273037797	
Trop2KO_minus_WT	drop_KO172	GOBP_TJ_ORGANIZATION	barrier	gene_rank_welch	4	5	62	-0.33271335063024526	less	0.002754940145777933	0	True		0.00842824909004944	
Trop2KO_minus_WT	drop_KO164	APM_MHCI	apm	gene_rank_modt	4	5	22	0.12395399854022743	greater	0.002843526201125576	0	True		0.008674757396673238	
Trop2KO_minus_WT	drop_RESUB-KO163R	HALLMARK_DNA_REPAIR	nhej	gene_rank_modt	4	5	142	-0.09327139402322107	less	0.002877410492090454	0	True		0.008753470682398767	
Spearman_Cldn4	all10	BARRIER_STRUCT	barrier	spearman_score	10	0	20	0.7939393939393938	rho_positive	0.0030499616568484553	0	True		0.009252404690103296	
Trop2KO_minus_WT	all10	HALLMARK_APICAL_JUNCTION	barrier	gene_rank_modt	5	5	170	-0.24405357971253033	less	0.003090260418473992	0	True		0.009348469366500932	0.008098613510483564
Trop2KO_minus_WT	drop_RESUB-169R	GOBP_TJ_ORGANIZATION	barrier	gene_rank_welch	5	4	62	-0.2940194322699145	less	0.003101083707500737	0	True		0.009355079819563504	
Trop2KO_minus_WT	drop_RESUB-169R	GOBP_TJ_ASSEMBLY	barrier	gene_rank_welch	5	4	33	-0.4018046869508079	less	0.003585361132241448	0	True		0.01078596140615969	
Trop2KO_minus_WT	drop_KO164	APM_MHCI	apm	gene_rank_welch	4	5	22	0.12395399854022743	greater	0.0037508945723081764	0	True		0.011226713745842668	
Trop2KO_minus_WT	drop_RESUB-KO163R	GOBP_TJ_ASSEMBLY	barrier	gene_rank_modt	4	5	33	-0.4060360907974306	less	0.0037526042252955176	0	True		0.011226713745842668	
Trop2KO_minus_WT	all10	KEGG_TIGHT_JUNCTION	barrier	sample_mean_z_perm	5	5	135	-0.37834881422054756	less	0.003968253968253968	252	True		0.011678312629399586	0.008870214752567693
Trop2KO_minus_WT	all10	KEGG_TIGHT_JUNCTION	barrier	sample_median_z_perm	5	5	135	-0.4601088308782029	less	0.003968253968253968	252	True		0.011678312629399586	0.008870214752567693
Trop2KO_minus_WT	all10	GOBP_KERATINIZATION	epithelial_program	sample_mean_z_perm	5	5	38	-0.9534268977132482	less	0.003968253968253968	252	True		0.011678312629399586	0.008870214752567693
Trop2KO_minus_WT	all10	GOBP_SKIN_BARRIER	epithelial_program	sample_mean_z_perm	5	5	17	-0.8267021299289175	less	0.003968253968253968	252	True		0.011678312629399586	0.008870214752567693
Trop2KO_minus_WT	all10	KRT_EPITHELIAL	epithelial_program	sample_mean_z_perm	5	5	13	-1.1057199402348614	less	0.003968253968253968	252	True		0.011678312629399586	0.008870214752567693
Cldn4low_minus_Cldn4high_median	all10	GOBP_TJ_ORGANIZATION	barrier	sample_median_z_perm	5	5	61	-0.6128292646844232	less	0.003968253968253968	252	True	3.0	0.011678312629399586	
Trop2KO_minus_WT	drop_RESUB-KO163R	APM_MHCI	apm	gene_rank_modt	4	5	22	0.12163461171351976	greater	0.004304223534334415	0	True		0.01263272110483515	
Spearman_Cldn4	all10	GOBP_TJ_ORGANIZATION	barrier	spearman_score	10	0	61	0.7696969696969697	rho_positive	0.004610976361107997	0	True		0.013496452429945838	
Trop2KO_minus_WT	all10	HALLMARK_APICAL_JUNCTION	barrier	gene_rank_welch	5	5	170	-0.24405357971253033	less	0.004671851049966235	0	True		0.013637775436963429	0.010144590851355252
Trop2KO_minus_WT	drop_RESUB-KO163R	GOBP_TJ_ORGANIZATION	barrier	gene_rank_modt	4	5	62	-0.27976838191866354	less	0.004786472160175926	0	True		0.01393481007922185	
Trop2KO_minus_WT	drop_RESUB-KO163R	APM_MHCI	apm	gene_rank_welch	4	5	22	0.12163461171351976	greater	0.005333369583758111	0	True		0.015485359944262828	
Trop2KO_minus_WT	drop_RESUB-168R	GOBP_TJ_ASSEMBLY	barrier	gene_rank_modt	5	4	33	-0.3946205381942309	less	0.005790662041125188	0	True		0.01676814703352561	
Trop2KO_minus_WT	drop_RESUB-169R	HALLMARK_APICAL_JUNCTION	barrier	gene_rank_modt	5	4	170	-0.2642598316235731	less	0.0058491932861578525	0	True		0.016892470210423876	
Trop2KO_minus_WT	drop_RESUB-168R	GOBP_TJ_ASSEMBLY	barrier	gene_rank_welch	5	4	33	-0.3946205381942309	less	0.006116562007585674	0	True		0.01761765067610448	
Trop2KO_minus_WT	drop_RESUB-KO163R	GOBP_TJ_ASSEMBLY	barrier	gene_rank_welch	4	5	33	-0.4060360907974306	less	0.006182679669134799	0	True		0.01776085432804506	
Trop2KO_minus_WT	drop_control170	APM_MHCI	apm	gene_rank_modt	5	4	22	0.11067920063251128	greater	0.006565862739224933	0	True		0.01881171784809683	
Cldn4low_minus_Cldn4high_median	all10	HALLMARK_INFLAMMATORY	inflammatory	gene_rank_modt	5	5	178	0.1317645289906043	greater	0.006657503217720313	0	True	3.0	0.01893224250052444	
Trop2KO_minus_WT	drop_RESUB-171R	HALLMARK_APICAL_JUNCTION	barrier	gene_rank_modt	5	4	170	-0.25499519761791173	less	0.006802478851782012	0	True		0.01893224250052444	
Trop2KO_minus_WT	drop_control170	APM_MHCI	apm	gene_rank_welch	5	4	22	0.11067920063251128	greater	0.00686142620808931	0	True		0.01893224250052444	
Trop2KO_minus_WT	drop_RESUB-KO163R	GOBP_TJ_ORGANIZATION	barrier	gene_rank_welch	4	5	62	-0.27976838191866354	less	0.006861707631436628	0	True		0.01893224250052444	
Trop2KO_minus_WT	drop_RESUB-171R	APM_MHCI	apm	gene_rank_modt	5	4	22	0.1034744120877013	greater	0.006913230440652614	0	True		0.01893224250052444	
Cldn4low_minus_Cldn4high_median	all10	HALLMARK_INFLAMMATORY	inflammatory	gene_rank_welch	5	5	178	0.1317645289906043	greater	0.007090360289661517	0	True	3.0	0.01893224250052444	
Trop2KO_minus_WT	drop_RESUB-171R	APM_MHCI	apm	gene_rank_welch	5	4	22	0.1034744120877013	greater	0.00730941906065118	0	True		0.01893224250052444	
Trop2KO_minus_WT	all10	GOBP_SKIN_BARRIER	epithelial_program	sample_median_z_perm	5	5	17	-0.919582966624078	less	0.007936507936507936	252	True		0.01893224250052444	0.015873015873015872
Trop2KO_minus_WT	all10	KRT_EPITHELIAL	epithelial_program	sample_median_z_perm	5	5	13	-0.9644563492753833	less	0.007936507936507936	252	True		0.01893224250052444	0.015873015873015872
Trop2KO_minus_WT	all10	BULK_IMMUNE	immune	sample_mean_z_perm	5	5	15	0.8816864543588367	greater	0.007936507936507936	252	True		0.01893224250052444	0.015873015873015872
Trop2KO_minus_WT	drop_KO162	KEGG_TIGHT_JUNCTION	barrier	sample_mean_z_perm	4	5	135	-0.3523557666134429	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO162	GOBP_KERATINIZATION	epithelial_program	sample_mean_z_perm	4	5	38	-0.9123094060117314	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO162	GOBP_SKIN_BARRIER	epithelial_program	sample_mean_z_perm	4	5	17	-0.7833315124445958	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO162	GOBP_SKIN_BARRIER	epithelial_program	sample_median_z_perm	4	5	17	-0.9056746372239312	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO162	KRT_EPITHELIAL	epithelial_program	sample_mean_z_perm	4	5	13	-1.0443628609790925	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO162	BULK_IMMUNE	immune	sample_mean_z_perm	4	5	15	0.930209215190752	greater	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO162	HALLMARK_INFLAMMATORY	inflammatory	sample_median_z_perm	4	5	178	0.4514433523997675	greater	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO164	KEGG_TIGHT_JUNCTION	barrier	sample_mean_z_perm	4	5	135	-0.3661894723938409	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO164	KEGG_TIGHT_JUNCTION	barrier	sample_median_z_perm	4	5	135	-0.4337283656628189	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO164	GOBP_KERATINIZATION	epithelial_program	sample_mean_z_perm	4	5	38	-0.9317696181049695	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO164	GOBP_SKIN_BARRIER	epithelial_program	sample_mean_z_perm	4	5	17	-0.7808510359055589	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO164	GOBP_SKIN_BARRIER	epithelial_program	sample_median_z_perm	4	5	17	-0.9115030903985879	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO164	KRT_EPITHELIAL	epithelial_program	sample_mean_z_perm	4	5	13	-1.042300171809973	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO165	KEGG_TIGHT_JUNCTION	barrier	sample_mean_z_perm	4	5	135	-0.36469594481849454	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO165	KEGG_TIGHT_JUNCTION	barrier	sample_median_z_perm	4	5	135	-0.48297804231278235	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO165	GOBP_KERATINIZATION	epithelial_program	sample_mean_z_perm	4	5	38	-0.9171838256377937	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO165	GOBP_SKIN_BARRIER	epithelial_program	sample_mean_z_perm	4	5	17	-0.8474378565792651	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO165	GOBP_SKIN_BARRIER	epithelial_program	sample_median_z_perm	4	5	17	-0.919833834674826	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO165	KRT_EPITHELIAL	epithelial_program	sample_mean_z_perm	4	5	13	-1.061452109797067	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO172	KEGG_TIGHT_JUNCTION	barrier	sample_mean_z_perm	4	5	135	-0.3849615529274794	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO172	KEGG_TIGHT_JUNCTION	barrier	sample_median_z_perm	4	5	135	-0.48347382523533894	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO172	GOBP_KERATINIZATION	epithelial_program	sample_mean_z_perm	4	5	38	-0.9301647973651324	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO172	GOBP_SKIN_BARRIER	epithelial_program	sample_mean_z_perm	4	5	17	-0.8615770266327323	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO172	GOBP_SKIN_BARRIER	epithelial_program	sample_median_z_perm	4	5	17	-1.0458825067706372	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO172	KRT_EPITHELIAL	epithelial_program	sample_mean_z_perm	4	5	13	-1.1660170221904966	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_KO172	KRT_EPITHELIAL	epithelial_program	sample_median_z_perm	4	5	13	-1.0210781144834202	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_RESUB-KO163R	KEGG_TIGHT_JUNCTION	barrier	sample_mean_z_perm	4	5	135	-0.38995647295661545	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_RESUB-KO163R	KEGG_TIGHT_JUNCTION	barrier	sample_median_z_perm	4	5	135	-0.4464729813637919	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_RESUB-KO163R	GOBP_KERATINIZATION	epithelial_program	sample_mean_z_perm	4	5	38	-0.936333326904645	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_RESUB-KO163R	GOBP_SKIN_BARRIER	epithelial_program	sample_mean_z_perm	4	5	17	-0.7832175783665514	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_RESUB-KO163R	GOBP_SKIN_BARRIER	epithelial_program	sample_median_z_perm	4	5	17	-0.8685684942768976	less	0.007936507936507936	126	True		0.01893224250052444	
Trop2KO_minus_WT	drop_RESUB-KO163R	KRT_EPITHELIAL	epithelial_program	sample_mean_z_perm	4	5	13	-1.0958253442686614	less	0.007936507936507936	126	True		0.01893224250052444	
