model	histology	proteotype	pdx_stability	median_human_log2	CLDN4	PRKDC	XRCC5	XRCC6	STING1	CGAS	TBK1	IRF3	IFI16	STAT1	STAT2	IRF9	MAVS	DDX58	IFIH1	IRF7	NFKB1	RELA	JAK1	TYK2	DNAPK_score	STING_score	n_sting_members
PHLC402	LUAD	LUAD3	stable	21.68809128		28.7798233	26.23548698	27.11724854		18.82873154	21.64268494		25.278862	25.20359421	21.46940994	18.25317001	22.15554237	21.92209625	18.78321075		22.9580307	22.82920265	20.56702995		-0.6640131674215765	0.3461594756459053	2
PHLC410	LUSC	LUSC2	stable	21.63278008		27.73334122	26.77352333	27.39894485	19.98256302	18.19571304	21.4894371	18.93914413	24.81022072	25.82980537	21.51831245	19.31994629	21.0022831	25.26657677			23.70372391	22.67346191	20.0980072	17.51360321	-0.7454016820560548	0.3454520439881844	4
PHLC412	LUAD	LUAD3	stable	21.43777275	15.37802124	28.22719955	27.00739098	27.78128242	18.54547882	18.07300568	22.11525536		24.38215637	26.23763084	21.55357552	17.73424339	21.64881897	22.56556702	20.29956818		23.51257515	22.6797657	20.38213539	16.609478	0.06474933163625553	-0.071242185841159	3
PHLC417	LUSC	LUSC1	stable	21.47858238	17.17373657	28.76285362	27.28845787	27.96878624	14.91198635	18.38839912	21.74228287	19.80582237	24.87561607	25.70367813	20.95840454	19.49287605	22.27968788	22.15541077	20.21064568		23.31196022	22.22159386	20.31810379	16.40257454	0.6368603647972578	0.1968196713507096	4
PHLC422	LUSC	LUSC2	stable	21.341822625		26.89099884	26.18048477	27.014431			21.2503891	19.38126755	25.81428337	26.05681229	20.72894287	18.32769966	21.67223358	21.94865417	19.8101635		22.36374283	21.66941452	19.03833199		-1.940759424002606	0.3155052377007097	2
PHLC426	LUAD	LUAD2	stable	21.17200756	15.18029881	27.12205887	26.79511261	27.57910347	19.00306511	18.2342205	21.83114624	17.80685806	25.25490379	27.38106918	21.72585869	19.64056015	22.95081329	24.05347633	21.00148773		22.82544136	22.35225677	20.28481293	17.57442284	-0.9996821970287512	-0.5493724375957392	4
PHLC428	LUSC	LUSC2	stable	21.37986946		27.88345718	27.02981186	27.90647125	19.23401833	19.13487244	21.02999306	17.76496315	25.58953476	27.57651138	22.32750511	20.93894577	21.8273983	24.38902283	21.16457176		23.08295631	22.50349998	20.04999161		-0.16033457406011412	-0.3308197106025673	4
PHLC431	LUAD	LUAD1	stable	21.77659798		28.3304615	28.02778244	28.73801422	22.07529449	17.56224251	21.21003151	18.00656509	22.33920097	25.53367233	21.0046463	19.21703911	21.95435524	22.88803291	19.07579613		22.75599861	22.29138756	19.8602314	17.19420433	1.6543055196397596	-0.4604144213835662	4
PHLC432	LUSC	LUSC2	stable	21.03920364	12.61688137	27.54863358	26.7596302	27.68306351	19.79190445	17.86079788	20.69336319	19.46851349	24.86314201	25.3831768	20.41329765	18.65279961	20.8105526	21.90353966	19.44180679	14.01383305	23.18884468	22.45870399	19.38147354	15.72764301	-0.7021372830252385	0.0435579464604261	4
PHLC435	LUAD	LUAD1	stable	21.301161765	14.62616825	26.61291504	25.15445709	26.53191185	13.94324207	17.18651581	20.92199707		23.75304222	25.27846718	21.84194946		21.2206955	22.37853622	20.41695786		23.54344749	22.83336067	21.98719788	16.91897202	-3.391383771770201	-2.0638814231892284	3
PHLC438	LUAD	LUAD1	stable	21.87100029		26.90852356	27.640625	28.24030685		18.73986435	21.43245697	19.11183548	25.33862495	25.73587799	21.81730652	19.19291306	21.26234055	24.10855103	20.19899368		23.59680176	22.30746269	20.37201881	16.61862946	0.009648353581991453	0.2424627584235924	3
PHLC444	LUAD	LUAD1	stable	21.64836884		28.59034729	27.13024712	28.10890388	18.38608742	19.96145248	21.84910011	18.73042107	21.6213932	23.29742622	21.38316536	19.01940536	22.11644363	23.11136818			23.41674423	22.85812759	20.71640205	17.01119804	0.6639079759079998	0.2781357869059012	4
PHLC451	LUSC	LUSC1	stable	21.89094162		28.19547653	27.36692047	28.13399315			22.22551918	19.78225899	23.0506916	25.8483696	20.81921387	19.11004066	21.21095848	22.679533	20.0453434		23.5483799	21.48205185	20.71470451		0.4136050112024085	1.7118198383601584	2
PHLC459	LCNEC		stable	22.0231123		28.82175636	27.87508774	28.5857563		18.77667046	21.97184753	18.37068367	21.83987999	25.51976013	20.68104362	20.29015541	21.6075325	21.89396286			22.41166878	22.39935493	20.71970367	16.41764641	1.4617111684846626	0.23350197859119723	3
PHLC462	LUSC	LUSC1	stable	21.27026558		28.46748734	27.42889977	28.21009445	17.65216637	19.15105629	21.37704086	18.74329758	25.66631699	25.77071953	20.90810394	19.47675323	22.091518399999998	23.68536186	19.6836853		22.92718887	22.33239555	20.08971786	16.19622612	0.6832444466629339	0.049754081295358174	4
PHLC469	LUSC	LUSC2	stable	20.78114319		27.98316956	26.99123573	27.86951828	20.13336182	17.62653351	21.77888489	18.31328201	25.21498108	25.16822052	21.85812378	19.07340622	22.49757767	22.61523247	19.28767204		22.58933067	21.97836304	20.34491158	15.37615967	-0.14257745806337507	0.17988940574773796	4
PHLC470	LUSC	LUSC2	stable	21.2042923	15.65990639	28.04946899	27.38100243	28.33429909	18.43670654	16.38519859	22.38087463	17.26776123	24.13021469	26.29182816	21.1733532	20.67037964	21.56626892	23.09408379	17.88155174		23.8832016	22.93897438	20.18865967	16.59694862	0.4495693679745849	-0.3353116847879222	4
PHLC471	LUAD	LUAD1	stable	21.08257484	17.13313484	27.92678642	26.92609978	27.88074112	19.56506729	18.19957161	21.35627747	18.58948135	21.99251556	24.90054512	20.3889122	18.36741257	21.62709999	21.56752396	19.24316788	13.41317272	23.97057533	21.94626808	19.8534584	16.61782455	-0.11752310929243844	-0.32524617174149995	4
PHLC487	LUSC	LUSC2	stable	21.26733589	15.45793724	27.33639145	26.87356567	27.66807175	20.34823799	18.65529823	20.95684052		24.72123718	26.27505684	21.6468811	19.48811913	22.55052376	23.40520287	20.72953033		23.54746628	22.01922607	20.95015907	16.32824516	-0.7765078956489969	0.10353537811554096	3
PHLC50	LUSC	LUSC2	stable	21.26042938	15.52961922	28.0422802	27.14891815	27.92691612	14.70770359	16.1509819	21.47126389	18.80336571	25.53937531	25.76314926	21.82702255	19.07185745	21.9689827	23.98999023	20.01239395		22.70886803	22.14186859	19.52742386	16.44603539	0.03776027923145043	-0.7431358201063253	4
PHLC501	LUSC	LUSC2	stable	21.20804405	14.9386673	27.25498772	26.30775833	27.14970779	20.5229702	19.66424561	21.75538063	18.05125809	25.98183441	26.61994553	21.54656219	19.65537262	22.10907173	22.94030571	20.01759148		23.05267906	22.3697567	19.55961609	17.12595177	-1.5296130468858904	0.4385653051993121	4
PHLC518	LUSC	LUSC2	stable	21.46355629		27.11319351	26.49356461	27.24832153			21.06882286	18.47484207	24.85943413	25.80618668	21.11544228	18.77329636	22.26382828	22.78791618	19.65633392		23.34899521	21.77052879	20.36035156		-1.4387803176638467	-0.61797394727692	2
PHLC524	LUAD	LUAD3	stable	21.175132755		27.92805099	26.96549416	27.69804764	22.65371513		21.57738113	18.92482567	25.65489006	26.75120163	22.10345078	19.42889023	22.67801857	23.7754612			23.21562004	22.27376938	20.40155029		-0.23491658461231632	0.6005739966343476	3
PHLC534	LCC		stable	20.914447785		28.63413429	27.21832466	27.95220184	19.4306221	15.13909817	20.77598953	18.25607681	24.74302101	24.15907669	20.715271	19.50850677	22.66168404	21.61779213	18.80405807		22.35109329	21.53343773	19.53826714	15.83466434	0.4902507904461742	-1.1623378041573489	4
PHLC536	LUAD	LUAD3	stable	21.20593834	15.93633461	27.99363518	27.13031769	27.87651253	19.20651054	18.4212532	21.22927666	18.89368248	23.47166443	26.072258	21.6557827	21.4303093	21.85857391	22.53316689	19.97199631		23.03116035	22.58997726	20.23044586	16.28118896	0.07411523004517316	-0.23402007515351123	4
PHLC539	LCNEC		stable	21.58022499		27.69609261	27.90092659	28.83679581	15.158258440000001	18.52006912	21.72499275		22.195423130000002	25.41631317	20.92995834	18.42215347	22.19241142	22.13588905	20.84274864		23.02826118	22.10542488	18.89619637		0.8979170660327348	-0.49163463759115356	3
PHLC544	LUAD	LUAD3	stable	21.15177917	15.99703503	27.88991737	27.12247658	27.90795326	20.51395416	18.15674973	21.6841774	19.19459915	24.87945175	27.02367592	21.25124168	19.53697968	22.54460526	23.84144974	21.18353844	16.8050499	23.34451294	22.72031975	19.97630119	16.54048157	0.023700573638169103	0.2404854250368496	4
PHLC55	LUSC	LUSC2	stable	21.24572182		27.43764305	26.25104904	26.75926018	21.18044853	18.29001045	21.5917263		24.95586586	25.28847694	21.06620979	18.71048355	21.1945343	22.69091225			23.07302856	21.98687363	21.16469765		-1.6871881182625135	0.6371627510453403	3
PHLC552	LUAD	LUAD3	stable	21.36019135		28.5014782	27.46749878	28.32022095	19.18592834	19.27239799	21.84019279	17.94490814	25.4618969	25.64486313	20.90246964	19.15386772	21.18183136	22.29992676	19.36474228		23.38499641	22.67796516	20.31254005	16.86802101	1.0217820618056608	-0.16352790201651535	4
PHLC570	LCC		stable	21.486583709999998		27.96113968	27.01860619	27.87249184		18.89785576	21.87583733		24.51860428	26.43803406	21.37913322	19.49391174	21.70498848	23.42849159	20.77913094		23.1294899	22.43168831	20.66044426		-0.13892152148566175	0.6523470400988143	2
PHLC62	LUSC	LUSC1	stable	21.28851795		28.46250343	27.4178009	28.32192993	18.42297363	18.74373245	21.63739204	18.67733002	25.03798103	25.89996529	21.13423729	19.01042938	22.23639107	21.53421974		14.12292862	22.93767166	22.24017906	19.53999901		0.7416055445191302	0.20263330110250172	4
PHLC655	LUAD	LUAD2	stable	20.65796089		27.06958008	26.051054	26.85679436	20.97162056		21.00482368	18.1872654	24.45192528	24.72524071	20.63854027	18.07719994	20.77807426	22.25519753			22.1879158	21.57087708	19.05160904		-2.163245913854753	-0.550539471325179	3
PHLC77	LUSC	LUSC2	stable	21.14919662	12.96179867	27.60395241	26.77399826	27.7145462	19.50334358	14.70052242	21.56196785	19.9988327	25.06431961	25.22420883	21.3674736	17.75476265	22.51625443	21.44326019	19.06075096		22.89113998	22.07622337	20.07307243	17.06154823	-0.6362303186298118	0.1914785127710787	4
PHLC81	LUAD	LUAD1	stable	21.13528156		27.82089615	27.14801979	27.76143646	20.80956841	17.94114113	24.23616219	18.77578735	25.59608078	26.58460617	21.51652908	20.25624657	20.85932159	24.02427483	19.88529015		23.97915077	22.93706512	21.07988358	17.07145691	-0.12214636530533814	1.1994249625940125	4
PHLC82	LUAD	LUAD1	stable	21.30591297	16.25666428	28.21186256	27.69043922	28.46653557	21.83706856	17.00579262	20.55564499	18.12475967	21.83901596	27.12121582	21.83967018	23.91921425	22.43559074	24.15575218	19.99824142		23.2060051	22.74899483	20.13182068	17.37925339	1.107908619608206	-0.8964555149786435	4
PHLC83	LUAD	LUAD2	stable	20.87339783	16.03951073	27.97168541	26.59326553	27.50111771	16.58645248	14.98204803	21.39007568	18.47231865	24.79797745	25.44000816	21.07264328	18.60838699	22.80698967	21.913908	18.60412407		22.53423119	21.61109924	19.59742165	15.91105652	-0.6374039367267637	-1.7145162372428793	4
PHLC85	LUSC	LUSC2	stable	21.04813385	15.83362579	28.74589157	27.31066132	28.21443367	19.12643242	17.94195747	21.9257946	18.13560486	24.94623375	24.4956913	20.33483124	18.30254555	21.25065041	22.07876396	18.61159325		22.36322403	21.21506691	20.09731483	16.83753204	0.792213620243179	0.10626922697275482	4
PHLC86	LUSC	LUSC2	stable	21.06136703		27.9930954	26.9522686	27.77181435	17.97963715	16.62005997	21.55131721	17.9318428	24.75502777	25.5753479	21.71173859	19.81797028	21.91701317	21.62763977	18.86501884		23.4027977	22.14231682	19.55913925		-0.22241447756330132	-0.5450065763415837	4
PHLC88	LCNEC		stable	21.429908750000003	16.35054207	28.7834301	28.08451271	28.91924095	16.88849068	20.51583862	21.65810394	19.43653679	21.76548958	25.01878166	21.53999901	18.96973419	22.21817398	21.40806961	18.62872887		22.38911629	22.29579544	19.47622299	16.19016075	1.792200905750482	0.48012913940825597	4
