gene	log2FC_high_minus_low	t_stat	p_ttest	spearman_r_vs_TACSTD2	padj_ttest	spearman_p_vs_TACSTD2	spearman_padj_vs_TACSTD2
SLC25A28	0.2861803834808256	6.541095891623729	1.2422772811912223e-10	0.2180142370737245	1.2919935452307902e-09	2.0841645385173034e-12	2.2881228864042906e-11
SERTAD2	0.388169911504411	6.539431094462162	1.2506743127902918e-10	0.2625899868838835	1.299410103319063e-09	1.6854129103278465e-17	3.6194065950868924e-16
C12orf70	0.6630135693215318	6.535520110060893	1.2498621517108173e-10	0.2106698396488828	1.299223796183447e-09	1.149709000268655e-11	1.1336948018979579e-10
DCUN1D1	0.4753845132743368	6.535096722767984	1.2561549231409698e-10	0.2017594485738045	1.3044441361701624e-09	8.404815171546665e-11	7.293928610645159e-10
ST14	0.4103576696165234	6.534409928606564	1.2716253646948638e-10	0.2253045161517678	1.3191747719649095e-09	3.597690016517423e-13	4.373035881533611e-12
BCAS1	1.2695346607669693	6.529306273209142	1.3052491895997755e-10	0.2531635490652581	1.3499630157422362e-09	2.455001401982343e-16	4.516234657947805e-15
KRT32	0.7999058997050144	6.529114348430285	1.305957432289432e-10	0.257668097784866	1.3500154121300119e-09	6.919024962572445e-17	1.3711156610194237e-15
MBD2	0.2793908554572191	6.528344646597153	1.330094061597607e-10	0.2217029791066801	1.3722025670652703e-09	8.6349555450586e-13	1.0009917410505537e-11
OPA1	0.3703500000000019	6.522051628425428	1.3637646490917859e-10	0.1812905478806095	1.4055265183661826e-09	5.792601114256599e-09	3.756225548821477e-08
TSSK1B	0.4178800884955747	6.521426059173345	1.3676005936826468e-10	0.2159610059650314	1.408772713913936e-09	3.3804963010279624e-12	3.603405454834064e-11
PTGES	0.7997799410029529	6.517940197410142	1.4394065624084127e-10	0.2239743052327498	1.4805057515050683e-09	4.979953703503265e-13	5.9544816268446136e-12
MARK2	0.240809144542764	6.517247137601314	1.4057393922840418e-10	0.2406116516301669	1.4473334866394872e-09	7.349078085723028e-15	1.1209255059427473e-13
UPP1	0.5603932153392392	6.510179967938893	1.4676337098136854e-10	0.2234637270159621	1.5057731165654651e-09	5.638784350238037e-13	6.683847731546587e-12
RRP1	0.2897747787610498	6.5093600075941085	1.4778166009011472e-10	0.2135126561530638	1.5154632775474802e-09	5.979971168042019e-12	6.135372717636314e-11
EXOC6B	0.4744286135693265	6.505354031911272	1.5248335338652955e-10	0.206355009116842	1.5613382768206743e-09	3.046698093527631e-11	2.8391263514048635e-10
STK17A	0.3930693215339182	6.503628421320768	1.5267923285566223e-10	0.1968574562579359	1.562564631369265e-09	2.4167275088434764e-10	1.9641890639966972e-09
PRDX5	0.334331120943947	6.496625465570839	1.6008309555698795e-10	0.2203252509556567	1.632640810623429e-09	1.202225669879963e-12	1.3591240640217864e-11
ACVR1C	0.8882879056047139	6.493932819577079	1.6204560218096422e-10	0.2099996541590528	1.6510154902110151e-09	1.3394608473243925e-11	1.3088591716120787e-10
CYP2C18	1.2537466076696155	6.49197089352094	1.645772419876124e-10	0.2389089434391187	1.674316540141567e-09	1.1485548416693775e-14	1.7136505014151397e-13
ZBTB7C	0.9976908554572236	6.489344440224773	1.6675889772098957e-10	0.2182237994336109	1.694860650815041e-09	1.983238003660542e-12	2.1831569016166717e-11
TBC1D2	0.4866983775811153	6.488529429047654	1.7201388229211003e-10	0.2593131964915471	1.74564755484776e-09	4.329966445304442e-17	8.732240778202378e-16
SH3D20	0.5852840707964595	6.48817932865694	1.6852741595268524e-10	0.2131770272193253	1.711111696097244e-09	6.462857919419685e-12	6.594556316385991e-11
GRK7	0.6551530973451323	6.477615312065352	1.797697074446728e-10	0.2267277722022647	1.820755843038546e-09	2.534855645591431e-13	3.1368647621453935e-12
C3orf34	0.6150308259586987	6.468608817830769	1.8981123471424258e-10	0.1913153733489533	1.911144996902109e-09	7.72268647591931e-10	5.754873079877439e-09
TMEM14A	0.4332862831858453	6.467762528649155	1.9260738251482832e-10	0.1861048226171058	1.934554580738466e-09	2.2316249388657053e-09	1.5546406513373917e-08
KLK8	1.7108320058997002	6.4646778911486384	1.9649381658445182e-10	0.2134553352372347	1.9716608281910048e-09	6.0598646409743244e-12	6.20523046871048e-11
PLAT	0.8586703539823013	6.463217940049745	1.9640121344060415e-10	0.2178939689771604	1.9716608281910048e-09	2.1443405213311446e-12	2.349162801650395e-11
BCL2L1	0.3183976401180093	6.461119672048318	1.9894832504052635e-10	0.221732854126562	1.99531466198437e-09	8.573002182341467e-13	9.949334923881872e-12
NRARP	0.7348542772861304	6.456923559141246	2.1365562125394555e-10	0.1822680229157073	2.1272307974507767e-09	4.782545116646303e-09	3.141940839831955e-08
TMOD3	0.2590439528023598	6.455620033361978	2.0596551400634447e-10	0.2042536726599932	2.056649806687866e-09	4.859892630181085e-11	4.403071301748353e-10
SRD5A3	0.5382924778761087	6.44030949848162	2.2703589412463548e-10	0.2112438941181704	2.250626222297811e-09	1.0082888800893594e-11	1.0009753727386145e-10
PGAM4	0.3649625368731621	6.436874840235365	2.3215367193390607e-10	0.1926674134865469	2.29803032054151e-09	5.835136188894381e-10	4.420492470774969e-09
C3orf37	0.3398752212389286	6.427060027146115	2.4579105581277907e-10	0.2038620259627259	2.4248392003057924e-09	5.298880803150391e-11	4.77341039441323e-10
CTAGE9	0.6218169616519198	6.426637493640391	2.483317334341461e-10	0.2118738833574143	2.4440318731558104e-09	8.726491990787455e-12	8.747796902874338e-11
FASTK	0.294442920353994	6.426506500309318	2.5092264159007184e-10	0.2244063371525784	2.465984601170021e-09	4.481912314929394e-13	5.396695590938443e-12
YBX1	0.3150631268436665	6.426477456668654	2.467152293438649e-10	0.211862656605009	2.4304528111466154e-09	8.749023297638377e-12	8.764626457213085e-11
THOC3	0.4488474926253651	6.42492797369642	2.498639079783526e-10	0.200656258732566	2.456755761875277e-09	1.0685140028744833e-10	9.136440016248706e-10
FAM57A	0.4305463126843669	6.421351424202792	2.564985356652362e-10	0.2140289666353635	2.5159650918333964e-09	5.305281595156586e-12	5.485102622787546e-11
CASP1	0.5005179941002886	6.416098013637753	2.679165491448297e-10	0.1943535444994908	2.622208193864507e-09	4.1022287180311283e-10	3.1901043780749646e-09
DEF6	0.3415504424778817	6.412347082529638	2.84496174007419e-10	0.2003095832823389	2.7786424606909196e-09	1.1519097605072947e-10	9.79648193173768e-10
DNASE1L1	0.3087095870206386	6.408779438709632	2.776976230256207e-10	0.21828974682012	2.7135326990556843e-09	1.952479303580088e-12	2.151604943773441e-11
C17orf99	0.8163243362831853	6.402600053950711	2.8618135990793206e-10	0.2041165414429306	2.7937723817926036e-09	5.009398915687396e-11	4.53052686075164e-10
KIAA0284	0.4016594395280233	6.399813595249487	2.9190816081072106e-10	0.2294815110592583	2.8429196116907514e-09	1.278804890305093e-13	1.6501486108085203e-12
PITPNB	0.2687063421828881	6.394559436087223	3.0336954820571463e-10	0.2088425363375302	2.9503443034880723e-09	1.7416091666566835e-11	1.6748897065748812e-10
C20orf24	0.3756007374631398	6.393998578131471	3.021113409483559e-10	0.2156826665404154	2.93950039320841e-09	3.608218452753008e-12	3.8322154596492114e-11
LEMD1	1.0964578171091444	6.391537516290131	3.060578727832685e-10	0.2019390866934768	2.97507960617448e-09	8.081573552469848e-11	7.054196642525765e-10
EBP	0.3721536873156275	6.388310410326826	3.173275033039816e-10	0.2097305072109054	3.0744377738701e-09	1.4240015837052263e-11	1.384221236433158e-10
SLC16A1	0.8971743362831912	6.388210912704543	3.1393398511095086e-10	0.1868261062430276	3.0444330251902802e-09	1.930205094198906e-09	1.3575577452519197e-08
ESPN	0.8676312684365746	6.381279648997546	3.3019581799579307e-10	0.2051677648989374	3.193085324283388e-09	3.968949472256497e-11	3.64370993036316e-10
PRSS12	1.0755438053097324	6.372467248736887	3.4452601765698424e-10	0.2302156426107384	3.3238341835046452e-09	1.0639819522869414e-13	1.387773156318355e-12
IER5	0.4232311209439547	6.365596336060931	3.609311194984986e-10	0.2049414916455054	3.4706865963953987e-09	4.173352853843488e-11	3.8181343177097505e-10
METTL8	0.3511365781710918	6.363375219730433	3.64909174695236e-10	0.1951058445162207	3.50729651521217e-09	3.5018558055479925e-10	2.7661831353559173e-09
HSD17B3	1.0461275811209445	6.362612358735021	3.7204466707562915e-10	0.1794471577980788	3.5691948668517127e-09	8.290288255883398e-09	5.232081705911041e-08
TNKS1BP1	0.3636679941003162	6.3607192343980765	3.699902031596844e-10	0.2391967470667106	3.551144867166114e-09	1.065318885389561e-14	1.599926606953013e-13
CYB5R1	0.3651407079645974	6.357563824258907	3.78848351815616e-10	0.2252767114063245	3.62768501062248e-09	3.622299617703036e-13	4.397741641126158e-12
C3orf52	0.4665722713864229	6.353304534276376	4.0002373539180575e-10	0.2166695866545004	3.8215389891083165e-09	2.8623968675495255e-12	3.081542091808692e-11
TESK2	0.4537280235988215	6.352592280006404	3.89695800067863e-10	0.1799839771196235	3.726341301999641e-09	7.471287131965465e-09	4.756140304472899e-08
CAP1	0.2489445427728647	6.342022411562451	4.2239279303427674e-10	0.2120069632964119	4.016546568315749e-09	8.46369657721618e-12	8.501602188968803e-11
EIF2B5	0.3383613569321539	6.341624840424164	4.1751130710551407e-10	0.2054597387627565	3.973809520109506e-09	3.71959998879421e-11	3.427441102780302e-10
MAGEA5	0.623844837758111	6.340935900857951	4.2195819610414196e-10	0.2044562922445457	4.01427329287212e-09	4.64693557485799e-11	4.2250481555285447e-10
C14orf128	0.4645095870206495	6.33218231891313	4.437238716793132e-10	0.2163088968762068	4.2096354369576255e-09	3.1155808070970376e-12	3.338354591320573e-11
PLIN3	0.3146550147492597	6.331893080506022	4.4726734143024764e-10	0.2378100498795888	4.233470963376203e-09	1.5293493933673098e-14	2.2362922397315436e-13
PEX13	0.238795870206486	6.3295860509356885	4.4780473621907557e-10	0.2150529854107851	4.236604255565725e-09	4.18023391572235e-12	4.388929721518677e-11
FAM183A	0.8998137168141578	6.325309498961379	4.606476030219567e-10	0.2196097426230755	4.354095437403671e-09	1.426435102789913e-12	1.598510516390661e-11
TMEM69	0.2431504424778801	6.3227567482971	4.685195331119377e-10	0.2110141320579745	4.420361220031286e-09	1.0627220534239713e-11	1.0529770152892919e-10
LOC554202	1.2243517699115052	6.318781259055914	4.823370909774696e-10	0.1937134346196413	4.544460981077307e-09	4.691128429563583e-10	3.6179138489459187e-09
ZYX	0.3514432153392377	6.31806140736894	4.894242073880991e-10	0.191518779682828	4.602784689728666e-09	7.404796054977916e-10	5.530027755863828e-09
CLIP4	0.4501330383480919	6.316829086909432	4.880924872532018e-10	0.2154698308514606	4.5923642361632595e-09	3.792417391427667e-12	4.015684469466208e-11
HSPB3	0.9917865781710932	6.302639473066174	5.381281002165447e-10	0.1954507483302028	5.026282937873369e-09	3.2561175804679187e-10	2.587000538970835e-09
TNFRSF18	0.7920629793510319	6.300246750166222	5.358360884230817e-10	0.1926076393069832	5.0071528881774555e-09	5.908140396399275e-10	4.469201265220233e-09
IGFBP6	0.7730318584070837	6.29964080352628	5.474251890327985e-10	0.1678649815742157	5.106151354313201e-09	7.246110228519369e-08	3.888202900980205e-07
AADAC	1.234934955752217	6.297628123121169	5.446637603740543e-10	0.2099843284424312	5.082703182036063e-09	1.3441400616332862e-11	1.311558719835141e-10
HTR7	1.0231523598820065	6.296716868303119	5.54667984844561e-10	0.192338342971342	5.169012132936376e-09	6.248226887436989e-10	4.709107856060256e-09
CKMT1A	1.1574178466076628	6.294300223367952	5.593478909815387e-10	0.2501494690984124	5.210259619714604e-09	5.650275176031818e-16	1.000001287620114e-14
GDPD3	0.7045249262536846	6.290464166767762	5.688799539389511e-10	0.2211480484892054	5.291846603700348e-09	9.86883410680852e-13	1.1350541412480612e-11
HSD17B1	0.6415066371681384	6.28234492796757	5.972375549137224e-10	0.2114177119040753	5.540572527057715e-09	9.68930989980061e-12	9.642342813519463e-11
TMEM99	0.4145051622418911	6.274446827544456	6.393964243239207e-10	0.200637234920615	5.907654631579699e-09	1.0729333950052296e-10	9.170409075544282e-10
ARAP2	0.4558258112094489	6.265235140286524	6.931003135075671e-10	0.208343808598006	6.3665993003625745e-09	1.9493530273870826e-11	1.8596755414617476e-10
CEPT1	0.22795280235988	6.261244759453962	6.792251370749574e-10	0.2011802235017339	6.2503326150375975e-09	9.535411161382379e-11	8.218387537497072e-10
PMM2	0.2459706489675603	6.260279362942069	6.847495276018794e-10	0.2087936368983176	6.298345789277145e-09	1.7609807231306892e-11	1.6919082323686237e-10
ADAD2	0.746957374631269	6.258504985072428	6.962960552198301e-10	0.2296737457167999	6.393093923820714e-09	1.2187556054691252e-13	1.577619960925671e-12
OAF	0.4866359882006001	6.256334357308531	7.013531146041562e-10	0.202153396393435	6.435368212571169e-09	7.711798644322906e-11	6.74864561670713e-10
PDLIM4	0.7277137168141543	6.251747614326987	7.197165430604054e-10	0.2101429546332352	6.590446310896576e-09	1.2964725044633811e-11	1.2686644669510587e-10
MRPL37	0.2474926253687304	6.249560146944063	7.322866533562714e-10	0.2027044113187277	6.693608634641253e-09	6.835264872142516e-11	6.04601412430357e-10
CXCR2	0.7690970501474936	6.247752861503777	7.458799998045512e-10	0.2071190414130982	6.802717190576383e-09	2.5677636497190702e-11	2.416312303896963e-10
EGFR	0.7718395280235804	6.243474667572539	8.034143548951081e-10	0.1869218857618965	7.282161901102238e-09	1.8932874983259004e-09	1.3343354734167777e-08
DHRS1	0.3557840707964583	6.236117650045965	7.909309801722537e-10	0.2088437687714657	7.188053573677013e-09	1.7411236386016622e-11	1.6748897065748812e-10
NCBP2	0.3260697640118071	6.235278772088802	7.946247073189008e-10	0.193754332423815	7.2184270979013445e-09	4.651157804887235e-10	3.5924856935415704e-09
CREG2	0.9010098820058992	6.235211037998739	7.954928896576438e-10	0.2128651636286875	7.223117657970556e-09	6.9456336091977846e-12	7.048633613288705e-11
PRDX1	0.4156066371681284	6.235023748370727	7.963626086956125e-10	0.2358295173205493	7.227818017913759e-09	2.5530404492659816e-14	3.609774133845083e-13
TRAPPC3	0.2160526548672514	6.234208911313873	8.122704833208472e-10	0.2068065775450329	7.355938695446401e-09	2.7540102899119654e-11	2.5781956795208686e-10
KRT24	1.1576600294985244	6.230895139797455	9.451129557740604e-10	0.1601387038515717	8.45822536270334e-09	2.839824942464134e-07	1.375686787843055e-06
HOMEZ	0.3420597345132847	6.229667973858397	8.254255386747881e-10	0.2048346186209261	7.465192206605023e-09	4.27343795419233e-11	3.901008501537062e-10
JOSD2	0.3494424778761029	6.229028849253825	8.324388177768787e-10	0.1911383831550415	7.518684086651703e-09	8.010076878744323e-10	5.956062235444438e-09
LOC400759	0.659842625368734	6.228728741223983	8.284167773444502e-10	0.1984883008747326	7.485775488633203e-09	1.705778276942197e-10	1.417798705490822e-09
EZR	0.3291073746312616	6.228323335340305	8.284306824244831e-10	0.2179725674707449	7.485775488633203e-09	2.104824209684164e-12	2.3083355248299083e-11
PSMC1	0.2608508849557527	6.227105060866098	8.358313759616723e-10	0.2008439112508226	7.546006221852741e-09	1.0258619675664684e-10	8.793714486070812e-10
ZNF114	0.9986036873156294	6.223475528420877	8.533701327888153e-10	0.194627810667315	7.694197991284313e-09	3.872556541175678e-10	3.0229500300508238e-09
FMO6P	1.097968141592919	6.222201035605079	8.780671794484277e-10	0.1879959950440815	7.899526377772227e-09	1.5235668053341645e-09	1.0879591830786224e-08
CDC42	0.2492710914454203	6.218259442351215	8.956599748728065e-10	0.2137568834288294	8.047220693277341e-09	5.6509673558311756e-12	5.824014046948496e-11
RTP4	0.6703255162241941	6.215903870161071	9.05248980207377e-10	0.2068275835731655	8.126262161634215e-09	2.7410859756417955e-11	2.567267111310496e-10
FAM58A	0.3196988200589992	6.211822754645248	9.155473771613923e-10	0.1884322078087127	8.204359516858746e-09	1.3943904496714661e-09	1.0023401936889075e-08
SLC34A1	0.396633480825959	6.207328182215512	9.611182723979183e-10	0.2090739606464578	8.586491789525355e-09	1.6527206654229512e-11	1.5944715818201686e-10
PPP1R2P3	0.3033266961651932	6.20695267697343	9.445593626374986e-10	0.1771688733364465	8.456957573025662e-09	1.2846094998251598e-08	7.814232009306824e-08
TMTC3	0.4235116519173978	6.20475083157536	9.552920703074964e-10	0.1865676551167522	8.541875524134541e-09	2.0333525532693902e-09	1.4281466958132256e-08
C3orf16	0.9628516224188792	6.204406991536381	9.682210193542412e-10	0.2070484163437384	8.634916388941168e-09	2.6087522243761698e-11	2.4512094729550183e-10
EYA2	1.1693087020649084	6.2043681267259565	9.644126610949363e-10	0.2003933226242999	8.612175699120941e-09	1.131201772536875e-10	9.640337231291842e-10
PHF5A	0.3510423303834837	6.199470325251792	9.916853183756511e-10	0.1897747031872657	8.828837634974899e-09	1.060213101741392e-09	7.751486815794437e-09
CARHSP1	0.3086479351032345	6.19813992879437	9.99833509639441e-10	0.1965684346306651	8.889814617972162e-09	2.5698479524140313e-10	2.078761956779356e-09
PSG5	0.768197345132744	6.19242487430029	1.0660684586965486e-09	0.2521975622176193	9.446001492032864e-09	3.210685729493639e-16	5.828061717639647e-15
PGLYRP4	1.1624587020648942	6.191994959006574	1.0309228084348499e-09	0.218416604129944	9.150387054547112e-09	1.8946197345575923e-12	2.0923369096539736e-11
STEAP3	0.5046299410029462	6.189687399969359	1.0927669198006686e-09	0.1979212477603796	9.66171613415492e-09	1.9261000752782742e-10	1.5885984078648562e-09
TMEM165	0.3366278761061867	6.183495329123649	1.0864693569619715e-09	0.199067312074445	9.614317197598825e-09	1.506233261668772e-10	1.2616470363957523e-09
DFNA5	0.653763421828919	6.17871590903596	1.1221795513800954e-09	0.1899863861705125	9.904706014545728e-09	1.0152001999744602e-09	7.45157672702026e-09
ADAM15	0.3654827433628345	6.172108836218559	1.1671957065662972e-09	0.2181828320636561	1.0279934730075538e-08	2.0025841699626568e-12	2.2020917519728624e-11
IFNE	0.8497466076696156	6.171805330203754	1.182221317150094e-09	0.1960315999220705	1.0394434107533804e-08	2.879753431225252e-10	2.308525495628833e-09
SETD8	0.3188289085545754	6.169753465314432	1.2139007228230791e-09	0.2020013530064642	1.0641068249170717e-08	7.972389658444725e-11	6.96431560651435e-10
SESN3	0.8853323008849578	6.167986049490071	1.192208801537262e-09	0.1960569620623752	1.0468796704687764e-08	2.864325333521096e-10	2.29705465223391e-09
CHRNB4	0.9044045722713844	6.165279293782456	1.2148030058688794e-09	0.1927986015713864	1.0644432654924498e-08	5.677979635594571e-10	4.306203247829942e-09
PRMT2	0.2235728613569279	6.163882396388776	1.226617545674589e-09	0.1967563076726952	1.0743369544666942e-08	2.4692745541291375e-10	2.0021408608321954e-09
CHMP1A	0.2441924778761137	6.161876047924994	1.2368842874089974e-09	0.2290996101905336	1.0824055592713862e-08	1.4068398758499628e-13	1.8058073881198308e-12
ACAP2	0.4331561946902695	6.1583685312352365	1.2662872991586615e-09	0.182139419329342	1.1067210835132958e-08	4.904936053761826e-09	3.216171740138303e-08
PSORS1C2	0.8219209439527997	6.158185361879031	1.2873250055570711e-09	0.2099918873584095	1.1241506747803776e-08	1.3418301954653663e-11	1.3103006250822262e-10
GNAI1	0.5555457227138625	6.15730287314412	1.2752544514194691e-09	0.2214083333037432	1.1140839952187957e-08	9.269965581769764e-13	1.070975764736822e-11
BCL7C	0.3073690265486615	6.154678795660602	1.289134523188808e-09	0.1927404280107326	1.1252522007256053e-08	5.747152938158333e-10	4.355446652653768e-09
ID1	0.6895836283185801	6.148768766292443	1.3354495347554323e-09	0.2170473117882735	1.165183975713091e-08	2.6188611557979854e-12	2.8312385217763368e-11
C9orf89	0.3258685840708022	6.147598064036067	1.351076389120552e-09	0.2018033418481246	1.1778173362481928e-08	8.324687141763835e-11	7.232578375810899e-10
CENPP	0.5306266961651964	6.144617912204337	1.3786404815529584e-09	0.1823824979265514	1.1998087785621972e-08	4.676100397278703e-09	3.08286259332472e-08
FTSJ1	0.2424827433628458	6.142698927997482	1.3946683506228891e-09	0.188524283801111	1.21170297242014e-08	1.368519403772767e-09	9.8581415296333e-09
C9orf16	0.3227455752212425	6.141984298187159	1.3922850933872306e-09	0.2052997289771635	1.2101444948027033e-08	3.8542908578450836e-11	3.546776840500205e-10
PIM1	0.3894927728613506	6.136103961524343	1.4419775683841123e-09	0.2140547068985843	1.251746278178682e-08	5.273670771814134e-12	5.45707968474517e-11
KPNA4	0.3202985250737473	6.129207140097515	1.5008536866077192e-09	0.1950463991433412	1.298462966121217e-08	3.545998038496403e-10	2.7946003735251882e-09
FST	1.2394794985250792	6.128910887851826	1.5084394834681654e-09	0.191189075398576	1.3039268461305869e-08	7.926716936053937e-10	5.902629622676363e-09
SENP5	0.3576227138643162	6.127849002772216	1.5173619090174516e-09	0.1830374857340963	1.3110875417562408e-08	4.1099173897090206e-09	2.732402979621962e-08
HSPB11	0.2789159292035457	6.127150096741034	1.5193508267595939e-09	0.1797892538845477	1.3122537851651016e-08	7.758852618009781e-09	4.930029224628314e-08
PDXK	0.3194162241887941	6.126423593020859	1.525742715216959e-09	0.2157698522081527	1.3172202667537498e-08	3.535318612041434e-12	3.758678980073053e-11
RTN4R	0.5634812684365729	6.125978692040857	1.552324906602682e-09	0.1731971953228876	1.3379189896117996e-08	2.7194466783254782e-08	1.5634343406895004e-07
PLEKHH3	0.3451907079645924	6.124205455184503	1.5459570455258332e-09	0.2095713180744251	1.33355034221199e-08	1.4764366728768944e-11	1.4324784921626957e-10
CAST	0.2929362831858508	6.124071065301277	1.5510515413656903e-09	0.2037980307195467	1.3373829543988922e-08	5.3742009881355537e-11	4.837016496555147e-10
TSPAN14	0.2388417404129903	6.122627503606343	1.562418636027443e-09	0.2358126432062794	1.3454888673508141e-08	2.5641601425369985e-14	3.623001219978292e-13
LOC374443	0.4126299410029537	6.120906512358824	1.590381165044097e-09	0.1997964056012832	1.3678477301363766e-08	1.2871364592230705e-10	1.0874449180185036e-09
TCHH	0.9904205014749294	6.116882099991968	1.634246778324413e-09	0.2042066741235904	1.4026373895903096e-08	4.9106347849681783e-11	4.443161398651243e-10
ALDH1A3	0.6975421828908459	6.115472606791089	1.629523084223683e-09	0.1935960016154645	1.3998350613645254e-08	4.807768810253889e-10	3.7009183979944634e-09
DDX47	0.2631601769911444	6.115328391783275	1.6320127851989036e-09	0.1871449190691646	1.401305833548034e-08	1.8099630995781521e-09	1.2795641334138934e-08
SQRDL	0.4593115044247806	6.1148290639038425	1.6554426843553243e-09	0.210834915723472	1.4190496162761925e-08	1.1071661412631196e-11	1.0933199076542495e-10
LSG1	0.3990336283185876	6.114429804052499	1.638528425669544e-09	0.1884671054658044	1.4057245540742057e-08	1.3845295497017257e-09	9.95665819388669e-09
KCTD15	0.6427731563421855	6.110978161441251	1.6724090090930647e-09	0.2006993602076579	1.4329948646360861e-08	1.0585667978182567e-10	9.058931371074952e-10
CRYAB	0.8600107669616568	6.109775665294007	1.7244558761252055e-09	0.1734263027719457	1.4745139165701989e-08	2.605517082695656e-08	1.502985830506935e-07
GPR78	0.5496252212389381	6.10530709484662	1.8808479256216878e-09	0.2615893397926647	1.59957779258547e-08	2.2514013352924977e-17	4.760171927245621e-16
SERPINB1	0.5250898230088588	6.103665580188954	1.7582206307731643e-09	0.2144939182231489	1.500884388763953e-08	4.761851797031578e-12	4.959960293914678e-11
UBE2I	0.1837200589970429	6.083002553685079	1.9800101531813053e-09	0.2072672529428963	1.676964044752979e-08	2.483782423659372e-11	2.3433847958514203e-10
B3GNT3	0.97221017699116	6.07850967035894	2.057108970743336e-09	0.2210607215556896	1.7393923875354492e-08	1.0078127235723698e-12	1.1565341092756149e-11
PEX11A	0.3155109144542702	6.07519408485414	2.0713542556518852e-09	0.1754898281177898	1.7492761360976233e-08	1.7675596838962344e-08	1.0512166949707326e-07
SAA1	1.1840081120943982	6.072203885304724	2.1132988291513157e-09	0.1886047863604396	1.7817669389107396e-08	1.3462834635601088e-09	9.712001924745611e-09
DNAJC17	0.234162831858411	6.069973120849099	2.1321114857503888e-09	0.1855258772324914	1.7961530078972294e-08	2.5062412505963643e-09	1.731262882730261e-08
TSPAN10	0.6818047197640089	6.069061904384261	2.14448081636329e-09	0.1967779705238787	1.805091888476357e-08	2.4579276852195777e-10	1.993727988050491e-09
LAYN	0.648522123893799	6.068346797089839	2.1665634969684913e-09	0.1843790068786298	1.8221855220304435e-08	3.150602777843458e-09	2.1326038585270753e-08
IGFBP3	0.7266333333333339	6.067457669552346	2.165052833954649e-09	0.2134551321287234	1.8216612574216783e-08	6.060149580986124e-12	6.20523046871048e-11
MFSD1	0.2691572271386384	6.065206891281209	2.1932629863378686e-09	0.2070483127574746	1.843885712920411e-08	2.608812809745112e-11	2.4512094729550183e-10
CCNK	0.2162952802359932	6.058988218395979	2.281698179068991e-09	0.2042455123299803	1.9111898660255565e-08	4.868666066071764e-11	4.4090742980349943e-10
TTC23	0.323133628318585	6.055625371210715	2.324168998844426e-09	0.1993128420412905	1.9435922422108382e-08	1.428668019418953e-10	1.2013703609064933e-09
MID1	0.5104458702064854	6.054264955857815	2.357762328477595e-09	0.2027385115650199	1.970079796648149e-08	6.784339978832683e-11	6.003556024372197e-10
PLCB3	0.2939455752212421	6.05301804342999	2.3628856465173882e-09	0.2064050081968957	1.973557458218144e-08	3.012850760888211e-11	2.812763901136882e-10
DGCR6L	0.3261786135693256	6.0501220383487	2.3997829455182803e-09	0.2087069943757096	2.0011187600117913e-08	1.795822861520863e-11	1.7236205398327872e-10
DKFZp434J0226	0.8273017699115028	6.043635647185135	2.4900585496057e-09	0.196318448230539	2.0696721466965595e-08	2.7098864522931796e-10	2.1808690264829076e-09
ZDHHC18	0.2445218289085478	6.043446106795673	2.530155842089239e-09	0.204322637374688	2.100448824831867e-08	4.7863606216058036e-11	4.340281959433178e-10
PIK3IP1	0.4171737463126721	6.042907871769643	2.50083922666324e-09	0.2194750689358187	2.0777915549735462e-08	1.4729964259467801e-12	1.645300142801273e-11
LOC100130776	0.5597013274336282	6.039173611209567	2.686069538221206e-09	0.1641588777444786	2.217330422986786e-08	1.4063827413614719e-07	7.205649533354383e-07
PISD	0.2593216814159262	6.039082289419964	2.56160602804914e-09	0.2359441911720506	2.1256981307942137e-08	2.4787173139272634e-14	3.516797958184293e-13
PNPLA1	0.7200452802359865	6.037260289133954	2.613370346003872e-09	0.1861677206254064	2.1642796774287817e-08	2.2036153565565822e-09	1.5398306082405253e-08
SC4MOL	0.3517834808259703	6.034140321667992	2.6374581528691867e-09	0.1897491993679217	2.1824673872795005e-08	1.0657657389620353e-09	7.786537587505546e-09
COPZ2	0.6086283185840715	6.031944372663332	2.667172203373073e-09	0.2102242957100638	2.203502830392321e-08	1.2726746480169718e-11	1.246565387585326e-10
DKK1	1.2652861356932137	6.029187916825454	2.803550928380034e-09	0.2150831492420363	2.304119317839956e-08	4.150913652187272e-12	4.365689409805569e-11
PLXNB3	0.8152153392330401	6.0271681055054085	2.8743508652037955e-09	0.1859579782094082	2.3547654933213857e-08	2.2983720146323507e-09	1.5962644607713854e-08
IGSF11	1.188324041297939	6.026814530513684	2.7539740924509022e-09	0.1929184934753623	2.2688237607550972e-08	5.537967164783679e-10	4.20467699308465e-09
MAFF	0.3596706489675636	6.026789906083308	2.7493947276025183e-09	0.2054440961450165	2.265960407775179e-08	3.732561906535959e-11	3.437841899559589e-10
CTAGE4	0.5771275811209469	6.025811055375613	2.776163687202218e-09	0.1952979577629977	2.2847807648500685e-08	3.3628308260977864e-10	2.666624830428256e-09
VDAC2	0.3127300884955666	6.025638382386094	2.8087093151065953e-09	0.2137382617321302	2.3074350635909725e-08	5.675416289185115e-12	5.846084702440652e-11
AUP1	0.2154038348082512	6.022045714189047	2.831453020282229e-09	0.2005889677873644	2.3233305558111182e-08	1.0842264730822442e-10	9.259221918626653e-10
