gene	spearman_r	spearman_p	n_expr	padj
GLRA3	-0.02759315814484792	0.005358760576327004	62	0.010120142441938812
ADARB2	-0.027594630566284195	0.005356304676692861	31	0.010116337313625429
AC069307.1	-0.02759657804846869	0.0053530579687281026	105	0.010111037852987913
VMO1	-0.02759790611314724	0.0053508449300507105	241	0.010107690109981323
SOGA1	-0.02760948735551267	0.0053315813526803165	2240	0.010072130873643642
FAUP2	-0.02761261075766814	0.005326396796861299	164	0.010063165285100444
AC007685.1	-0.02762318086026367	0.005308885168785914	52	0.010030906754663204
AMACR	-0.0276269631257009	0.0053026316813492005	295	0.010019916426953452
CD27	-0.02762756008469097	0.005301645294796121	58	0.010018877885321588
Z83838.1	-0.027628074947999015	0.005300794692321133	23	0.010018095794056369
NKAIN3-IT1	-0.02762940524868058	0.005298597481403437	31	0.010014768377425183
PAPOLA	-0.0276296726115997	0.005298155986735043	8415	0.010014759128448984
AL357055.2	-0.027633680223771627	0.005291542222480711	32	0.0100030818773086
UBE3B	-0.027646272206125137	0.005270810157893036	2141	0.00996471139880907
ZNF605	-0.027647469737520327	0.005268842308055835	1710	0.00996181213832713
AC016588.2	-0.027656112559492976	0.005254659609962664	542	0.009937454211668199
DDC	-0.027661906356680456	0.005245171419969291	96	0.00992196454158466
AC018437.1	-0.027667981118998427	0.005235239730086159	13	0.00990399413845083
AC093510.1	-0.027676115488390628	0.005221967370612557	25	0.009879700391546588
WDR25	-0.027681863280453745	0.005212607380353045	603	0.009862805253694477
AL590705.1	-0.02768586456086357	0.005206100447030924	51	0.009851306059560744
WDFY4	-0.0276878486557896	0.0052028766087397855	45	0.009846017956544278
NPM1P38	-0.027688114706636038	0.005202444455641101	19	0.009846012452433628
MTTP	-0.027690767980947727	0.00519813644920662	145	0.009838671001889714
AC022730.4	-0.027694362515741023	0.0051923052995251455	40	0.00982844520222048
NEU4	-0.027695774392695893	0.0051900165322144014	47	0.00982492359626425
NPTX1	-0.027700309459743177	0.005182670984513196	53	0.009811827917032329
TTLL11	-0.027703676687379802	0.005177223089427405	283	0.009802323006626975
ZNF587B	-0.02771013550386673	0.005166787738250374	434	0.00978337272081782
ARL17B	-0.0277179286557492	0.005154221835634663	427	0.009760384749095014
SSNA1	-0.027719076142593918	0.005152373928919863	3658	0.009757690982625812
SMCO4	-0.027728347417321362	0.00513746546137721	3475	0.00973186743356763
