cohort	patient	family	thesis_expect	n_pairs	n_pairs_detected	sum_high	sum_low	delta_sum	mean_detected_delta	outdeg_high	outdeg_low	delta_outdeg	indeg_high	indeg_low	flowbet_high	flowbet_low	info_high	info_low	pval_high_median	pval_low_median	frac_edge_p05_high	frac_edge_p05_low	p_label_greater	p_label_less	p_label_two	p_label_outdeg_greater	p_label_outdeg_less	n_label_perm
GSE205335	P1016	ifn_recruit	low>high	7	3	0.0290771358422887	0.0232936461164854	0.00578348972580326	0.00192782990860109	0.0290771358422887	0.0232936461164854	0.00578348972580326	0	0	0	0	0	0	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE205335	P1017	barrier_inhibitory	high>low	7	7	0.017332684644107	0.00498118233468057	0.0123515023094264	0.00176450032991806	0.0198829823464746	0.00574979369056618	0.0141331886559084	0.00235639190161078	0.00144694848958826	0.000777224416030419	0.00115503618639326	0.364323193033683	0.301641231160425	0	0	1	0.571428571428571	0.02	1	0.02	0.02	1	49
GSE205335	P1017	ifn_recruit	low>high	7	3	0.0367834892808327	0.0247903583443648	0.0119931309364679	0.00399771031215598	0.0367834892808327	0.0247903583443648	0.0119931309364679	0	0	0	0	0	0	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE205335	P1018	barrier_inhibitory	high>low	7	6	0.0183534667427163	0.00313966601307128	0.0152138007296451	0.00253563345494084	0.0191849553391821	0.00332613192482324	0.0158588234143589	0.00110640459072762	6.06852935255936e-05	0.00022010212547805	5.10234275748249e-05	0.338483057978892	0.271182464886608	0	0.02	1	0.666666666666667	0.02	1	0.02	0.02	1	49
GSE205335	P1018	ifn_recruit	low>high	7	3	0.0289457181876147	0.0240297099365534	0.00491600825106129	0.00163866941702043	0.0289457181876147	0.0240297099365534	0.00491600825106129	0	0	0	0	0	0	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE205335	P1025	barrier_inhibitory	high>low	7	6	0.0010303797299689	0.000618345996446134	0.000412033733522763	6.86722889204606e-05	0.0010303797299689	0.000618345996446134	0.000412033733522763	0	0	0	0	0	0	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE205335	P1025	ifn_recruit	low>high	7	3	0.00572287699431429	0.0048722029926634	0.000850674001650883	0.000283558000550294	0.00572287699431429	0.0048722029926634	0.000850674001650883	0	0	0	0	0	0	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE205335	P1027	barrier_inhibitory	high>low	7	7	0.0245001703977219	0.00404472225112237	0.0204554481465995	0.00292220687808564	0.0260680114440369	0.00433382330119116	0.0217341881428457	0.00208064684420415	0.000483581158322935	0.000530995454757747	0.000429283991155373	0.306612162576684	0.257759549741776	0	0.01	1	0.571428571428571	0.02	1	0.02	0.02	1	49
GSE205335	P1027	ifn_recruit	low>high	7	4	0.102687894096375	0.0835797783120886	0.0191081157842861	0.00477702894607154	0.102687894096375	0.0835797783120886	0.0191081157842861	0	0	0	0	0	0	0	0	0.75	0.75	0.02	1	0.02	0.02	1	49
GSE205335	P1030	barrier_inhibitory	high>low	7	6	0.00602510513088129	0	0.00602510513088129	0.00100418418848021	0.00618084106261066	0	0.00618084106261066	0.000155735931729372	0	0	0	0	0	0	1	1	0	0.02	1	0.02	0.02	1	49
GSE205335	P1030	ifn_recruit	low>high	7	3	0.019235169637873	0.00576190542343077	0.0134732642144422	0.00449108807148075	0.019235169637873	0.00576190542343077	0.0134732642144422	0	0	0	0	0	0	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE205335	P1037	barrier_inhibitory	high>low	7	1	0.00204272539850756	0.00196632541130081	7.6399987206756e-05	7.6399987206756e-05	0.00812372155863312	0.00782190959632479	0.000301811962308328	0.00760658478128737	0.00853028497985823	0.00402193046274179	0.00418740976306263	0.339028952116421	0.348009512395657	0.97	0.97	0	0	0.28	0.74	0.66	0.28	0.74	49
GSE205335	P1037	ifn_recruit	low>high	7	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	1	1	1	1	1	49
GSE205335	P1056	barrier_inhibitory	high>low	7	5	0.00198359531749771	0.00226270626549911	-0.000279110948001399	-5.58221896002797e-05	0.00218744930799124	0.00268726235277628	-0.000499813044785042	0.000480847477170003	0.000147562600600695	0.000324836151249612	4.78426645731367e-05	0.500002814170764	0.499997185829236	0	0	1	1	0.68	0.34	0.68	0.78	0.24	49
GSE205335	P1056	ifn_recruit	low>high	7	3	0.00541815172231732	0.00505315323342864	0.00036499848888868	0.000121666162962893	0.00541815172231732	0.00505315323342864	0.00036499848888868	0	0	0	0	0	0	0	0	1	1	0.24	0.78	0.44	0.24	0.78	49
GSE205335	P1062	barrier_inhibitory	high>low	7	6	0.0111792766570913	0.0118751882190528	-0.00069591156196149	-0.000115985260326915	0.013966413019413	0.014524105334658	-0.000557692315244997	0.000949082517414746	0.00901059661263814	0.000811648073910532	0.00294932360574973	0.238440372235792	0.297027887901971	0	0.86	0.666666666666667	0.333333333333333	0.7	0.32	0.72	0.66	0.36	49
GSE205335	P1062	ifn_recruit	low>high	7	3	0.025443759188721	0.0325076810821863	-0.0070639218934653	-0.0023546406311551	0.0266080962889662	0.0340246796363804	-0.00741658334741418	0	0.0101774948184552	0	0.00116433710024514	0	0.492516714861421	0.1	0	0	1	1	0.02	0.02	1	0.02	49
GSE205335	P1063	barrier_inhibitory	high>low	7	6	0.00986655962422681	0.0108743166895455	-0.00100775706531872	-0.000167959510886454	0.0112163301792759	0.0120865425484918	-0.000870212369215913	3.40069914130952e-05	0.00373433747464222	2.91467729672547e-05	0.00136041652059289	0.231494566158659	0.280085530093277	0	0.785	0.666666666666667	0.333333333333333	0.54	0.48	0.86	0.52	0.5	49
GSE205335	P1063	ifn_recruit	low>high	7	3	0.0026247800020419	0.00409041258636248	-0.00146563258432059	-0.000488544194773529	0.00277615728758426	0.00433530584043696	-0.0015591485528527	0	0.00229594229085219	0	0.000151377285542361	0	0.498475311187715	0.46	0.09	0	0	1	0.02	0.02	1	0.02	49
GSE205335	P1072	barrier_inhibitory	high>low	7	7	0.0177830623803939	0.00759203087150239	0.0101910315088915	0.00145586164412736	0.019601355429786	0.00810800533135485	0.0114933500984311	0.0014264805983536	0.00102625207729923	0.000371082973566826	0.000812928864660101	0.336937784369687	0.295402140733983	0	0	1	0.571428571428571	0.02	1	0.02	0.02	1	49
GSE205335	P1072	ifn_recruit	low>high	7	3	0.0151339209126709	0.00793536367802873	0.0071985572346422	0.00239951907821406	0.0151339209126709	0.00793536367802873	0.0071985572346422	0	0	0	0	0	0	0.06	0.91	0.333333333333333	0	0.02	1	0.02	0.02	1	49
GSE205335	P1076	barrier_inhibitory	high>low	7	4	0.00123410721772198	0	0.00123410721772198	0.000308526804430495	0.00130968903051744	0	0.00130968903051744	7.23465441089828e-05	3.23526868647355e-06	0	0	0	0	0	1	1	0	0.02	1	0.02	0.02	1	49
GSE205335	P1076	ifn_recruit	low>high	7	4	0.00809585902023136	0.00603720276249858	0.00205865625773278	0.000514664064433195	0.00809605331403831	0.00603720276249858	0.00205885055153973	1.94293806951481e-07	0	0	0	0.499357912737827	0	0	0	1	0.75	0.02	1	0.02	0.02	1	49
GSE205335	P1079	barrier_inhibitory	high>low	7	7	0.020136117439601	0.00132845110183923	0.0188076663377618	0.00268680947682311	0.0202483840887045	0.00133865360227716	0.0189097304864273	0.000132706547463569	4.21686642815838e-06	1.33467892951263e-05	3.90294714805709e-06	0.244490312441254	0.233864038689095	0	1	1	0.142857142857143	0.02	1	0.02	0.02	1	49
GSE205335	P1079	ifn_recruit	low>high	7	4	0.0631324305985494	0.043558985008178	0.0195734455903714	0.00489336139759285	0.0631324305985494	0.043558985008178	0.0195734455903714	0	0	0	0	0	0	0	0	1	0.75	0.02	1	0.02	0.02	1	49
GSE205335	P1084	barrier_inhibitory	high>low	7	6	0.0263691236676727	0.0124800589930673	0.0138890646746054	0.00231484411243424	0.0272128075778614	0.0129125519104321	0.0143002556674292	0.000511409520354624	0.000784207149821107	0.000180226095739939	0.000523803153835931	0.358347700752561	0.347278808106413	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE205335	P1084	ifn_recruit	low>high	7	3	0.0439682984007093	0.0389365735663577	0.00503172483435154	0.00167724161145051	0.0439682984007093	0.0389365735663577	0.00503172483435154	0	0	0	0	0	0	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE205335	P1089	barrier_inhibitory	high>low	7	2	0.000372533402851379	0.000201241126665459	0.00017129227618592	8.56461380929601e-05	0.000372533402851379	0.000201241126665459	0.00017129227618592	0	0	0	0	0	0	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE205335	P1089	ifn_recruit	low>high	7	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	1	1	1	1	1	49
GSE205335	P1090	barrier_inhibitory	high>low	7	6	0.0209991474666728	0.0198371178132784	0.00116202965339441	0.000193671608899068	0.0220952341303187	0.0215093716706579	0.000585862459660753	0.00188049100328914	0.00169012083207785	0.00130317245851304	0.000898332489427891	0.294792237286003	0.295980381143469	0	0	1	1	0.32	0.7	0.62	0.42	0.6	49
GSE205335	P1090	ifn_recruit	low>high	7	6	0.105175722175078	0.106875367689157	-0.00169964551407856	-0.000283274252346427	0.105247454207594	0.106947653729143	-0.00170019952154846	0	0.000267060300277248	0	7.17320325160364e-05	0	0.49187043241027	0.015	0	0.666666666666667	1	0.86	0.16	0.44	0.86	0.16	49
GSE205335	P1115	barrier_inhibitory	high>low	7	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	1	1	1	1	1	49
GSE205335	P1115	ifn_recruit	low>high	7	3	2.06669451486129e-05	1.39859272216599e-05	6.68101792695293e-06	2.22700597565098e-06	2.06669451486129e-05	1.39859272216599e-05	6.68101792695293e-06	0	0	0	0	0	0	0	0	1	1	0.08	0.94	0.16	0.08	0.94	49
GSE205335	P1119	barrier_inhibitory	high>low	7	7	0.0112538341619054	0.000233626759855453	0.01102020740205	0.00157431534315	0.011284568663105	0.000233626759855453	0.0110509419032495	3.98096173819162e-05	2.61037159561643e-05	1.21717791747423e-05	1.21717791747421e-05	0.230382111185662	0.227241398217656	0	1	1	0	0.02	1	0.02	0.02	1	49
GSE205335	P1119	ifn_recruit	low>high	7	5	0.0794222194706964	0.0737542304290711	0.0056679890416253	0.00113359780832506	0.0794222194706964	0.0737542304290711	0.0056679890416253	0	0	0	0	0	0	0	0	0.6	0.8	0.02	1	0.02	0.02	1	49
