method	split	family	n	mean_sum	median_sum	mean_per_ligand	frac_pos	p_wilcox	p_signflip	n_GSE123902	mean_GSE123902	n_GSE131907	mean_GSE131907	n_GSE205335	mean_GSE205335	n_GSE189357	mean_GSE189357	n_cohorts_pos	meta_mean	i2	p_meta
natmi_spec	decile	barrier	59	1.0305372496662217	0.9837016703691768	0.25763431241655543	0.9491525423728814	9.213862240183854e-11	9.999000099990002e-05	11	0.8724039565349945	18	0.9074813186222122	21	1.2181166658493183	9	1.0322378322651817	4	1.0276902607469125	2.1085851955280797	1.1077757101705094e-35
natmi_spec	decile	ifn_recruit	59	0.19550763655648148	0.0	0.0391015273112963	0.4745762711864407	2.8434237746031825e-05		11	0.44101497158751835	18	0.13961829422530067	21	0.17686231557098497	9	0.05072754959151222	4	0.1522508799896285	55.85613283394294	0.012637345938196992
natmi_spec	decile	mhc_cd8	59	0.1301593271050667	0.11169990106416344	0.043386442368355566	0.6949152542372882	8.822962289434634e-06		11	0.1256576682373882	18	0.21546018996187014	21	0.1267003297310169	9	-0.026869377230817004	3	0.1125744093851186	79.31923250348909	0.02642731190276448
sca_lrscore	decile	barrier	59	0.36207965953534693	0.33805646193410405	0.09051991488383673	0.9491525423728814	9.213862240183854e-11	9.999000099990002e-05	11	0.31636439788215626	18	0.2596609352801676	21	0.4611109981263906	9	0.39171819335383634	4	0.3530133577858955	57.618349746303196	2.1395468386261835e-13
sca_lrscore	decile	ifn_recruit	59	0.04315625430038565	0.0	0.008631250860077131	0.4406779661016949	0.0008944300647461546		11	0.13984176118112346	18	0.033366834241614934	21	0.012779788365258324	9	0.015442339856766907	4	0.0327010646212425	49.16279055101499	0.04968855734063443
sca_lrscore	decile	mhc_cd8	59	0.07063227963000414	0.05298574141513723	0.023544093210001376	0.6949152542372882	1.5198931250871138e-05		11	0.06595973511584015	18	0.1169121030389889	21	0.07005910856736881	9	-0.014879080302282558	3	0.05979419436294599	82.62671774978472	0.04942641068326666
liana_logfc	decile	barrier	59	1.4562525634377808	1.2967370581736015	0.3640631408594452	0.9491525423728814	7.075725805273177e-11	9.999000099990002e-05	11	1.0248051067646353	18	1.2851104734661645	21	1.7753068871843987	9	1.5814013239060811	4	1.3879956230576476	48.74718776300686	7.569916244714268e-15
liana_logfc	decile	ifn_recruit	59	0.1261945283713314	0.0	0.025238905674266284	0.4406779661016949	0.0022551238907870907		11	0.45642902429414195	18	0.10713490847066302	21	-0.029037664332770625	9	0.12290227835436024	3	0.14725816855783103	63.20509776201656	0.06633945024901237
liana_logfc	decile	mhc_cd8	59	1.4844104773124476	1.2681346526183	0.4948034924374825	0.6949152542372882	3.0330865141950256e-05		11	1.5580009314208672	18	2.4052391731000737	21	1.4082235578394213	9	-0.26942132384714435	3	1.3032657444573064	75.6880310783685	0.019898854138095865
cp10k_log2fc	decile	barrier	59	1.5099530094463114	1.132513344835573	0.37748825236157785	0.9322033898305084	7.86538191129203e-11	9.999000099990002e-05	11	0.9860952525589263	18	1.1994456465732448	21	1.877110917175703	9	1.9145365422417788	4	1.4395119618231036	66.22992810218663	1.1824020558938906e-09
cp10k_log2fc	decile	ifn_recruit	59	-0.0605210306597309	0.0	-0.012104206131946182	0.3389830508474576	0.22102157481330342		11	0.49393180982717283	18	0.014545773175646521	21	-0.48384711201738473	9	0.09944163535337974	3	0.07189067103519937	52.637981147114544	0.47349979854017854
cp10k_log2fc	decile	mhc_cd8	59	0.5652190678326864	0.42880787384850677	0.18840635594422878	0.559322033898305	0.03540481995624214		11	0.5067734085077275	18	1.6041025100209518	21	0.4121578109118202	9	-1.0839713001090963	3	0.40701660806135026	85.77147356134479	0.4767916756840257
cp10k_log2fc_trim	decile	barrier	59	1.8638552020430776	1.6922716611334034	0.4659638005107694	0.9491525423728814	7.86538191129203e-11	9.999000099990002e-05	11	1.3709850303094298	18	1.6064347214248151	21	2.2207249837167393	9	2.148396882604406	4	1.7829976630902595	40.428850764938744	6.622840954636359e-17
cp10k_log2fc_trim	decile	ifn_recruit	59	0.1377429397668576	0.0	0.027548587953371523	0.4406779661016949	0.0011973381999984532		11	0.5807351158267073	18	0.1620705840230216	21	-0.12931433614196217	9	0.1707864131908483	3	0.20351370238380925	67.83390894770513	0.08590966248471912
cp10k_log2fc_trim	decile	mhc_cd8	59	0.9029657991075783	0.6805900169662025	0.30098859970252606	0.6271186440677966	0.002147543547664535		11	0.8782044061647728	18	1.8795550033785418	21	0.8555807757420992	9	-0.9093836302070236	3	0.7161966837948595	82.0416141973039	0.23629105226426994
cp10k_delta	decile	barrier	59	2.146771173857598	1.8388178551882473	0.5366927934643995	0.9152542372881356	9.711701633410262e-11	9.999000099990002e-05	11	1.1762834490294884	18	1.7438294061088746	21	2.7718842231423517	9	2.680209258036087	4	1.9953882454469154	74.91728107220472	1.4860413433365366e-06
cp10k_delta	decile	ifn_recruit	59	-0.4144261953056726	0.0	-0.08288523906113453	0.3389830508474576	0.29894375201959067		11	0.5459331960143763	18	0.008752708106282944	21	-1.55268132540963	9	0.22137204538847827	3	0.14908937786486146	56.119369860108456	0.3992352923810193
cp10k_delta	decile	mhc_cd8	59	9.543862812289928	3.0919354239776276	3.181287604096643	0.576271186440678	0.020218737566274365		11	14.545950250805724	18	17.711134731712384	21	7.324342018292301	9	-7.725461598746473	3	7.0983687006710054	71.6721067716022	0.2767066506952177
cp10k_delta_trim	decile	barrier	59	2.1611479520475334	1.845296016072548	0.5402869880118834	0.9322033898305084	9.213862240183854e-11	9.999000099990002e-05	11	1.3890816964783463	18	1.9599116687781466	21	2.6477134880327564	9	2.3719374692053465	4	2.007455220979057	55.1878733348353	1.1791913939461873e-10
cp10k_delta_trim	decile	ifn_recruit	59	0.09517235389636393	0.0	0.01903447077927279	0.4406779661016949	0.0012866311206026155		11	0.6029958844452713	18	0.1503444178820969	21	-0.29337162238752607	9	0.2707576332497545	3	0.23916962780902856	65.45283403093548	0.11656878472007602
cp10k_delta_trim	decile	mhc_cd8	59	10.63151132301321	4.220357252220748	3.5438371076710706	0.6101694915254238	0.0038906701559000443		11	16.042911036326966	18	18.695542545928465	21	7.821369543198632	9	-5.55348661952232	3	8.105542651829637	68.0014324832985	0.18136127288578385
expr_prop_pp	decile	barrier	59	104.54474584396993	100.0	26.136186460992484	0.9491525423728814	5.4216027176280275e-11	9.999000099990002e-05	11	87.7241018863331	18	99.63155747189698	21	121.53551168231846	9	95.28456713574764	4	102.48128027597825	0.0	8.006258908641892e-29
expr_prop_pp	decile	ifn_recruit	59	17.370243994895144	0.0	3.474048798979029	0.4915254237288136	2.1266360107314253e-06		11	36.17555544306662	18	16.79173135653809	21	13.079148638447386	9	5.555555555555555	4	15.570493013438927	62.42233558242221	0.0008663016979299872
expr_prop_pp	decile	mhc_cd8	59	41.23831242832852	34.35114503816794	13.746104142776174	0.8135593220338984	7.737131751849352e-09		11	46.09311598077268	18	47.155192935989746	21	42.9139305385087	9	19.561127036265002	4	38.84532322470405	35.28652240647053	6.450757593119855e-09
conn_z	decile	barrier	59	3.679378557089052	3.689187668445178	0.919844639272263	0.9322033898305084	3.9282745831103867e-10	9.999000099990002e-05	11	3.6656691121462317	18	3.377640518239747	21	3.805114412158216	9	4.006226961223059	4	3.7106563625811337	0.0	5.892067756136129e-34
conn_z	decile	ifn_recruit	59	0.8085659147602231	0.0	0.16171318295204462	0.4745762711864407	7.513662254944795e-05		11	1.9968337386673587	18	0.514944930295336	21	0.7034925833116281	9	0.18865165007244217	4	0.5919996445521272	61.321074950533315	0.013353719018705185
conn_z	decile	mhc_cd8	59	1.6180339773716992	1.8518872899777152	0.5393446591238997	0.711864406779661	1.399119788329664e-05		11	2.415933909125773	18	2.2557277911368163	21	1.497147310954114	9	-0.35049578955026006	3	1.530100546633396	69.96518792186478	0.005113423519838067
