study	panel	symbol	probe	mapped_via	raw_symbol	alias_note	description	GSM557400	GSM557401	GSM557402	GSM557400_scan	GSM557401_scan	GSM557402_scan	GSM558700	GSM558701	GSM558702	GSM558700_scan	GSM558701_scan	GSM558702_scan
GSE22421	IFN_IMMUNE	IL6	30154	ORF	IL6		IL6--Interleukin 6 (interferon, beta 2)	1.1309	0.5656	1.9411	2.5699	0.5043	1.8461						
GSE22421	IFN_IMMUNE	TNF	9985	ORF	TNF		TNF--Tumor necrosis factor (TNF superfamily, member 2)	2.2957	0.2510	-1.0291		-0.1489	-0.9373						
GSE22421	IFN_IMMUNE	NFKB1	13757	ORF	NFKB1		NFKB1--Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)	-0.1203	-3.3219	0.1890	0.4777	-3.2748	-0.0199						
GSE22421	IFN_IMMUNE	RELA	2825	ORF	RELA		RELA--V-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 (avian)	-0.5564	-0.6666	-0.1844	-1.5489	0.1798	-0.1223						
GSE22421	IFN_IMMUNE	IL15	4994	ORF	IL15		IL15--Interleukin 15	-0.1203	1.9184	-0.8890	0.5895	2.6674	-1.1146						
GSE22421	IFN_IMMUNE	IL15	11042	ORF	IL15		IL15--Interleukin 15	2.3219	0.8480	0.8156		-1.6630	2.0589						
GSE22421	IFN_IMMUNE	IL15	17090	ORF	IL15		IL15--Interleukin 15	0.6135	0.7570	1.6276	0.8837	0.1872	1.9870						
GSE22421	IFN_IMMUNE	IFNB1	28512	ORF	IFNB1		IFNB1--Interferon, beta 1, fibroblast	-0.0291	2.8032	1.6041									
GSE22421	IFN_IMMUNE	IFNG	6958	ORF	IFNG		IFNG--Interferon, gamma	1.6135		-1.6439			-1.2575						
GSE22421	IFN_IMMUNE	IFNAR1	5619	ORF	IFNAR1		IFNAR1--Interferon (alpha, beta and omega) receptor 1	0.6599	0.4647	0.4436	2.2479	0.6474	-0.0574						
GSE22421	IFN_IMMUNE	IFNAR2	35947	ORF	IFNAR2		IFNAR2--Interferon (alpha, beta and omega) receptor 2	-0.8110	0.4854	0.0286	0.1345	0.0474	0.0602						
GSE22421	IFN_IMMUNE	IFNGR1	7583	ORF	IFNGR1		IFNGR1--Interferon gamma receptor 1	0.9855	1.0356	0.0144	2.2088	0.6600	0.5152						
GSE22421	IFN_IMMUNE	IFNGR2	11755	ORF	IFNGR2		IFNGR2--Interferon gamma receptor 2 (interferon gamma transducer 1)	1.5211	0.0426	0.0704	2.2422	-0.8670	-0.4996						
GSE22421	TJ	CLDN1	1201	ORF	CLDN1		CLDN1--Claudin 1	1.5460	1.8278	1.8600	1.8838	2.7115	1.6970						
GSE22421	TJ	CLDN2	2740	ORF	CLDN2		CLDN2--Claudin 2	0.0976	-0.3771	0.6508	0.6957								
GSE22421	TJ	CLDN3	26927	ORF	CLDN3		CLDN3--Claudin 3	-0.2515	-0.6666	-2.6439	-2.2720	-1.3518							
GSE22421	TJ	CLDN4	17169	ORF	CLDN4		CLDN4--Claudin 4	0.1110	-0.4150	0.0000	-2.2895	0.1708	-0.5571						
GSE22421	TJ	CLDN6	16532	ORF	CLDN6		CLDN6--Claudin 6	0.4114	0.9411	-0.1361	0.4311	2.7004	-0.5106						
GSE22421	TJ	CLDN7	31719	ORF	CLDN7		CLDN7--Claudin 7	1.0841	0.7137	0.5460	1.0520		0.3683						
GSE22421	TJ	CLDN8	35177	ORF	CLDN8		CLDN8--Claudin 8	1.0635	-0.6215	2.6064		-0.9023	2.3797						
GSE22421	TJ	CLDN9	18043	ORF	CLDN9		CLDN9--Claudin 9	-0.8365	0.9709	1.5993	-1.4436	1.3503	1.7352						
GSE22421	TJ	CLDN10	8594	ORF	CLDN10		CLDN10--Claudin 10	2.3590	0.6323	0.6599	3.1280	3.1281	1.6024						
GSE22421	TJ	CLDN10	14642	ORF	CLDN10		CLDN10--Claudin 10	-0.6897	5.6129	-2.3219	-2.8580		-2.0351						
GSE22421	TJ	CLDN10	20690	ORF	CLDN10		CLDN10--Claudin 10	0.5753	0.6690	-0.7612	0.8205	0.0548	-0.8862						
GSE22421	TJ	CLDN12	1162	ORF	CLDN12		CLDN12--Claudin 12	-1.0893	1.6276	-1.2515	-0.9076		-1.7634						
GSE22421	TJ	CLDN18	10628	ORF	CLDN18		CLDN18--Claudin 18	0.6960	0.3103	0.4854									
GSE22421	TJ	TJP1	3895	ORF	TJP1		TJP1--Tight junction protein 1 (zona occludens 1)	1.0144	-1.8365	0.3674	1.5850	-1.2505	0.5821						
GSE22421	TJ	TJP1	34136	ORF	TJP1		TJP1--Tight junction protein 1 (zona occludens 1)	0.4854	1.3161	-0.2688	1.2324	2.0589	-0.3683						
GSE22421	TJ	TJP2	6241	ORF	TJP2		TJP2--Tight junction protein 2 (zona occludens 2)	5.7407	0.8560	-0.7370	6.2192	-1.0000	-0.9131						
GSE22421	TJ	TJP3	12980	ORF	TJP3		TJP3--Tight junction protein 3 (zona occludens 3)	0.7740	-0.6897	0.8156		-1.0082	0.6101						
GSE22421	TJ	OCLN	1771	ORF	OCLN		OCLN--Occludin	-0.4739	-3.8365	0.5361	-0.5986	-4.3507	-0.0866						
GSE22421	TJ	OCLN	32012	ORF	OCLN		OCLN--Occludin	0.8319	0.4751	-0.1361	1.4963	0.4299	-0.2867						
GSE22421	TJ	MARVELD2	11722	ORF	MARVELD2		MARVELD2--MARVEL domain containing 2	0.9709	1.4330	-0.2176	1.2003	1.2716	-0.6995						
GSE22421	TJ	MARVELD2	17770	ORF	MARVELD2		MARVELD2--MARVEL domain containing 2	0.7049	-0.6897	1.0704	1.5011	-1.3662	0.8391						
GSE22421	TJ	MARVELD3	3345	ORF	MARVELD3		MARVELD3--MARVEL domain containing 3	0.1635	2.0841	-2.0000	-0.3908		-1.9319						
GSE22421	TJ	MARVELD3	27538	ORF	MARVELD3		MARVELD3--MARVEL domain containing 3	0.0286	-1.4344	-1.0291	0.1184	-2.3334	-1.0089						
GSE22421	TJ	MARVELD3	33586	ORF	MARVELD3		MARVELD3--MARVEL domain containing 3	2.1795	0.9635	-1.3959	0.0000	1.4134	-1.3236						
GSE22421	TJ	F11R	14780	ORF	F11R		F11R--F11 receptor	0.3334	0.2016	-0.1203	0.0227	-0.0925	-0.3883						
GSE22421	TJ	F11R	20828	ORF	F11R		F11R--F11 receptor	-0.4739	-0.2009	-0.4739	-0.2320	-0.4591	-0.7126						
GSE22421	TJ	F11R	26876	ORF	F11R		F11R--F11 receptor	0.6599	0.0704	-0.1844	1.5776	-0.6554	0.9650						
GSE22421	TJ	F11R	32924	ORF	F11R		F11R--F11 receptor	0.3219	0.1110	-0.1681	-0.3812	-0.0003	-0.6120						
GSE22421	TJ	JAM2	33660	ORF	JAM2		JAM2--Junctional adhesion molecule 2	0.7655	1.0976	1.3045									
GSE22421	TJ	JAM3	19379	ORF	JAM3		JAM3--Junctional adhesion molecule 3	0.7137	0.8560	0.1243	1.4390		0.1848						
GSE22421	TJ	CGN	5621	ORF	CGN		CGN--Cingulin	0.4436	-0.2688	-0.1520	0.1912	-0.5700	-0.4208						
GSE22421	TJ	CDH1	15899	ORF	CDH1		CDH1--Cadherin 1, type 1, E-cadherin (epithelial)	-0.5995	-1.7370	0.2987	-0.7803	-2.0272	1.9054						
GSE22421	TJ	CDH1	21947	ORF	CDH1		CDH1--Cadherin 1, type 1, E-cadherin (epithelial)	-0.2863	0.3896	-0.0439	-0.4579	1.3170	0.7154						
GSE22421	TJ	CTNNB1	18644	ORF	CTNNB1		CTNNB1--Catenin (cadherin-associated protein), beta 1, 88kDa	0.0144	0.1243	0.8156	1.2632	-0.1140	1.3944						
GSE22421	TJ	CTNNB1	24692	ORF	CTNNB1		CTNNB1--Catenin (cadherin-associated protein), beta 1, 88kDa	1.0144	0.5656	-0.0439	0.7662	-0.5657	-1.4529						
GSE22421	TJ	CTNNA1	28609	ORF	CTNNA1		CTNNA1 PROTEIN (FRAGMENT)	0.0976	0.0841	0.0000	0.2359		-0.4793						
GSE22421	TJ	CRB3	249	ORF	CRB3		CRB3--Crumbs homolog 3 (Drosophila)	-0.1520	0.9411	-0.1520	0.4147	0.1566	0.2295						
GSE22421	TJ	CRB3	6297	ORF	CRB3		CRB3--Crumbs homolog 3 (Drosophila)	0.1763	0.0000	0.3334	1.2963	-1.0101	0.2513						
GSE22493	AXIS	CLDN4	17169	ORF	CLDN4		CLDN4--Claudin 4								-1.7370	-0.7131		1.2183	-1.6435
GSE22493	AXIS	CLDN3	26927	ORF	CLDN3		CLDN3--Claudin 3							-0.7859	-0.8625	-1.0291	-1.3026	0.4503	-1.4596
GSE22493	PRIORITY	IFI27	13326	ORF	IFI27		IFI27--Interferon, alpha-inducible protein 27							-2.6439	2.8420	-2.3219	-2.5515	-2.4052	-2.1874
GSE22493	PRIORITY	OAS2	18303	ORF	OAS2		OAS2--2'-5'-oligoadenylate synthetase 2, 69/71kDa							-0.2863	2.8115	0.1110	-1.5287	-3.3840	-0.7270
GSE22493	PRIORITY	IFIT1	29863	ORF	IFIT1		IFIT1--Interferon-induced protein with tetratricopeptide repeats 1							-2.8365	-1.1203	-2.1203	-4.1381		-3.2465
GSE22493	PRIORITY	MX1	35937	ORF	MX1		MX1--Myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)							-0.0740		0.7908	-1.3358		0.2115
GSE22493	PRIORITY	ISG15	1952	ORF	G1P2	G1P2->ISG15	G1P2--Interferon, alpha-inducible protein (clone IFI-15K)							0.7137	1.7949	-1.0589	0.6182	-2.2689	-1.6894
GSE22493	PRIORITY	HLA-A	1461	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A							-1.2515	0.4542	-3.0589	-0.9052	0.0735	-3.0956
GSE22493	PRIORITY	HLA-A	2020	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR							-1.3959	0.0426	-0.6439	-1.1296	-0.1511	-0.2824
GSE22493	PRIORITY	HLA-A	4836	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A							-1.9434	1.3334	-1.7859	-2.0099	-1.9720	-1.3320
GSE22493	PRIORITY	HLA-A	7509	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A							-3.8365	1.3505	-6.6439	-4.2596	-1.4283	-7.0961
GSE22493	PRIORITY	HLA-A	8068	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR							2.3132	-0.8625	1.3448	1.5589	0.8163	0.9338
GSE22493	PRIORITY	HLA-A	10884	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A							0.1506	0.6690	-0.6439	0.5992	-0.0312	-0.0090
GSE22493	PRIORITY	HLA-A	14116	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR							-1.5146	3.8520	-2.3219	-1.0987	-3.7741	-1.8590
GSE22493	PRIORITY	HLA-A	20164	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR							-1.5995	2.4854	-1.7370	-1.1958	-2.0604	-1.1969
GSE22493	PRIORITY	HLA-A	26212	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR							-3.1844	0.5460	1.6415	-4.5146	-1.1250	
GSE22493	PRIORITY	HLA-A	31702	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A							-2.6439	0.9260	1.7655	-2.6035	-0.3368	1.4506
GSE22493	PRIORITY	HLA-A	33565	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A							-2.3219		-2.0000	-1.9152		-1.7633
GSE22493	APM	HLA-A	1461	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A							-1.2515	0.4542	-3.0589	-0.9052	0.0735	-3.0956
GSE22493	APM	HLA-A	2020	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR							-1.3959	0.0426	-0.6439	-1.1296	-0.1511	-0.2824
GSE22493	APM	HLA-A	4836	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A							-1.9434	1.3334	-1.7859	-2.0099	-1.9720	-1.3320
GSE22493	APM	HLA-A	7509	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A							-3.8365	1.3505	-6.6439	-4.2596	-1.4283	-7.0961
GSE22493	APM	HLA-A	8068	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR							2.3132	-0.8625	1.3448	1.5589	0.8163	0.9338
GSE22493	APM	HLA-A	10884	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A							0.1506	0.6690	-0.6439	0.5992	-0.0312	-0.0090
GSE22493	APM	HLA-A	14116	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR							-1.5146	3.8520	-2.3219	-1.0987	-3.7741	-1.8590
GSE22493	APM	HLA-A	20164	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR							-1.5995	2.4854	-1.7370	-1.1958	-2.0604	-1.1969
GSE22493	APM	HLA-A	26212	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR							-3.1844	0.5460	1.6415	-4.5146	-1.1250	
GSE22493	APM	HLA-A	31702	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A							-2.6439	0.9260	1.7655	-2.6035	-0.3368	1.4506
GSE22493	APM	HLA-A	33565	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A							-2.3219		-2.0000	-1.9152		-1.7633
GSE22493	APM	HLA-B	24124	DESCRIPTION_PREFIX	HLA-B		HLA-B--Major histocompatibility complex, class I, B							-1.5564	2.3277	-2.1203	-1.6827	-2.0202	-1.8952
GSE22493	APM	HLA-C	4255	DESCRIPTION_PREFIX	HLA-C		HLA-C--Major histocompatibility complex, class I, C							-1.2515	1.0566	0.4542	-0.7898	-0.4466	0.9946
GSE22493	APM	HLA-C	7462	DESCRIPTION_PREFIX	HLA-C		HLA-C--Major histocompatibility complex, class I, C							-1.2515	0.5850	-1.2515	-0.7682	-0.4344	-0.6663
GSE22493	APM	HLA-C	21857	DESCRIPTION_PREFIX	HLA-C		HLA-C--Major histocompatibility complex, class I, C							-5.6439	1.2570	-3.3219	-5.7118	-1.4826	-3.2483
GSE22493	APM	B2M	26941	ORF	B2M		B2M--Beta-2-microglobulin							-2.5564	2.2296	-3.1844	-2.5919	-1.6978	-3.4089
GSE22493	APM	TAP1	4277	ORF	TAP1		TAP1--Transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)							-0.8625	2.1763	-0.9434	-0.8253	-2.5807	-1.3404
GSE22493	APM	TAP1	34518	ORF	TAP1		TAP1--Transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)							-2.9434	2.5311	-2.0000	-3.1055	-3.0506	-2.0644
GSE22493	APM	TAP2	3841	ORF	TAP2		TAP2--Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)							1.3618	-3.0589	1.3103	0.6081	2.4295	0.2939
GSE22493	APM	TAP2	9889	ORF	TAP2		TAP2--Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)							-3.4739	-0.3771	-1.8365	-4.8447	-0.2462	-2.8717
GSE22493	APM	TAP2	15937	ORF	TAP2		TAP2--Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)							-0.5564	-3.6439	-0.1681		3.3505	-1.2730
GSE22493	APM	TAPBP	7726	ORF	TAPBP		TAPBP--TAP binding protein (tapasin)							-1.3585	1.3103	-2.0000	-1.2448	-0.8896	-1.9227
GSE22493	APM	TAPBP	13774	ORF	TAPBP		TAPBP--TAP binding protein (tapasin)							2.0942	0.5460	0.8797	1.0976	-1.0748	0.1422
GSE22493	APM	TAPBP	30819	ORF	TAPBP		TAPBP--TAP binding protein (tapasin)							-2.9434	-0.8625			0.6057	
GSE22493	APM	PSMB8	16374	ORF	PSMB8		PSMB8--Proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional protease 7)							1.7137	-0.0291	1.2079	1.3739	-0.5406	0.9342
GSE22493	APM	PSMB8	22422	ORF	PSMB8		PSMB8--Proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional protease 7)							-1.0589	2.1440	-1.4739	-0.8925	-2.5182	-1.3057
GSE22493	APM	PSMB9	25567	ORF	PSMB9		PSMB9--Proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)							2.1276	5.7371	2.3277	1.0350	-5.9887	1.8567
GSE22493	APM	PSMB9	28889	ORF	PSMB9		PSMB9--Proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)							-0.2515	0.3674	1.0909	-0.1012	-0.0317	1.1096
GSE22493	APM	PSMB10	10912	ORF	PSMB10		PSMB10--Proteasome (prosome, macropain) subunit, beta type, 10							-0.3771	-0.0893	0.2141	-0.5591	0.2957	-0.9055
GSE22493	APM	CALR	2180	ORF	CALR		CALR--Calreticulin							0.2141	0.5261	0.6599	-0.0132	-1.1177	0.2609
GSE22493	APM	CALR	23563	ORF	CALR		CALR--Calreticulin							0.4542	-0.9434	0.5059	0.2211	0.5656	0.3718
GSE22493	APM	CANX	3753	ORF	CANX		CANX--Calnexin							-1.3219	0.8400	-0.2009	-0.9480	-0.5738	-0.1507
GSE22493	APM	CANX	3755	ORF	CANX		CANX--Calnexin							-1.0893	1.5261	-0.6666	-0.7280	-1.4511	-0.7084
GSE22493	APM	CANX	3757	ORF	CANX		CANX--Calnexin							-1.1203	0.5753	-0.6666	-0.7413	-0.1685	-0.3411
GSE22493	APM	CANX	3759	ORF	CANX		CANX--Calnexin							-1.3219	0.8718	-1.7370	-1.1562	-0.4127	-1.5800
GSE22493	APM	CANX	10823	ORF	CANX		CANX--Calnexin							-0.5564	1.8032	-1.6897	-0.1868	-1.3571	-1.4018
GSE22493	APM	CANX	22654	ORF	CANX		CANX--Calnexin							-1.2863	0.6415	-1.3959	-0.8872	-0.0024	-1.0613
GSE22493	APM	CANX	22656	ORF	CANX		CANX--Calnexin							-1.1520	0.9030	-1.2176	-0.7288	-0.2828	-0.8602
GSE22493	APM	CANX	22658	ORF	CANX		CANX--Calnexin							-0.6439	1.9030	-1.3585	-0.2520	-1.4318	-0.9978
GSE22493	APM	CANX	22660	ORF	CANX		CANX--Calnexin							-1.0000	0.7485	-1.2863	-0.5637	-0.1135	-0.8164
GSE22493	APM	CANX	25678	ORF	CANX		CANX--Calnexin							-1.9434	0.5460	-0.4941	-1.6601	0.0867	-0.2203
GSE22493	APM	CANX	25680	ORF	CANX		CANX--Calnexin							-2.7370	0.6415	-0.8365	-2.4601	-0.0049	-0.4537
GSE22493	APM	CANX	25682	ORF	CANX		CANX--Calnexin							-2.0589	0.8319	-1.4344	-1.7278	-0.4753	-0.9340
GSE22493	APM	CANX	25684	ORF	CANX		CANX--Calnexin							-1.6897	0.7312	-1.5564	-1.3757	-0.0960	-1.0970
GSE22493	APM	CANX	30970	ORF	CANX		CANX--Calnexin							-1.1203	4.2920	-3.8365	-0.6658	-3.8756	-3.8486
GSE22493	APM	CANX	30972	ORF	CANX		CANX--Calnexin							-1.2515	4.7871	-6.6439	-0.7962	-4.5696	-7.0395
GSE22493	APM	CANX	30974	ORF	CANX		CANX--Calnexin							-1.2863	4.7398	-5.6439	-0.8128	-4.4187	-5.6106
GSE22493	APM	CANX	30976	ORF	CANX		CANX--Calnexin							-1.0893	1.5993	-3.8365	-0.6330	-1.0638	-3.6833
GSE22493	IFN_IMMUNE	ISG15	1952	ORF	G1P2	G1P2->ISG15	G1P2--Interferon, alpha-inducible protein (clone IFI-15K)							0.7137	1.7949	-1.0589	0.6182	-2.2689	-1.6894
GSE22493	IFN_IMMUNE	MX1	35937	ORF	MX1		MX1--Myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)							-0.0740		0.7908	-1.3358		0.2115
GSE22493	IFN_IMMUNE	OAS1	8392	ORF	OAS1		OAS1--2',5'-oligoadenylate synthetase 1, 40/46kDa							0.7398	-0.6897	0.6323	-0.5755	0.0465	-0.2977
GSE22493	IFN_IMMUNE	OAS2	18303	ORF	OAS2		OAS2--2'-5'-oligoadenylate synthetase 2, 69/71kDa							-0.2863	2.8115	0.1110	-1.5287	-3.3840	-0.7270
GSE22493	IFN_IMMUNE	OAS3	30399	ORF	OAS3		OAS3--2'-5'-oligoadenylate synthetase 3, 100kDa							1.2265	-0.3585	0.5753	0.9084	0.4942	0.2528
GSE22493	IFN_IMMUNE	OASL	5568	ORF	OASL		OASL--2'-5'-oligoadenylate synthetase-like							-2.2515	0.8400		-3.3038	-1.2675	
GSE22493	IFN_IMMUNE	IFIT1	29863	ORF	IFIT1		IFIT1--Interferon-induced protein with tetratricopeptide repeats 1							-2.8365	-1.1203	-2.1203	-4.1381		-3.2465
GSE22493	IFN_IMMUNE	IFIT2	5486	ORF	IFIT2		IFIT2--Interferon-induced protein with tetratricopeptide repeats 2							-1.5146	1.6736	-1.3219		-2.2959	-2.2820
GSE22493	IFN_IMMUNE	IFIT3	17582	ORF	IFIT3		IFIT3--Interferon-induced protein with tetratricopeptide repeats 3							-0.5995	-0.7859	1.3448	-1.3508	0.2583	0.2630
GSE22493	IFN_IMMUNE	IFIT5	23815	ORF	IFIT5		IFIT5--Interferon-induced protein with tetratricopeptide repeats 5							0.1635	-0.1520	-0.0291	-0.9228	0.0450	-0.7658
GSE22493	IFN_IMMUNE	IFITM2	5571	ORF	IFITM2		IFITM2--Interferon induced transmembrane protein 2 (1-8D)							0.7398	5.6124	-0.4344	1.0943	-5.9129	-0.9297
GSE22493	IFN_IMMUNE	IFITM2	10156	ORF	IFITM2		IFITM2--Interferon induced transmembrane protein 2 (1-8D)							0.7655	-0.1520	-0.0740	0.7622	0.4770	-0.0386
GSE22493	IFN_IMMUNE	IFI6	16865	ORF	G1P3	G1P3->IFI6	G1P3--Interferon, alpha-inducible protein (clone IFI-6-16)							0.9336	-0.8625	0.1110	0.7297	1.0809	0.0316
GSE22493	IFN_IMMUNE	IFI27	13326	ORF	IFI27		IFI27--Interferon, alpha-inducible protein 27							-2.6439	2.8420	-2.3219	-2.5515	-2.4052	-2.1874
GSE22493	IFN_IMMUNE	IFI35	25749	ORF	IFI35		IFI35--Interferon-induced protein 35							-1.4344	0.2388	-1.4344	-2.0038	-0.8357	-1.9504
GSE22493	IFN_IMMUNE	IFI44	32812	ORF	IFI44		IFI44--Interferon-induced protein 44							-1.3585		-2.0000	-2.3977		-2.7753
GSE22493	IFN_IMMUNE	IFI16	9522	ORF	IFI16		IFI16--Interferon, gamma-inducible protein 16							-0.5995					
GSE22493	IFN_IMMUNE	IFI16	21618	ORF	IFI16		IFI16--Interferon, gamma-inducible protein 16							0.5261	1.1243	-1.0291	-0.3465	-1.3378	-2.1605
GSE22493	IFN_IMMUNE	DDX58	16774	ORF	DDX58		DDX58--DEAD (Asp-Glu-Ala-Asp) box polypeptide 58								-0.6439	-2.2515		0.0075	-3.3640
GSE22493	IFN_IMMUNE	IFIH1	27394	ORF	IFIH1		IFIH1--Interferon induced with helicase C domain 1							-0.4941	-0.9714	-1.3219	-1.3363	0.3255	-2.3466
GSE22493	IFN_IMMUNE	HERC5	19963	ORF	HERC5		HERC5--Hect domain and RLD 5							-0.0439	0.0704	1.5607	0.2619	0.0139	1.1666
GSE22493	IFN_IMMUNE	USP18	14789	ORF	USP18		USP18--Ubiquitin specific protease 18							2.3306	-3.6439	3.2095	1.3026	3.3191	2.2410
GSE22493	IFN_IMMUNE	BST2	21420	ORF	BST2		BST2--Bone marrow stromal cell antigen 2							-0.8625	0.9782	-0.8110	-0.8170	-1.0546	-0.6151
GSE22493	IFN_IMMUNE	GBP1	19842	ORF	GBP1		GBP1--Guanylate binding protein 1, interferon-inducible, 67kDa							-2.8365	-0.3585	-3.6439	-3.3787	-0.2290	-4.6450
GSE22493	IFN_IMMUNE	GBP2	1194	ORF	GBP2		GBP2--Guanylate binding protein 2, interferon-inducible							0.4114	-0.7131	-1.0589	0.0568	0.7243	-2.2023
GSE22493	IFN_IMMUNE	GBP4	14801	ORF	GBP4		GBP4--Guanylate binding protein 4							0.4222	-0.7370		-0.9112	0.5876	
GSE22493	IFN_IMMUNE	GBP5	28362	ORF	GBP5		GBP5--Guanylate binding protein 5							-2.0000	2.0909	-0.9714	-3.3116	-2.7245	-2.0717
GSE22493	IFN_IMMUNE	GBP5	34410	ORF	GBP5		GBP5--Guanylate binding protein 5							-1.2515	-0.8110	-2.8365	-2.0132	0.2153	-3.7922
GSE22493	IFN_IMMUNE	ZBP1	13828	ORF	ZBP1		ZBP1--Z-DNA binding protein 1							0.8319	-0.5995	-1.0589	-0.0429	0.4121	-2.1412
GSE22493	IFN_IMMUNE	STAT1	16813	ORF	STAT1		STAT1--Signal transducer and activator of transcription 1, 91kDa							0.1110	1.3219		-0.4797	-1.4578	
GSE22493	IFN_IMMUNE	STAT1	22861	ORF	STAT1		STAT1--Signal transducer and activator of transcription 1, 91kDa							0.3103	-0.5353	0.7137	-0.5272	0.6656	0.3654
GSE22493	IFN_IMMUNE	STAT1	28909	ORF	STAT1		STAT1--Signal transducer and activator of transcription 1, 91kDa							-1.4739	0.8237	0.2510	-1.8601	-1.1082	-0.4332
GSE22493	IFN_IMMUNE	STAT2	11868	ORF	STAT2		STAT2--Signal transducer and activator of transcription 2, 113kDa							-4.0589	-0.8890	-0.7612	-5.0768	0.3856	-1.5607
GSE22493	IFN_IMMUNE	STAT2	23964	ORF	STAT2		STAT2--Signal transducer and activator of transcription 2, 113kDa							2.6508	0.7908	-0.5778	1.3173	-1.2593	-1.6547
GSE22493	IFN_IMMUNE	IRF1	28953	ORF	IRF1		IRF1--Interferon regulatory factor 1							-1.0291	-0.0439	0.3448	-1.0731	0.2935	0.1600
GSE22493	IFN_IMMUNE	IRF7	8364	ORF	IRF7		IRF7--Interferon regulatory factor 7							-0.4344	0.3448	0.5261	-1.6217	-0.2275	0.3987
GSE22493	IFN_IMMUNE	IRF7	29348	ORF	IRF7		IRF7--Interferon regulatory factor 7							0.1506	0.7398	0.3103	-0.2126	-0.5440	0.1250
GSE22493	IFN_IMMUNE	JAK2	6736	ORF	JAK2		JAK2--Janus kinase 2 (a protein tyrosine kinase)							1.8032	2.9542	2.8237	0.4745	-3.5064	2.2630
GSE22493	IFN_IMMUNE	JAK2	15210	ORF	JAK2		JAK2--Janus kinase 2 (a protein tyrosine kinase)								1.7824	-0.4150		-2.3036	-1.5468
GSE22493	IFN_IMMUNE	SOCS1	1253	ORF	SOCS1		SOCS1--Suppressor of cytokine signaling 1							-0.4344		-1.5564	-1.4824		-2.6405
GSE22493	IFN_IMMUNE	SOCS3	12585	ORF	SOCS3		SOCS3--Suppressor of cytokine signaling 3							0.2987	-0.5995	3.7060	-0.1439	0.6298	2.9003
